"-- Please select --","-- Seleziona --"
"API Key","Chiave API"
"Allowed Currencies","Valute consentite"
"An invalid base currency has been entered.","È stata inserita una valuta di base non valida."
"Base Currency","Valuta di base"
"Connection Timeout in Seconds","Timeout di connessione in secondi"
"Continue &raquo;","Continua &raquo;"
"Country","Nazione"
"Country and Format Type combination should be unique","La combinazione di paese e tipo di formato deve essere univoca"
"Currency","Valuta"
"Currency Options","Opzioni valuta"
"Currency Setup","Installazione valuta"
"Currency Update Warnings","Avvisi aggiornamento valuta"
"Currency rates can't be retrieved.","I tassi di valuta non possono essere recuperati."
"Default Display Currency","Mostra Valuta predefinita"
"Directory","Cartella"
"Enabled","Abilitato"
"Error Email Recipient","Destinatario Email di errore"
"Error Email Sender","Mittente Email di errore"
"Error Email Template","Template Email di errore"
"FATAL ERROR:","ERRORE IRREVERSIBILE:"
"Frequency","Frequenza"
"Installed Currencies","Valute installate"
"Invalid country code: %s","Codice paese non valido: %s"
"Invalid rates received","Tassi ricevuti non validi"
"List of countries","Lista di Paesi"
"List of regions in specified country","Lista di regioni in Paesi specifici"
"No API Key was specified or an invalid API Key was specified.","Nessuna chiave API specificata o è stata specificata una chiave API non valida."
"Region","Regione"
"Scheduled Import Settings","Impostazioni Importazione pianificata"
"Select Your Currency","Seleziona la tua valita"
"Service","Servizio"
"Start Time","Ora di inizio"
"State/Province","Provincia/Regione"
"Strikeiron Email Update Warnings","Strikeiron email avviso aggiornamento"
"The account this API request is coming from is inactive.","L'account da cui proviene questa richiesta API è inattivo."
"WARNING:","ATTENZIONE:"
"Your current currency is: %s","La tua valuta corrente è: %s"
