"Alert Email Sender","Mittente email avviso"
"Alert subscription has been saved.","L'iscrizione agli avvisi è stato salvato."
"Allow Alert When Product Comes Back in Stock","Consenti avviso quando il prodotto è nuovamente disponibile"
"Allow Alert When Product Price Changes","Consenti avviso quando il prezzo del prodotto cambia"
"Click here not to receive alerts for this product","Clicca qui per ricevere avvisi sul prodotto"
"Error Email Recipient","Destinatario Email di errore"
"Error Email Sender","Mittente Email di errore"
"Error Email Template","Template Email di errore"
"Frequency","Frequenza"
"Price Alert Email Template","Template email avviso prezzo"
"Price:","Prezzo:"
"Product Alerts","Avvisi prodotto"
"Product Alerts Run Settings","Impostazioni funzionamento avvisi prodotto"
"Product alerts Cron error","Notificche prodotto Errore Cron"
"Product price alert","Avviso prezzo prodotto"
"Product stock alert","Avviso magazzino prodotto"
"Regular Price:","Prezzo di listino:"
"Sign up for price alert","Iscriviti alle notifiche prezzo"
"Sign up to get notified when this product is back in stock","Accedi per essere avvisato quando il prodotto torna in magazzino."
"Special price:","Prezzo speciale:"
"Start Time","Ora di inizio"
"Stock Alert Email Template","Template email avviso inventario"
"The product was not found.","Il prodotto non è stato trovato."
"Unable to update the alert subscription.","Impossibile aggiornare l'iscrizione di avviso."
"Unsubscribe from all price alerts","Annulla l'iscrizione a tutti gli avvisi di prezzo"
"Unsubscribe from all stock alerts","Annulla l'iscrizione a tutti gli avvisi di disponibilità prodotti"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Riceverai questa notifica perché la tua iscrizione riceve avvisi quando i seguenti prodotti tornano in magazzino."
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Riceverai questa notifica perché la tua iscrizione riceve avvisi quando i seguenti prodotti hanno subito dei cambianti di prezzo:"
"You will no longer receive price alerts for this product.","Non riceverai più avvisi di prezzo per questo prodotto."
"You will no longer receive stock alerts for this product.","Non riceverai più avvisi di inventario per questo prodotto."
"You will no longer receive stock alerts.","Non riceverai più avvisi di inventario."
