"-- Please Select --","-- Seleziona --"
"Actions","Azioni"
"Add Layout Update","Aggiungi aggiornamento del Layout"
"All","Tutti"
"All Pages","Tutte le pagine"
"All Product Types","Tutti i tipi di prodotto"
"Anchor Categories","Categorie Ancorate"
"Apply","Applica"
"Assign to Store Views","Assegna alle viste negozio"
"Big Image","Immagine grande"
"Categories","Categorie"
"Choose...","Scegli..."
"Close","Chiudi"
"Continue","Continua"
"Default Template","Template predefinito"
"Delete","Elimina"
"Design Package/Theme","Pacchetto/Tema Design"
"Export to:","Esporta in:"
"Frontend Properties","Proprietà Frontend"
"Generic Pages","Pagine generiche"
"Images","Immagini"
"Insert Widget","Inserisci Widget"
"Layout Updates","Aggiornamenti layout"
"New Widget Instance","Nuova istanza Widget"
"Next page","Pagina successiva"
"Non-Anchor Categories","Categorie non ancorate"
"Not Selected","Non selezionato"
"Open Chooser","Selezione aperta"
"Page","Pagina"
"Previous page","Pagina precedente"
"Products","Prodotti"
"Remove Layout Update","Rimuovere aggiornamento Layout"
"Save and Continue Edit","Salva e continua modifica"
"Select All","Seleziona tutto"
"Select Visible","Seleziona visibili"
"Settings","Impostazioni"
"Sort Order","Ordinamento"
"Specified Page","Pagina specifica"
"The information in this tab has been changed.","Le informazioni contenute in questa scheda sono state modificate."
"The widget instance has been deleted.","L'istanza del widget è stata eliminata."
"The widget instance has been saved.","L'istanza del widget è stata salvata."
"This tab contains invalid data. Please solve the problem before saving.","Questa scheda contiene dati non validi. Prima di salvare risolvere il problema."
"Thumbnail","Miniatura"
"Total %d records found","Totale di %d risultati trovati"
"Type","Tipo"
"Unselect All","Deseleziona tutto"
"Unselect Visible","Deseleziona visibili"
"View","Mostra"
"Widget ID","ID del Widget"
"Widget Insertion","Inserimento widget"
"Widget Options","Opzioni del widget"
"Widget Type","Tipo di widget"
"items selected","prodotti selezionati"
"of %s pages","di %s pagine"
"per page","per pagina"
