"Active","Attiva"
"Add Attribute Mapping","Aggiungi attributo mappatura"
"Add New Attribute","Aggiungi un nuovo attributo"
"Add to Google Base","Aggiungi a Google Base"
"Are you sure?","Sei sicuro?"
"Attribute","Attributo"
"Attribute Set","Set di attributi"
"Attribute Set and Item Type","Set attributi e altri tipi"
"Attributes","Attributi"
"Attributes Set","Set attributi"
"Available Products","Prodotti disponibili"
"Cannot update Google Base Item for Store '%s'","Impossibile aggiornare oggetto Google Baseper questo negozio '%s'"
"Catalog","Catalogo"
"ClientLogin","Accesso cliente"
"Confirm","Conferma"
"Current Mapping will be reloaded. Continue?","Questa mappatura verrà aggiornata. Continuare?"
"Custom attribute, no mapping","Attributi predefiniti, nessuna mappatura"
"Delete","Elimina"
"Delete Mapping","Cancella mappautura"
"Edit Item Type","Modifica tipo di oggetto"
"Edit Item Type ""%s""","Modifica tipo di oggetto ""%s"""
"Error: %s","Errore: %s"
"Expires","Scadenza"
"Google Base Item Type","Google Base tipo oggetto"
"Google Base Item type","Google Base tipo oggetto"
"Google Base Items","Articoli Google Base"
"Hide","Nascondi"
"Invalid Product Model for Google Base Item","Modello prodotto oggetto per Google Base non valido"
"Item Type was deleted","Tipo oggetto eliminato"
"Item Types","Tipi oggetto"
"Items","Elementi"
"Manage Attribute Mapping","Gestisci mappatura attributi"
"Manage Attributes","Gestisci attributi"
"Manage Items","Gestione articoli"
"New Item Type","Nuovo tipo prodotto"
"No items were deleted from Google Base","Nessun oggetto è stato rimosso da Google Base"
"No items were published","Nessun oggetto è stato pubblicato"
"Please, select Attribute Set and Google Item Type to load attributes","Selezionare un set di attributi e un tipo articolo Google per caricare gli attributi"
"Product Name","Nome prodotto"
"Publish","Pubblica"
"Published","Pubblicato"
"Remove","Elimina"
"Save Mapping","Salva mappatura"
"Synchronize","Sincronizza"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Questa azione aggiornerà le statistiche degli oggetti ed eliminerò gli oggetti che non sono disponibili in Google Base. Continuare?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Impossibile connettersi a Google Base. Per favore, controlla le impostazioni account nelle configurazioni ."
"View Available Products","Visualizza oggetti disponibili"
"View Item in Google Base","Visualizza oggetti in Google Base"
"Yes","Sì"
