"* Required Fields","* Campi obbligatori"
"Comment","Commento"
"Contact Form","Modulo di Contatto"
"Contact Information","Informazioni di Contatto"
"Contact Us","Contattaci"
"Contacts","Contatti"
"Contacts Section","Sezione contatti"
"Email Options","Opzioni email"
"Email Sender","Mittente email"
"Email Template","Template email"
"Enable Contact Us","Abilita contattaci"
"Name","Nome"
"Send Emails To","Invia email a"
"Submit","Invia"
"Telephone","Telefono"
"Unable to submit your request. Please, try again later","Impossibile inviare la tua richiesta. Riprova più tardi"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","La tua richiesta è stata inviata, riceverai una risposta il prima possibile. Grazie per averci contattato."
