"# of Uses","# di utilizzo"
"Action","Azione"
"Add","Aggiungi"
"Add New Tag","Aggiungi nuovo Tag"
"Add Tags","Aggiungi Tag"
"Add Your Tags:","Aggiungi i tuoi Tag:"
"Add to Cart","Aggiungi al Carrello"
"Add to Wishlist","Aggiungi alla Lista dei Desideri"
"All Tags","Tutti i Tags"
"Approved","Approvato"
"Are you sure you want to delete this tag?","Sei sicuro di voler eliminare questo tag?"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Are you sure?","Sei sicuro?"
"Back","Indietro"
"Back to Tags List","Indietro alla lista tag"
"Block Information","Informazioni Blocco"
"Change status","Cambia stato"
"Click on a tag to view your corresponding products.","Clicca sul tag per vedere i prodotti corrispondeti"
"Country","Paese"
"Customer Since","Cliente dal"
"Customers","Clienti"
"Customers Tagged '%s'","Utente taggato '%s'"
"Delete","Elimina"
"Delete Tag","Elimina Tag"
"Disabled","Disabilitato"
"Edit Tag '%s'","Modifica Tag '%s'"
"First Name","Nome"
"General Information","Informazioni Generali"
"Grid","Griglia"
"Last Name","Cognome"
"List","Lista"
"My Recent Tags","I miei tag recenti"
"My Tags","I Miei Tags"
"Name","Nome"
"New Tag","Nuovo Tag"
"No matches found.","Nessuna corrispondenza trovata"
"Other people marked this product with these tags:","Altre persone hanno selezionato questo prodotto con queste tags:"
"Pending","In attesa"
"Pending Tags","Tags pendenti"
"Popular","Popolarità di base"
"Popular Tags","Tags popolari"
"Price","Prezzo"
"Product Name","Nome prodotto"
"Product SKU","Prodotti SKU"
"Product Tags","Tag prodotto"
"Products","Prodotti"
"Products Tagged with '%s'","Prodotti taggati con '%s'"
"Products tagged with '%s'","Prodotti taggati con '%s'"
"Remove","Elimina"
"SKU","Cod.Art."
"Save Tag","Salva tag"
"Save and Continue Edit","Salva e continua modifica"
"Status","Stato"
"Store View","Vista Negozio"
"Tag Name","Nome Tag"
"Tags","Tag"
"Tags:","Tag:"
"Telephone","Telefono"
"Unable to find any products tagged with '%s' in the current store","Impossibile trovare prodotti taggati con '%s' in questo negozio"
"Unable to remove tag. Please, try again later.","Impossibile rimuovere tag, riprova dopo."
"Update","Aggiorna"
"Use spaces to separate tags. Use single quotes (') for phrases.","Usa gli spazi per tag separati. Usa virgolette singole (') per frasi."
"View All Tags","Visualizza tutti i tag"
"View Customers","Visualizza utenti"
"View Products","Visualizza profotti"
"You have not tagged any products yet.","Non hai taggato ancora nessun prodotto."
"ZIP/Post Code","Codice postale"
"[STORE VIEW]","[VISTA NEGOZIO]"
