" Copy"," Copia"
"Action","Azione"
"Add New Template","Aggiungi nuovo template"
"Add to Queue","Aggiungi alla coda"
"Allow Guest Subscription","Permetti l'iscrizione agli ospiti"
"Are you sure that you want to delete this template?","Sei sicuro di voler eliminare questo template?"
"Are you sure that you want to strip all tags?","Sei sicuro di voler rimuovere tutti i tag?"
"Back","Indietro"
"Cancel","Annulla"
"Cancelled","Cancellato"
"Confirmation Email Sender","Mittente Email conferma"
"Confirmation Email Template","Template Email conferma"
"Convert to Plain Text","Converti in testo normale"
"Create Newsletter Template","Crea template newsletter"
"Customer","Cliente"
"Customer First Name","Nome cliente"
"Customer Last Name","Cognome cliente"
"Date Added","Data Inserimento"
"Date Updated","Data aggiornata"
"Delete","Elimina"
"Delete Selected Problems","Elimina problemi selezionati"
"Delete Template","Elimina template"
"Do you really want to cancel the queue?","Vuoi davvero cancellare la coda?"
"Edit Newsletter","Modifica Newsletter"
"Edit Newsletter Template","Modifica il template Newsletter"
"Edit Queue","Modifica la coda"
"Edit Template","Modifica Template"
"Enter your email address","Inserisci la tua email"
"Error Code","Codice Errore"
"Error Text","Testo di errore"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Usa questo link per annullare l'iscrizione <!-- Questo tag è per il link di cancellazione --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Ospite"
"Message","Messaggio"
"Need to Confirm","Necessaria conferma"
"New Newsletter Template","Nuovo template newsletter"
"New Template","Nuovo Template"
"Newsletter Message Preview","Anteprima messaggio newsletter"
"Newsletter Problem Reports","Report problema newsletter"
"Newsletter Queue","Coda newsletter"
"Newsletter Section","Sezione newsletter"
"Newsletter Styles","Stili Newsletter"
"Newsletter Subscribers","Iscritti alla newsletter"
"Newsletter Subscription","Iscrizione alla newsletter"
"Newsletter Subscriptions","Iscrizioni alla newsletter"
"Newsletter Templates","Templates Newsletter"
"Newsletter subscription confirmation","Conferma di sottoscrizione newsletter"
"Newsletter subscription success","Sottoscrizione alla Newsletter avvenuta"
"Newsletter unsubscription success","Cancellazione dalla Newsletter avvenuta"
"No Templates Found","Nessun template trovato"
"Not Activated","Non attivato"
"Not Sent","Non Inviato"
"Pause","Pausa"
"Paused","Sospeso"
"Please enter a valid email address.","Prego inserisci un indirizzo email valido."
"Please enter new template name","Prego inserire un nuovo nome Template"
"Please select subscriber(s)","Prego selezionare I sottoscrittori"
"Preview","Anteprima"
"Preview Template","Anteprima template"
"Processed","Eseguiti"
"Queue Date Start","Data inizio coda"
"Queue Finish","fine coda"
"Queue Information","Informazioni sulla coda"
"Queue Start","Inizio Coda"
"Queue Subject","Soggetto Coda"
"Recipients","Destinatari"
"Reset","Reimposta"
"Resume","Riprendi"
"Return HTML Version","Restituisci la versione HTML"
"Save As","Salva come"
"Save Newsletter","Salva Newsletter"
"Save Template","Salva Template"
"Save and Resume","Salva e Ripristina"
"Security","Sicurezza"
"Sender","Mittente"
"Sender Email","Email mittente"
"Sender Name","Nome mittente"
"Sending","Invio in corso"
"Sent","Inviato"
"Sign Up for Our Newsletter:","Iscriviti alla nostra Newsletter:"
"Sign up for our newsletter","Iscriviti alla nostra newsletter"
"Start","Inizia"
"Status","Stato"
"Store","Negozio"
"Store View","Vista Negozio"
"Subject","Oggetto"
"Submit","Invia"
"Subscribe","Iscriviti"
"Subscribed","Sottoscritto"
"Subscriber","Abbonato"
"Subscribers","Iscritti"
"Subscribers From","Iscritti da"
"Subscription Options","Opzioni di iscrizione"
"Success Email Sender","Mitente Email iscrizione riuscita"
"Success Email Template","Template Email iscrizione riuscita"
"Template Content","Contenuto Template"
"Template Information","Informazioni Template"
"Template Name","Nome template"
"Template Styles","Stili Template"
"Template Subject","Oggetto Template"
"Template Type","Tipo di template"
"Thank you for your subscription.","Grazie per la tua iscrizione."
"There was a problem with the subscription: %s","Si è verificato un errore con la sottoscrizione: %s"
"There was a problem with the un-subscription.","Si è verificato un errore con la revoca della sottoscrizione."
"This email address is already assigned to another user.","Questo indirizzo email risulta già assegnato ad un altro utente."
"Type","Tipo"
"Unconfirmed","Non confermato"
"Unsubscribe","Annulla Iscrizione"
"Unsubscribe Selected","Annulla l'iscrizione agli utenti selezionati"
"Unsubscribed","Iscrizione annullata"
"Unsubscription Email Sender","Mittente email cancellazione newsletter"
"Unsubscription Email Template","Template email cancellazione newsletter"
"View Newsletter","Visualizza Newsletter"
"Website","Sito Web"
"Your subscription has been confirmed.","La tua iscrizione è stata confermata."
