"# of Use","# di utilizzo"
"%1$s incl tax.","%1$s incl tasse."
"%s Item(s)","%s Prodotto/I"
"(Copy data from: %s)","(Copia dati da: %s)"
"* Required Fields","* Campi obbligatori"
"-- Please Select --","-- Seleziona --"
"A group with the same name already exists.","Un gruppo con lo stesso nome esiste già."
"A name is required","richiesto un nome"
"A product type is not defined for the indexer.","Non è stato definito un tipo di prodotto per l'indicizzatore."
"ALL GROUPS","TUTTI I GRUPPI"
"Action","Azione"
"Actual Price","Prezzo attuale"
"Add","Aggiungi"
"Add Attribute","Aggiungi attributo"
"Add Design Change","Aggiungi modifica al Design"
"Add Group","Aggiungi gruppo"
"Add New","Aggiungi Nuovo"
"Add New Attribute","Aggiungi un nuovo attributo"
"Add New Attribute Set","Aggiungi nuovo Gruppo di attributi"
"Add New Group","Aggiungi nuovo gruppo"
"Add New Images","Aggiungi nuove immagini"
"Add New Option","Aggiungi nuova opzione"
"Add New Row","Aggiungi nuova riga"
"Add New Search Term","Aggiungi nuovo termine di ricerca"
"Add New Set","Aggiungi nuovo set"
"Add Product","Aggiungi prodotto"
"Add Product To Websites","Aggiungi prodotto ai siti web"
"Add Root Category","Aggiungi categoria di Root"
"Add Subcategory","Aggiungi Sottocategoria"
"Add Tax","Aggiungi tasse"
"Add Tier","Aggiungi fascia"
"Add to Cart","Aggiungi al Carrello"
"Add to Compare","Aggiungi al confronto"
"Add to Wishlist","Aggiungi alla Lista dei Desideri"
"Additional Information","Ulteriori informazioni"
"All","Tutti"
"All Product Types","Tutti i tipi di prodotto"
"All Websites","Tutti i Website"
"All products","Tutti i prodotti"
"All products - recently added products, New products - products marked as new","Tutti i prodotti - prodotti aggiunti di recente, nuovi prodotti - i prodotti contrassegnati come nuovi"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tutti i prodotti di questo set saranno cancellati! Sei sicuro di voler cancellare questo set di attributi?"
"Allow All Products per Page","Permetti di mostrare tutti i prodotti per pagina"
"Allowed File Extensions","Estensione file permesse"
"Allowed file extensions to upload","Estensione file permessa per il caricamento"
"Amount","Importo"
"Anchor Custom Text","Ancora testo personalizzato"
"Anchor Custom Title","Titolo personalizzato ancora"
"Apply To","Applica a"
"Approved","Approvato"
"Are you sure you want to delete this category?","Sei sicuro di voler cancellare questa categoria?"
"Are you sure you would like to remove all products from your comparison?","Sei sicuro di voler rimuovere tutti i prodotti dal confronto?"
"Are you sure you would like to remove this item from the compare products?","Sei sicuro di voler rimuovere questo elemento dal confronto dei prodotti?"
"Are you sure?","Sei sicuro?"
"As low as:","A partire da:"
"Assign","Assegna"
"Assign product link","Assegna link prodotto"
"Assign product to category","Assegna prodotto alla categoria"
"Assigned Products","Prodotti assegnati"
"Associated Products","Prodotti associati"
"Attrib. Set Name","Nome set attrib."
"Attribute Information","Informazione Attributo"
"Attribute Model","Modello attributo"
"Attribute Name:","Nome attributo:"
"Attribute Set","Set di attributi"
"Attribute Sets","Gruppo di attributi"
"Attribute group with the ""/name/"" name already exists","Esiste già un gruppo di attributi con il nome ""/name/"""
"Attribute with the same code already exists","Un attributo con lo stesso codice esiste già"
"Attributes","Attributi"
"Attrribute names can be specified per store.","Il nome degli attributi può essere specificato per ogni negozio."
"Autogenerate","Autogenerato"
"Availability:","Disponibilita':"
"Back","Indietro"
"Backend Model","Model Backend"
"Backend Table","Tabella Backend "
"Backend Table Title","Titolo tabella Backend"
"Backorders","Inevasi"
"Based On","Basato su"
"Before Order Confirmation","Prima della conferma dell'ordine"
"Best Value","Valore migliore"
"Block after Info Column","Blocco dopo colonna informazioni"
"Bottom/Left","In basso a sinistra"
"Bottom/Right","In basso a destra"
"Browse By","Sfoglia per"
"Bundle Items","Elementi del Bundle"
"Buy %1$s for %2$s","Acquista %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Acquista %1$s per %2$s (%3$s incl. tasse) ciascuno"
"Buy %1$s for %2$s each","Acquista %1$s per %2$s ciascuno"
"Cache Lifetime (Seconds)","Durata della cache (secondi)"
"Can be used only with catalog input type Dropdown","Può essere utilizzato solo con catologo con input dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Può essere utilizzato solo con catalogo con input dropdown. Selezione multipla e prezzo"
"Can't create image.","Impossibile creare l'immagine."
"Cancel","Annulla"
"Cart Item Attribute","Attributo elemento carrello"
"Catalog","Catalogo"
"Catalog Category Link","Link categoria Catalogo"
"Catalog New Products List","Elenco nuovi prodotti catalogo"
"Catalog Price Scope","Ambito del prezzo di catalogo"
"Catalog Product Link","Link prodotto catalogo"
"Catalog Section","Sezione Catalogo"
"Catalog, Search","Catalogo, ricerca"
"Categories","Categorie"
"Categories Sitemap","Categorie sitemap"
"Category","Categoria"
"Category API","Categoria API"
"Category Data","Categoria Dati"
"Category Flat Data","Dati Categoria Flat"
"Category Link Block Template","Template blocco link categoria"
"Category Link Inline Template","Template inline link categoria"
"Category Products","Prodotti della categoria"
"Category Top Navigation","Navigazione in alto categoria"
