"Add","Aggiungi"
"Add New Row","Aggiungi nuova riga"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumerici, trattini e caratteri di sottolineatura sono consigliati per i nomi dei file. Caratteri impopri vengono sostituiti con '_'."
"An error occurred while saving the file(s).","Errore durante il salvataggio dei file"
"Availability:","Disponibilita':"
"Back","Indietro"
"Canceled","Cancellato"
"Category API","Categoria API"
"Date","Data"
"Default Link Title","Link titolo predefinito"
"Default Maximum Number of Downloads","Numero massimo predefinito di download"
"Default Sample Title","Titolo di esempio predefinito"
"Delete","Elimina"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disattiva Checkout per ospiti se il carrello contiene prodotti scaricabili"
"Downloadable Information","Informazioni scaricabile"
"Downloadable Product","Prodotti scaricabili"
"Downloadable Product Options","Opzioni prodotto scaricabile"
"Downloadable Product Section","Sezione Prodotti Scaricabili"
"Edit","Modifica"
"Edit item parameters","Modificare i parametri del prodotto"
"Excl. Tax","Tasse escl."
"From:","Da:"
"Gift Message","Messaggio regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Vai a  <a href=""%s""> I miei prodotti scaricabili</a>"
"Guest checkout will only work with shareable.","Il checkout per ospiti funzionerà solo se è condivisibile."
"In stock","Disponibile"
"Incl. Tax","Tasse incl."
"Invalid download link type.","Tipo di link per il download non valido."
"Invoiced","Fatturati"
"Links can be purchased separately","I link possono essere acquistati separatamente"
"List","Lista"
"Max. Downloads","Downloads massimi"
"Message:","Messaggio:"
"Move","Sposta"
"My Downloadable Products","Prodotti scaricabili"
"Open Links in New Window","Apri link in una nuova finestra"
"Order #","Ordine n. "
"Order Item Status to Enable Downloads","Status elemento ordine per Abilitare i download"
"Order id cannot be null","Id ordine non può essere nullo"
"Order item id cannot be null","ID elemento ordine non può essere nullo"
"Ordered","Ordinato"
"Out of stock","Non Disponibile"
"Pending","In attesa"
"Please log in to download your product.","Accedi al download del prodotto."
"Please set resource file and link type.","Imposta file risorsa e tipo link."
"Please specify product link(s).","Specifica i link prodotto."
"Price","Prezzo"
"Qty","Qtà"
"Refunded","Rimborsati"
"Remaining Downloads","Donwloads disponibili"
"Remove","Elimina"
"Remove Item","Rimuovi elemento"
"SKU","Cod.Art."
"Sample","Esempio"
"See price before order confirmation.","Vedere il prezzo prima della conferma dell'ordine."
"Shareable","Condivisibile"
"Shipped","Spediti"
"Sorry, there was an error getting requested content. Please contact the store owner.","Si è verificato un errore durante il recupero il contenuto richiesto. Si prega di contattare il proprietario del negozio."
"Sort Order","Ordinamento"
"Start Download","Avvia Download"
"Status","Stato"
"Subtotal","Subtotale"
"The link has expired.","Il link è scaduto."
"The link is not available.","Il link non è disponibile."
"Title","Titolo"
"To:","A:"
"Unlimited","Illimitato"
"Update","Aggiorna"
"Use Content-Disposition","Usa disposizione contenuto"
"Use Default Value","Usa il valore predefinito"
"View Order","Visualizza ordine"
"What's this?","Cos'è questo?"
"You have not purchased any downloadable products yet.","Non hai ancora acquistato nessun prodotto scaricabile."
"attachment","allegato"
"download","Download"
"inline","in coda"
"sample","esempio"
