"(Excl. Tax)","(IVA esclusa)"
"(Incl. Tax)","(IVA inclusa)"
"* Required Fields","* Campi obbligatori"
"Add New Address","Aggiungi nuovo indirizzo"
"Add New Condition","Aggiungi nuova condizione"
"Add to Cart","Aggiungi al Carrello"
"Add to Compare","Aggiungi al confronto"
"Add to Wishlist","Aggiungi alla Lista dei Desideri"
"Address","Indirizzo"
"Address %s of %s","Indirizzo %s di %s"
"After Adding a Product Redirect to Shopping Cart","Dopo aver aggiunto un reindirizzamento di prodotto al carrello"
"Allow Guest Checkout","Permetti checkout agli ospiti"
"Already registered?","Già registrato?"
"An error occurred in the process of payment","Si è verificato un errore nel processo di pagamento"
"Apply","Applica"
"Apply Coupon","Applica Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo elemento dal carrello?"
"Back","Indietro"
"Back to Billing Information","Torna a informazioni di fatturazione"
"Back to Select Addresses","Torna alla selezione degli indirizzi"
"Back to Shipping Information","Torna alle informazioni sulla spedizione"
"Back to Shopping Cart","Torna al carrello"
"Based on your selection, you may be interested in the following items:","Sulla base della tua scelta, potresti essere interessato ai seguenti articoli:"
"Billing Address","Indirizzo di Fatturazione"
"Billing Information","Informazioni di fatturazione"
"Billing Information - %s","Informazioni di fatturazione - %s"
"Cancel","Annulla"
"Cancel Coupon","Annulla il Coupon"
"Cannot process the item.","Impossibile elaborare l'elemento."
"Card Verification Number Visual Reference","Scheda Verifica numero riferimento visivo"
"Cart Subtotal:","Subtotale carrello:"
"Change","Modifica"
"Change Billing Address","Cambia indirizzo di fatturazione"
"Checkbox Text","Testo della checkbox"
"Checkout","Acquista"
"Checkout Conditions","Condizioni di checkout"
"Checkout Options","Opzioni checkout"
"Checkout Terms and Conditions","Termini e condizioni del checkout"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o registrati"
"Checkout with Multiple Addresses","Checkout con indirizzi multipli"
"City","Città"
"Clear Shopping Cart","Svuota Carrello"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clicca <a href=""%s"" onclick=""this.target='_blank'"">qui per stampare</a> una copia della conferma dell'ordine."
"Close","Chiudi"
"Company","Azienda"
"Condition Name","Nome della condizione"
"Configurable Product Image","Immagine del prodotto configurabile"
"Confirm Password","Conferma password"
"Content","Contenuto"
"Content Height","Altezza contenuto"
"Content Height (css)","Altezza contenuto (css)"
"Continue","Continua"
"Continue Shopping","Continua gli Acquisti"
"Continue to Billing Information","Continua alle informazioni di fatturazione"
"Continue to Review Your Order","Continua per rivedere il tuo ordine"
"Continue to Shipping Information","Continua verso le informazioni di spedizione"
"Country","Paese"
"Coupon code ""%s"" is not valid.","Il codice Coupon ""%s"" non è valido."
"Create Billing Address","Crea l'indirizzo di fatturazione"
"Create Shipping Address","Crea l'indirizzo di spedizione"
"Customer Address is not valid.","Indirizzo cliente non valido."
"Customer Information","Informazioni cliente"
"Data saving problem","Problema nel salvataggio dei dati"
"Default Billing","Fatturazione predefinita"
"Default Shipping","Spedizione predefinita"
"Delete Condition","Elimina la condizione"
"Details","Dettagli"
"Disabled","Disabilitato"
"Discount Codes","Codici sconto"
"Display Cart Summary","Mostra riepilogo carrello"
"Display Shopping Cart Sidebar","Visualizza Sidebar carrello"
"Display item quantities","Mostra quantità articolo"
"Display number of items in cart","Mostra il numero di articoli nel carrello"
"Easy access to your order history and status","Facile accesso alla cronologia ordini e allo stato"
"Edit","Modifica"
"Edit Address","Modifica l'indirizzo"
"Edit Billing Address","Modifica l'indirizzo di fatturazione"
"Edit Condition","Modifica condizione"
"Edit Items","Modifica elementi"
"Edit Shipping Address","Modifica l'indirizzo di spedizione"
"Edit Terms and Conditions","Modifica i termini e le condizioni"
"Edit Your Cart","Modifica il tuo carrello"
"Edit item","Modifica Articolo"
"Edit item parameters","Modificare i parametri del prodotto"
"Email Address","Indirizzo email"
"Enable Onepage Checkout","Abilita Onepage Checkout"
"Enable Terms and Conditions","Abilita i termini e le condizioni"
"Enabled","Abilitato"
"Enter a New Address","Inserisci un nuovo indirizzo"
"Enter your coupon code if you have one.","Inserisci il tuo codice coupon se ne hai uno."
"Enter your destination to get a shipping estimate.","Inserisci la destinazione per avere una stima di spedizione."
"Estimate Shipping and Tax","Stima spedizione e tasse"
"Excl. Tax","Tasse escl."
"Fast and easy check out","Check out facile e veloce"
"Forgot an Item?","Hai dimenticato un oggetto?"
"Forgot your password?","Hai dimenticato la password?"
"Get a Quote","Ottieni un preventivo"
"Gift Message","Messaggio regalo"
"Grand Total:","Totale complessivo:"
"Grouped Product Image","Immagine del prodotto raggruppato"
"Incl. Tax","Tasse incl."
"Invalid email address ""%s""","Indirizzo email NON valido ""%s"""
"Invalid shipping method.","Metodo di Spedizione Invalido."
"Items","Elementi"
"Load customer quote error","Errore di caricamento preventivo cliente"
"Loading next step...","Caricamento passo successivo..."
"Login","Accedi"
"Terms and Conditions","Termini e condizioni"
"Maximum qty allowed for Shipping to multiple addresses is %s","Qta massima consentita per la Spedizione ad indirizzi multipli &egrave; %s"
"Move","Sposta"
"Move to Wishlist","Sposta alla lista desideri"
"My Cart","Il mio carrello"
"My Cart (%s item)","Il mio carrello (%s articoli)"
"My Cart (%s items)","Il mio carrello (%s articoli)"
"My Cart Link","Link Carrello"
"New Address","Nuovo Indirizzo"
"New Condition","Nuova condizione"
"New Terms and Conditions","Nuovi termini e condizioni"
"No Payment Methods","Nessun metodo di pagamento"
"One Page Checkout","Pagamento una pagina"
"Order #","Ordine n. "
"Order Review","Rivedi ordine"
"Order Success","Ordine riuscito"
"Payment Failed Email Reciever","Pagamento non riuscito destinatario email"
"Payment Failed Email Sender","Mittente Email pagamento non riuscito"
"Payment Failed Emails","Email pagamento non riuscito"
"Payment Failed Template","Template pagamento non riuscito"
"Payment Information","Informazioni di pagamento"
"Payment Method","Metodo di pagamento"
"Payment method is not defined","Metodo di pagamento non definito"
"Place Order","Effettua Ordine"
"Please agree to all Terms and Conditions before placing the order.","Accetta i termini e le condizioni prima di effettuare l'ordine."
"Please agree to all Terms and Conditions before placing the orders.","Accetta tutti i termini e le condizioni prima di effettuare gli ordini."
"Please agree to all the terms and conditions before placing the order.","Si prega di accettare tutti i termini e le condizioni prima di effettuare l'ordine."
"Please choose to register or to checkout as a guest","Scegli di registrarti o di fare il checkout come ospite"
"Please log in below:","Accedi:"
"Please select region, state or province","Seleziona la regione, stato o provincia"
"Please select shipping address for applicable items","Seleziona un indirizzo di spedizione applicabile agli articoli"
"Please select shipping methods for all addresses","Seleziona i metodi di pagamento per tutti gli indirizzi"
"Please specify payment method.","Specificare il metodo di pagamento."
"Please specify shipping method.","Specificare il metodo di spedizione."
"Price","Prezzo"
"Proceed to Checkout","Procedi al Checkout"
"Product","Prodotto"
"Product Name","Nome prodotto"
"Products","Prodotti"
"Qty","Qtà"
"Qty:","Qtà:"
"Quantity","Quantità"
"Quote Lifetime (days)","Durata preventivo (giorni)"
"Recently added item(s)","Articoli/o aggiunti di recente"
"Register","Registrati"
"Register and save time!","Registrati e risparmia tempo!"
"Register to Create an Account","Registrati per Creare un Account"
"Register with us for future convenience:","Registrati con noi per i vantaggi futuri:"
"Remove Item","Rimuovi elemento"
"Remove This Item","Rimuovi questo articolo"
"Remove item","Rimuovi il prodotto"
"Review Order","Rivedi Ordine"
"Review Order - %s","Rivedi ordine - %s"
"SKU","Cod.Art."
"Sales","Vendite"
"Save Condition","Salva la condizione"
"Save in address book","Salva nella rubrica"
"See price before order confirmation.","Vedere il prezzo prima della conferma dell'ordine."
"Select Address","Seleziona indirizzo"
"Select Addresses","Seleziona gli indirizzi"
"Select Shipping Method","Seleziona il metodo di spedizione"
"Select State/Province...","Seleziona Stato/Provincia..."
