"* Select shipping method","* 选择配送方式"
"2Day","两天"
"2nd Day Air","第二天的空气"
"2nd Day Air AM","第二天的空气 AM"
"3 Day Select","3 天选择"
"AVS Status: %s","AVS 状态： %s"
"Add Shipping Method","添加新配送方式"
"Allowed Methods","允许的方法"
"Amount: %s","金额： %s"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout自动生成的费用。"
"CC Partial: xxxx-%s","部分信用卡号码: xxxx-%s"
"CID Status: %s","CID 状态：%s"
"Carrier Calculated Methods","承运商计算方式"
"Cart Discount","购物车折扣"
"Checkout Image Style","结算图片格式"
"Commercial","商业"
"Continue Shopping URL","继续购物URL"
"Debug","调试"
"Default Package Height (in)","默认包裹高度（内部）"
"Default Package Length (in)","默认包裹长度（内部）"
"Default Package Width (in)","默认包裹宽度（内部）"
"Default price:","默认价格："
"Delivery Address Category","寄送地址分类"
"Disable Default Tax Tables","禁用默认税率表"
"Enable","启用"
"Enable Carrier Calculated","启用计费运输"
"Enable Digital Delivery","启用数码寄送"
"Enable Flat Rate","固定运费"
"Enable Merchant Calculated","启用商户计算"
"Enable this if your checkout request is too big and being cut off.","如果结帐请求因太长而被截断，启用此选项。"
"Expiration: %s","有效期： %s"
"Express Mail","快递邮件"
"Express Saver","表示保护程序"
"FedEx","联邦快递"
"Financial: %s -> %s","财务：%s -> %s"
"First Overnight","第一夜"
"Free Shipping","免费送货"
"Fulfillment: %s -> %s","实现: %s -> %s"
"Google Authorization:","Google授权："
"Google Charge:","Google 收费:"
"Google Checkout","Google 结帐"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - 承运商计算"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - 数码寄送"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - 固定运费"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Shipping - 商户计算"
"Google Checkout: %s","Google 结帐：%s"
"Google Order Number: %s","Google订单号: %s"
"Google Refund:","Google退款："
"Google Risk Information:","Google风险信息"
"Ground","陆运"
"Home Delivery","送货上门"
"IP Address: %s","IP地址： %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","若启用此项，在购物车中点击Google Checkout按钮后购物车内容将会隐藏，若激活“编辑购物车”链接则恢复相关内容。"
"Inches","英寸"
"Large - %s","大号 - %s"
"Latest Charge: %s","最新手费： %s"
"Latest Refund: %s","最新退款: %s"
"Location","位置"
"Media Mail","媒体的邮件"
"Medium - %s","中号- %s"
"Merchant ID","商家ID"
"Merchant Key","商户密钥"
"Method","方法"
"New Order Status","新订单状态"
"Next Day Air","次日的空气"
"Next Day Air Early AM","

第二天凌晨空气 "
"Next Day Air Saver","第二天空气保护"
"No","否"
"Optional, leave empty for home page.","可选，留空为首页。"
"Parcel Post","邮包"
"Priority Mail","优先邮件"
"Priority Overnight","隔夜优先"
"Rate 1 Amount","费率一总额"
"Rate 1 Ship To Applicable Countries","费率一， 寄送到相关国家"
"Rate 1 Ship to Specific Countries","费率一， 寄送到特定国家"
"Rate 1 Title","费率一标题"
"Rate 2 Amount","费率二总额"
"Rate 2 Ship To Applicable Countries","费率二， 寄送到相关国家"
"Rate 2 Ship to Specific Countries","费率二， 寄送到特定国家"
"Rate 2 Title","费率二标题"
"Rate 3 Amount","费率三总额"
"Rate 3 Ship To Applicable Countries","费率三， 寄送到相关国家"
"Rate 3 Ship to Specific Countries","费率三， 寄送到特定国家"
"Rate 3 Title","费率三标题"
"Residential","住宅"
"Sandbox","测试（Sandbox）"
"Secure Callback URL","安全呼叫（Callback）URL"
"Small - %s","小号 - %s"
"Standard Overnight","标准的一夜"
"Title","标题"
"Total Charged: %s","总付款： %s"
"Total Refunded: %s","退款总额： %s"
"Transparent","透明"
"USPS","美国邮政"
"United Kingdom","英国"
"United States","美国"
"White Background","白色背景"
"Yes","是"
"You will be redirected to GoogleCheckout in a few seconds.","于数秒内您将被转至GoogleCheckout网站。"
