" Copy","拷贝"
"Action","操作"
"Add New Template","添加新模板"
"Add to Queue","添加到队列"
"Allow Guest Subscription","允许客人订阅"
"Are you sure that you want to delete this template?","您确定要删除此模版吗？"
"Are you sure that you want to strip all tags?","你确定你想要去掉所有标记?"
"Back","返回"
"Cancel","取消"
"Cancelled","取消"
"Confirmation Email Sender","确认电子邮件发件人"
"Confirmation Email Template","确认电子邮件模板"
"Convert to Plain Text","转换为纯文本"
"Create Newsletter Template","创建新闻稿模板"
"Customer","客户"
"Customer First Name","客户姓氏"
"Customer Last Name","客户姓氏"
"Date Added","日期已添加"
"Date Updated","更新的日期"
"Delete","删除"
"Delete Selected Problems","删除选定的问题"
"Delete Template","删除模板"
"Do you really want to cancel the queue?","你真的想要取消队列吗?"
"Edit Newsletter","编辑通讯"
"Edit Newsletter Template","编辑新闻稿模板"
"Edit Queue","编辑队列"
"Edit Template","编辑模板"
"Email","邮箱"
"Enter your email address","输入您的电子邮件地址"
"Error Code","错误代码"
"Error Text","错误文本"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","点击此链接以取消订阅 <! — — 这个标签是取消订阅链接--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","访客"
"ID","编号ID"
"Message","信息"
"Need to Confirm","需要确认"
"New Newsletter Template","新的新闻稿模板"
"New Template","新建模板"
"Newsletter","最新资讯"
"Newsletter Message Preview","新闻快递邮件预览"
"Newsletter Problem Reports","通讯问题报告"
"Newsletter Queue","通讯队列"
"Newsletter Section","通讯部分"
"Newsletter Styles","新闻稿样式"
"Newsletter Subscribers","时事通讯订阅服务器"
"Newsletter Subscription","邮件列表订阅"
"Newsletter Subscriptions","订阅"
"Newsletter Templates","邮件列表订阅者"
"Newsletter subscription confirmation","时事通讯订阅确认"
"Newsletter subscription success","时事通讯订阅成功"
"Newsletter unsubscription success","通讯退订成功"
"No Templates Found","没有找到模板"
"Not Activated","未激活"
"Not Sent","未发送"
"Pause","暂停"
"Paused","已暂停"
"Please enter a valid email address.","请输入一个有效的电子邮件地址。"
"Please enter new template name","请输入模版名称。"
"Please select subscriber(s)","请选择订阅名单"
"Preview","预览"
"Preview Template","预览模板"
"Processed","已处理"
"Queue Date Start","队列开始日期"
"Queue Finish","队列结束"
"Queue Information","队列信息"
"Queue Start","队列开始"
"Queue Subject","队列问题"
"Recipients","收件人"
"Reset","重置"
"Resume","恢复"
"Return HTML Version","返回 HTML 版本"
"Save As","另存为"
"Save Newsletter","保存通讯"
"Save Template","保存模板"
"Save and Resume","保存和恢复"
"Security","安全"
"Sender","发送方"
"Sender Email","发件人的电子邮件"
"Sender Name","发件人邮箱"
"Sending","发送"
"Sent","已发送"
"Sign Up for Our Newsletter:","注册我们的时事通讯:"
"Sign up for our newsletter","登记我们的邮件列表"
"Start","开始"
"Status","状态"
"Store","商店"
"Store View","商店界面"
"Subject","主题"
"Submit","提交"
"Subscribe","订阅"
"Subscribed","已订阅"
"Subscriber","订阅用户"
"Subscribers","订阅用户"
"Subscribers From","从订阅服务器"
"Subscription Options","订阅选项"
"Success Email Sender","成功的电子邮件发件人"
"Success Email Template","成功的电子邮件模板"
"Template Content","模板内容"
"Template Information","模板信息"
"Template Name","模板名称"
"Template Styles","模板中的样式"
"Template Subject","模板主题"
"Template Type","模板类型"
"Thank you for your subscription.","谢谢您的订阅。"
"There was a problem with the subscription: %s","此订阅有问题：%s"
"There was a problem with the un-subscription.","此退订有问题。"
"This email address is already assigned to another user.","此电子邮件地址已经分配给另一个用户。"
"Type","类型"
"Unconfirmed","未经证实的"
"Unsubscribe","取消订阅"
"Unsubscribe Selected","取消选定"
"Unsubscribed","取消订阅"
"Unsubscription Email Sender","未获客户退订电子邮件发件人"
"Unsubscription Email Template","未获客户退订电子邮件模板"
"View Newsletter","查看通讯"
"Website","网站"
"Your subscription has been confirmed.","你的订阅已经得到确认。"
