"Active","活动"
"Add Attribute Mapping","添加属性映射（Mapping）"
"Add New Attribute","该属性不存在"
"Add to Google Base","添加至Google Base"
"Are you sure?","您确定吗？"
"Attribute","属性"
"Attribute Set","属性集"
"Attribute Set and Item Type","属性分组和商品类型"
"Attributes","属性管理"
"Attributes Set","属性分组"
"Available Products","可使用的商品"
"Cannot update Google Base Item for Store '%s'","商店无法更新Google Base商品 '%s'"
"Captcha confirmation error: %s","Captcha（验证码）确认错误信息: %s"
"Catalog","目录"
"Clicks","点击"
"ClientLogin","客户登录"
"Confirm","确认"
"Current Mapping will be reloaded. Continue?","Mapping）将重载。继续？"""
"Custom attribute, no mapping","自定义属性，不加映射（Mapping）"
"Delete","删除"
"Delete Mapping","删除映射（Mapping）"
"Edit Item Type","编辑商品类型"
"Edit Item Type ""%s""","编辑商品类型 ""%s"""
"Error: %s","错误信息：%s"
"Expires","到期"
"Google Base Attribute","Google Base属性"
"Google Base Item Type","Google Base商品类型"
"Google Base Item type","Google Base商品类型"
"Google Base Items","Google Base商品"
"Hide","隐藏"
"Invalid Product Model for Google Base Item","Google Base商品型号不正确。"
"Item Type was deleted","商品类型已被删除"
"Item Types","商品类型"
"Items","产品"
"Manage Attribute Mapping","映射（Mapping）属性管理"
"Manage Attributes","属性管理"
"Manage Items","管理项目"
"New Item Type","新商品类型"
"No","否"
"No items were deleted from Google Base","商品从Google Base里被删除。"
"No items were published","无商品被发布。"
"No products were added to Google Base","无商品添加至Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","请选择属性分组和Google商品类型以加载属性。"
"Product Name","产品名称"
"Publish","发布"
"Published","已发布"
"Remove","删除"
"Save Mapping","储存映射（Mapping）"
"Synchronize","同步"
"Target Country","目标国家"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","此操作将更新商品统计并删除不在Google Base内的商品。要继续吗？"
"Unable to connect to Google Base. Please, check Account settings in configuration.","无法连接至Google Base。请检查帐户设置。"
"View Available Products","查看有效商品"
"View Item in Google Base","查看Google Base的商品"
"Yes","是"
