"Add Recipient","添加收件人"
"Allow for Guests","允许为客人"
"Back","返回"
"Email Address","电子邮件地址"
"Email Address:","电子邮件地址︰"
"Email Templates","邮件模板"
"Email to a Friend","推荐给朋友"
"Email:","邮箱："
"Enabled","启动"
"Invalid Sender Information","无效发件人信息"
"Limit Sending By","限制通过发送"
"Max Products Sent in 1 Hour","在 1 小时内发送的最大产品"
"Max Recipients","最大收件人"
"Maximum %d email addresses allowed.","最多允许%d个电子邮件地址"
"Message:","消息："
"Name","名字"
"Name:","名字："
"Recipient:","收件人"
"Remove Email","删除"
"Select Email Template","选择电子邮件模板"
"Send Email","发送邮件"
"Send product to a friend","分享此商品给朋友"
"Sender:","发件人"
"Some emails were not sent.","未发送几封电子邮件。"
"The link to a friend was sent.","被送到一位朋友的链接。"
