"%d Review(s)","%d个评论"
"%s Review(s)","%s个评论"
"(Posted on %s)","(评论日期 %s)"
"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Review","发表新的评论"
"Add Your Review","添加您的评论"
"Administrator","管理员"
"All Reviews","所有评论"
"Allow Guests to Write Reviews","允许客人来写评论"
"Approved","已批准"
"Are you sure you want to do this?","您确认要这么做么？"
"Are you sure?","您确定吗？"
"Average Customer Rating","平均客户评级"
"Average Customer Rating:","平均客户评级:"
"Back","返回"
"Back to Main Product Info","回到主产品信息"
"Back to My Reviews","回到我的评论"
"Back to Product Reviews","回到产品评论"
"Be the first to review this product","率先评论此产品"
"Created On","创建于"
"Customer","客户"
"Customer Reviews","客户评论"
"Customers Reviews","客户评论"
"Delete","删除"
"Delete Review","删除审查"
"Detailed Rating","详细的评分"
"Edit Review '%s'","修改'%s'的评级"
"Guest","访客"
"How do you rate this product?","您对此商品的评级是？"
"ID","编号ID"
"My Product Reviews","我的产品评论"
"My Recent Reviews","我最近的评论"
"Name","名字"
"New Review","新的审查"
"Nickname","昵称"
"Not Approved","未获批准"
"Pending","待付款"
"Pending Reviews","待定评论"
"Please select a product","请选择商品"
"Please select one of each of the ratings above","请选择上面的一个评级"
"Posted By","作者"
"Price","价格"
"Product","产品"
"Product Name","产品名称"
"Product Rating","产品评级"
"Product Rating:","产品评级:"
"Product Review (submitted on %s):","商品评论 (提交日期 %s):"
"Product Reviews","产品评论"
"Product SKU","商品 SKU"
"Products Reviews","产品评论"
"Qty","数量"
"Rating:","评级:"
"Review","产品评价"
"Review Details","查看详细信息"
"Review by %s","评论人 %s"
"Reviews","点评"
"Reviews and Ratings","评论与评级"
"SKU","商品编号SKU"
"Save Review","保存评论"
"Status","状态"
"Submit Review","提交的评论"
"Summary Rating","摘要评级"
"Summary of Review","审查的摘要"
"Summary of Your Review","您的评论摘要"
"Title","标题"
"Type","类型"
"Update Status","更新状态"
"View All Reviews","查看全部评论"
"View Details","查看详情"
"Visible In","可见"
"Websites","网站"
"Write Your Own Review","编写您自己的评论"
"You have submitted no reviews.","你没有提交评论。"
"You're reviewing:","您正在查看:"
"Your Rating:","您的评价："
"Your Review (submitted on %s):","您的评论 (写于%s):"
