" [deleted]"," [删除]"
" and "," 和 "
"(For US 2-letter state names)","（用于美国两个字符的州名）"
"(If left empty will be auto-generated)","（如留空将被自动生成）"
"(Leave empty for first spreadsheet)","(留空，保留给第一个电子表单)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","（若导入文件里的商店 ‘store’ 栏留空或不存在， 商品将增添至或更新于此商店。）"
"(Shift-)Click or drag to change value","(Shift-)点击（Click）或拖弋（drag）以更换值"
"(Starting with)","(开始为)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","（若使用'No'，只有映射栏（mapped fields）被导入。映射（mapping）时使用‘column1’， ‘column2’等）"
"(You have to increase php memory_limit before changing this value)","（修改此值之前您必须先增加php的memory_limit设置值）"
"(\t for tab)","(t 为制表符)"
"* Required Fields","*必要字段"
"- Click on any of the time parts to increase it","- 点击任何时间部分以增加它"
"- Hold mouse button on any of the above buttons for faster selection.","- 点按鼠标纽于上面任何按钮以加速选择。"
"- Use the %s buttons to select month","- 使用 %s 按钮以选择月份。"
"- Use the %s, %s buttons to select year","- 使用 %s 和 %s 按钮以选择年份。"
"- or Shift-click to decrease it","- 或同时按下Shift健和按鼠标纽（Shift-click）以减少选择。"
"- or click and drag for faster selection.","- 或点击（Click）和拖弋（drag）以以加速选择。"
"-- Please Select --","-- 请选择 --"
"-- Please Select Billing Agreement--","— — 请请选择计费协议 — —"
"-- Please Select a Category --","— — 请选择一个类别 — —"
"-- Please select --","-- 请选择 --"
"--Please Select--","-- 请选择 --"
"1 Hour","1 小时"
"12 Hours","12 个小时"
"12h AM/PM","12h 上午/下午"
"2 Hours","2 个小时"
"24 Hours","24 小时"
"24h","24小时"
"2YTD","2年至今"
"6 Hours","6 个小时"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 错误</h1><p>页找不到。</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>: 验证码是区分大小写。"
"A user with the same user name or email already exists.","具有相同的用户名或电子邮件的用户已存在。"
"API Key","API 密钥"
"Abandoned Carts","被遗弃的车"
"About the calendar","关于日历"
"Account Created in:","在中创建的帐户:"
"Account Created on (%s):","帐号创建于（%s）"
"Account Created on:","帐号创建于："
"Account Information","账户信息"
"Account Status","帐户状态"
"Account status","帐号状态"
"Action","操作"
"Actions","动作"
"Actions XML","XML操作"
"Active","活动"
"Add","添加"
"Add Exception","添加突发状况（例外）"
"Add Field Mapping","添加映射（Mapping）栏"
"Add Field with URL:","添加URL栏："
"Add New","新增"
"Add New Block","添加新的模块"
"Add New Image","添加新图片"
"Add New Profile","添加新用户（帐号）"
"Add New Role","添加新角色"
"Add New Template","添加新模板"
"Add New URL Rewrite","添加新网址重写"
"Add New User","添加新用户"
"Add New Variable","变量代码必须是唯一的。"
"Add Products","添加产品"
"Add URL Rewrite","添加 URL 重写"
"Add URL Rewrite for a Category","需要输入商店的路径"
"Add URL Rewrite for a Product","添加产品 URL 重写"
"Add after","添加后"
"Additional Cache Management","额外的缓存管理"
"Address Type:","地址类型："
"Admin","管理员"
"Advanced Profiles","高级用户（的设置）"
"All","全部"
"All Allowed Countries","指定国家"
"All Cache","所有缓存"
"All Files","所有文本"
"All Reviews","所有评论"
"All Store Views","所有商店界面"
"All Tags","所有标签"
"All Websites","所有网站"
"All countries","所有国家"
"All fields","所有行/栏"
"All valid rates have been saved.","所有有效的汇率已被保存。"
"Always (during development)","总是 (发育)"
"Amounts","金额"
"An error occurred while clearing the JavaScript/CSS cache.","清除的 JavaScript 和 CSS 缓存时出错。"
"An error occurred while clearing the image cache.","清除图片缓存时出错。"
"An error occurred while deleting this role.","删除此角色时出错。"
"An error occurred while saving account.","保存帐户时出错。"
"An error occurred while saving this role.","保存这个角色时出错。"
"Any","任何"
"Any Attribute Set","任何属性组别"
"Any Group","任何组"
"Any Status","任何状态"
"Any Store","任何商店"
"Any Type","任何类型"
"Any Visibility","任何显示的"
"Archive file name:","存档文件名："
"Are you sure that you want to delete this template?","您确定要删除此模版吗？"
"Are you sure that you want to strip tags?","您确定要删除此标签吗？"
"Are you sure you want to do this?","您确认要这么做么？"
"Area","地区"
"As low as:","低至："
"Assigned","分配"
"Attribute Set Name:","属性组别名："
"Attributes","属性管理"
"Authorize","授权"
"Automatic (equalize price ranges)","自动 (均衡价格范围)"
"Automatic (equalize product counts)","自动 (均衡产品计数)"
"Average Order Amount","平均订单金额"
"Average Orders","平均订单金额"
"Back","返回"
"Back to Login","返回登录页"
"Backup","备份"
"Backup Name","备份名称"
"Backup options","备份选项"
"Backups","备份"
"Base currency","基础货币"
"Bcc","抄送"
"Bestsellers","畅销品"
"Billing Address","账单地址"
"Billing Address: ","帐单地址:"
"Billing Agreement","付帐协议"
"Billing Agreements","结算协议"
"Block Information","块信息"
"Blocks","模块"
"Both (without and with tax)","(不加税)"
"Browse Files...","浏览文件。。。"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有动态价格的包裹不能含有自定选项。选项设置不会被保存。"
"By Email","通过电子邮件"
"By IP","通过 IP"
"By IP and Email","通过 IP 和电子邮件"
