"(Excl. Tax)","（不包括税）"
"(Incl. Tax)","含税"
"* Required Fields","*必要字段"
"Add New Address","添加新地址"
"Add New Condition","添加新的条件"
"Add to Cart","添加到购物车"
"Add to Compare","添加并比较"
"Add to Wishlist","添加到收藏夹"
"Address","地址"
"Address %s of %s","第%s个地址，共%s个"
"After Adding a Product Redirect to Shopping Cart","将产品重定向添加到购物车后"
"Allow Guest Checkout","允许游客结帐"
"Already registered?","已注册？"
"An error occurred in the process of payment","支付过程出现错误"
"Apply","应用"
"Apply Coupon","申请优惠券"
"Are you sure you would like to remove this item from the shopping cart?","你确定你想要从购物车中删除此项目？"
"Back","返回"
"Back to Billing Information","追溯到帐单信息"
"Back to Select Addresses","返回选择地址"
"Back to Shipping Information","追溯到发货信息"
"Back to Shopping Cart","返回到购物车"
"Based on your selection, you may be interested in the following items:","基于您的选择，您也许对以下商品感兴趣："
"Billing Address","账单地址"
"Billing Information","订单总览"
"Billing Information - %s","账单信息 - %s"
"Cancel","取消"
"Cancel Coupon","取消优惠券"
"Cannot process the item.","无法处理该项目。"
"Card Verification Number Visual Reference","信用卡验证号码 视觉参考"
"Cart Subtotal:","购物车小计："
"Change","更改"
"Change Billing Address","更改账单地址"
"Checkbox Text","复选框文本"
"Checkout","结帐"
"Checkout Conditions","签出条件"
"Checkout Options","结账选项"
"Checkout Terms and Conditions","购买条款"
"Checkout as Guest","以访客身份结帐"
"Checkout as a Guest or Register","以访客身份结帐或注册"
"Checkout with Multiple Addresses","使用多个地址结帐"
"City","城市"
"Clear Shopping Cart","没有付款方式"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">打印</a>订购确认书"
"Close","关闭"
"Company","地址"
"Condition Name","条件名称"
"Configurable Product Image","可配置的产品图像"
"Confirm Password","确认密码"
"Content","内容"
"Content Height","内容的高度"
"Content Height (css)","内容高度 (css)"
"Continue","继续"
"Continue Shopping","继续购物"
"Continue to Billing Information","继续到帐单信息"
"Continue to Review Your Order","继续查看订单"
"Continue to Shipping Information","继续配送信息"
"Country","国家"
"Coupon code ""%s"" is not valid.","优惠券号""%s""不正确。"
"Create Billing Address","创建帐单地址"
"Create Shipping Address","创建送货地址"
"Customer Information","客户信息"
"Data saving problem","数据保存的问题"
"Default Billing","默认账单"
"Default Shipping","默认发货"
"Delete Condition","删除条件"
"Details","详情"
"Disabled","禁用"
"Discount Codes","优惠券"
"Display Cart Summary","显示购物车摘要"
"Display Shopping Cart Sidebar","显示购物车 Sidebar"
"Display item quantities","显示物料数量"
"Display number of items in cart","在购物车中显示项目的数"
"Easy access to your order history and status","简易查询您的订单历史和帐号资料"
"Edit","编辑"
"Edit Address","更改账单地址"
"Edit Billing Address","编辑帐单地址"
"Edit Condition","编辑条件"
"Edit Items","编辑项目"
"Edit Shipping Address","编辑送货地址"
"Edit Terms and Conditions","编辑的条款和条件"
"Edit Your Cart","编辑您的购物车"
"Edit item","编辑项目"
"Edit item parameters","修改参数"
"Email Address","电子邮件地址"
"Enable Onepage Checkout","使用同一页面结帐"
"Enable Terms and Conditions","启用的条款和条件"
"Enabled","启动"
"Enter a New Address","输入新的地址"
"Enter your coupon code if you have one.","若您有优惠券号，请输入。"
"Enter your destination to get a shipping estimate.","输入目的地估计运费。"
"Estimate Shipping and Tax","估计运费和税"
"Excl. Tax","不含税"
"Fast and easy check out","快速方便结帐"
"Fax","传真"
"Forgot an Item?","消除一个商品吗?"
"Forgot your password?","您忘记密码了吗?"
"Get a Quote","询价"
"Gift Message","礼品消息"
"Grand Total:","总计:"
"Grouped Product Image","组合的产品的图片"
"ID","编号ID"
"Incl. Tax","含。税"
"Invalid email address ""%s""","邮件地址不正确 ""%s"""
"Invalid shipping method.","配送方式不正确。"
"Items","产品"
"Load customer quote error","加载客户报价单错误"
"Loading next step...","加载下一步..."
"Login","登录"
"Terms and Conditions","条款和条件"
"Maximum qty allowed for Shipping to multiple addresses is %s","多个地址配送允许的最高产品数量为%s"
"Move","移动"
"Move to Wishlist","移动到收藏"
"My Cart","我的购物车"
"My Cart (%s item)","购物车 (%s商品)"
"My Cart (%s items)","购物车 (%s商品)"
"My Cart Link","我购物车链接"
"New Address","从您的地址簿选择发货地址，或输入新地址。"
"New Condition","新的条件"
"New Terms and Conditions","新的条款和条件"
"No Payment Methods","没有付款方法"
"One Page Checkout","单页（One Page）结算"
"Order #","订单 #"
"Order Review","订单评审"
"Order Success","订单成功"
"Password","密码"
"Payment Failed Email Reciever","支付失败邮件收件人"
"Payment Failed Email Sender","支付失败邮件发件人"
"Payment Failed Emails","支付失败的电子邮件"
"Payment Failed Template","支付失败模板"
"Payment Information","支付信息"
"Payment Method","支付方式"
"Payment method is not defined","支付方式尚未定义"
"Place Order","下单"
"Please agree to all Terms and Conditions before placing the order.","请在下订单前同意所有的条款和条件。"
"Please agree to all Terms and Conditions before placing the orders.","在下订单前请选择同意所有购买条款。"
"Please agree to all the terms and conditions before placing the order.","请在下订单前同意所有的条款和条件。"
"Please choose to register or to checkout as a guest","请选择注册或以访客身份结算。"
"Please log in below:","请输入登录信息："
"Please select region, state or province","请选择一个地区，州或省。"
"Please select shipping address for applicable items","请选择匹配的商品配送地址"
"Please select shipping methods for all addresses","请选择所有地址的配送方式"
"Please specify payment method.","请选择付款方式。"
"Please specify shipping method.","请选择配送方式。"
"Price","价格"
"Proceed to Checkout","去结帐"
"Product","产品"
"Product Name","产品名称"
"Products","产品展示"
"Qty","数量"
"Qty:","数量："
"Quantity","数量"
"Quote Lifetime (days)","引述有效期 (天)"
"Recently added item(s)","新近添加的物品"
"Register","注册帐号"
