"* Required Fields","*必要字段"
"ALL GROUPS","所有分组"
"Account Dashboard","帐号界面"
"Account Information","账户信息"
"Account Sharing Options","帐户共享选项"
"Action","操作"
"Add New Address","添加新地址"
"Add New Customer","添加新客户"
"Add New Customer Group","添加新客户组"
"Added From","加自"
"Additional Address Entries","额外的地址条目"
"Address","地址"
"Address Book","通讯簿"
"Address Information","地址信息"
"Address Templates","地址模板"
"Addresses","地址"
"Admin","管理员"
"All","全部"
"All Store Views","所有商店界面"
"All countries","所有国家"
"Always optional.","始终是可选的。"
"Amount","数量"
"Approved","已批准"
"Are you sure that you want to remove this item?","确定要删除此商品？"
"Are you sure you want to cancel adding of this address?","确定要取消添加中的地址？"
"Are you sure you want to delete this address?","是否确实要删除此地址?"
"Are you sure?","您确定吗？"
"Assign a Customer Group","分配一个客户组"
"Average Sale","平均销售"
"Back","返回"
"Back to Login","返回登录页"
"Bad request.","请求有误。"
"Bill to Name","账单收件人"
"Bought From","购买自"
"By Email","通过电子邮件"
"By IP","通过 IP"
"By IP and Email","通过 IP 和电子邮件"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","注册帐号让您购物更方便快捷！您还可同时储存多个运送地址及管理商品，收藏等。"
"CSV","Excel XML"
"Cancel","取消"
"Change Account Password","修改帐户密码"
"Change Billing Address","更改账单地址"
"Change Password","更改密码"
"Change Shipping Address","更改送货地址"
"City","城市"
"Company","地址"
"Config","设置"
"Configure","配置"
"Confirm New Password","确认新密码"
"Confirm Password","确认密码"
"Confirmation Link Email","确认链接的电子邮件"
"Confirmed","确认"
"Contact Information","联系信息"
"Continue Shopping","继续购物"
"Country","国家"
"Create","创建"
"Create New Account Options","创建新帐户选项"
"Create New Customer Account","注册新帐号"
"Create Order","创建订单"
"Create an Account","创建帐户"
"Create customer","创建顾客"
"Create customer address","创建顾客地址"
"Current Password","当前密码"
"Customer","客户"
"Customer Addresses","客户地址"
"Customer Configuration","客户配置"
"Customer Group","客户组"
"Customer Groups","客户组"
"Customer Information","客户信息"
"Customer Login","顾客登录"
"Customer Since","客户自"
"Customer View","客户视图"
"Customer will stay on the current page if ""No"" is selected.","如果选择“否”，客户将停留在当前页上。 "
"Customers","客户"
"Customers Only","仅限顾客"
"DD","日"
"Date","日期"
"Date Added","日期已添加"
"Date of Birth","出生日期"
"Day","天"
"Days in Wishlist","收藏的天数"
"Default Addresses","默认地址"
"Default Billing Address","创建帐号"
"Default Email Domain","默认电邮域名"
"Default Group","默认组"
"Default Shipping Address","默认送货地址"
"Default Value for Disable Automatic Group Changes Based on VAT ID","禁用自动组更改基于VAT  ID 的默认值"
"Default Welcome Email","默认的欢迎电子邮件"
"Delete","删除"
"Delete Address","删除地址"
"Delete Customer","删除客户"
"Delete Customer Group","删除客户组"
"Delete customer","删除顾客"
"Delete customer address","删除顾客地址"
"Deleted Stores","已删除存储区"
"Details","详情"
"Disabled","禁用"
"Edit","编辑"
"Edit Account Info","修改帐户信息"
"Edit Account Information","编辑帐户信息"
"Edit Address","更改账单地址"
"Edit Address Entry","修改地址"
"Edit Customer Group ""%s""","修改客户组别""%s"""
"Edit Customer Groups","编辑客户组"
"Edit Customer's Address","修改客户地址"
"Edit Group","编辑组"
"Edit Newsletters","修改 Newsletters"
"Email","邮箱"
"Email Address","电子邮件地址"
"Email Sender","电子邮件发件人"
"Email:","邮箱："
"Enable Automatic Assignment to Customer Group","启用自动分配给客户组"
"Excel XML","XML Excel"
"Failed to confirm customer account.","无法确认顾客帐号。"
"Fax","传真"
"First Name","名"
"Forgot Email Template","忘了电子邮件模板"
"Forgot Password","忘记密码?"
"Forgot Your Password?","您忘记密码了吗?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","在我的帐号面板中，您可以查看最近帐户访问情况、更新帐户信息。选择下面的链接查看或修改信息。"
"Gender","性别"
"General Subscription","一般的订阅"
"Generate Human-Friendly Customer ID","生成人性化客户 ID"
"Global","全球"
"Group","分组"
"Group Information","组信息"
"Group Name","群组名称"
"Group for Invalid VAT ID","组为无效VAT  ID 的"
"Group for Valid VAT ID - Domestic","有效VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","有效VAT  ID - Intra-Union"
"Guest","访客"
"Hello, %s!","您好，%s!"
"ID","编号ID"
"IP Address","IP 地址"
"If you have an account with us, please log in.","您若已经注册，请登录。"
"Invalid current password","现有密码错误。"
"Invalid customer data","顾客数据错误"
"Invalid login or password.","无效的登录名或密码。"
"Last Activity","最后一次活动"
"Last Date Subscribed","订阅期限"
"Last Date Unsubscribed","取消订阅期限"
"Last Name","姓"
"Leave empty for default (15 minutes).","留空为默认值 (15 分钟)。"
"Leave empty for default (2). Valid range: 1-4","若腾空不填，设置为默认（2）。有效度: 1-4"
"Lifetime Sales","销售总额"
"Log In","登录"
"Log Out","退出"
"Login","登录"
"Login Information","登陆信息"
"Login Options","登录选项"
"Login or Create an Account","登陆或注册新帐户"
"MM","月"
"Manage Addresses","管理地址"
"Manage Customers","客户管理"
"Month","月"
"My Account","我的账户"
"My Dashboard","我的帐号面板"
"My Orders","我的订单"
"Name","名字"
"Name and Address Options","名称和地址选项"
"Never","永不"
"New Address","从您的地址簿选择发货地址，或输入新地址。"
"New Address Entry","添加新地址"
"New Customer","新用户"
"New Customer Address","新顾客地址"
"New Customer Group","新的客户群体"
"New Customer Groups","新的客户群体"
"New Customers","请在该字段中输入大于或等于1的数字"
"New Group","新组"
"New Password","新密码"
"New account","新帐户"
"New account confirmation key","新帐户认证码"
"New account confirmed","新帐户已确认"
"Newsletter","最新资讯"
"Newsletter Finish","Newsletter发送完成"
"Newsletter Information","最新资讯信息"
"Newsletter Received","Newsletter开始接收"
"Newsletter Start","Newsletter开始发送"
"Newsletter Subscription","邮件列表订阅"
"Newsletters","通讯"
"No Items Found","找不到项目"
"No Newsletter Found","未找到最新资讯"
"No item specified.","没有指定的项。"
"Not Sent","未发送"
"Not confirmed, can login","验证，允许登录"
"Not confirmed, cannot login","未验证，不允许登录"
"Offline","离线"
"Online","在线"
"Online Customers","在线客户"
"Online Customers Options","在线客户选项"
"Online Minutes Interval","在线分钟间隔"
"Order #","订单 #"
"Order Total","订单总额"
"Orders","订单"
"PDF","PDF格式"
"Password","密码"
"Password Management","密码管理"
"Password Options","密码选项"
"Password forgotten","密码忘记了"
"Password:","密码:"
"Paused","已暂停"
"Pending","待付款"
"Per Website","每个网站"
"Personal Information","个人信息"
"Please enter a number 1 or greater in this field.","请在此字段中输入数量大于或等于 1。"
"Please enter the city.","请输入城市。"
"Please enter the country.","请输入国家。"
"Please enter the first name.","请输入名字。"
"Please enter the last name.","请输入姓氏。"
"Please enter the state/province.","请输入省/市/自治区。"
"Please enter the street.","请输入国家。"
"Please enter the zip/postal code.","请输入邮政编码。"
"Please enter your email below and we'll send you confirmation link for it.","请输入电邮以获取确认链接。"
"Please enter your email.","请输入您的电子邮箱地址。"
"Please make sure your passwords match.","请确保您的密码相匹配。"
"Please select region, state or province","请选择一个地区，州或省。"
"Prefix Dropdown Options","前缀下拉选项"
"Price","价格"
"Product","产品"
"Product ID","产品 ID"
"Product Name","产品名称"
"Product Reviews","产品评论"
"Product Tags","商品标签"
"Purchase On","购买日期"
"Purchased On","购买于"
"Qty","数量"
"Recent Orders","最近的订单"
"Recovery Link Expiration Period (hours)","恢复链接到期时间 （小时）"
"Redirect Customer to Account Dashboard after Logging in","登录后将客户重定向到仪表板帐户"
"Refunded","已退款"
"Register","注册帐号"
"Registered Customers","客户加入日期"
"Remind Email Template","提醒电子邮件模板"
"Remove","删除"
"Require Emails Confirmation","需要电子邮件确认"
"Reset a Password","重置密码"
"Retrieve address data","获取地址数据"
"Retrieve address info","获取地址信息"
"Retrieve customer addresses","获取顾客地址"
"Retrieve customer data","获取顾客数据"
"Retrieve customers","获取顾客资料"
"Retrieve your confirmation link here","获取确认链接"
"Retrieve your password here","获取你的密码"
"SKU","商品编号SKU"
"Sales Statistics","销售统计"
"Save","保存"
"Save Address","保存地址"
"Save Customer","保存客户"
"Save Customer Group","保存客户组"
"Save Password","储存密码"
"Save and Continue Edit","保存并继续编辑"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","分号 (;) 值<br/>放符号于空无选项前。<br/>文字行段留白。"
"Send From","发送自"
"Send Welcome Email after Confirmation","确认后发送邮件"
"Send confirmation link","发送确认链接"
"Sending","发送"
"Sent","已发送"
"Session Start Time","浏览（Session）开始时间"
"Set as Default Billing Address","设为默认的账单地址"
"Set as Default Shipping Address","设为默认的配送地址"
"Share Customer Accounts","共享客户帐户"
"Shipped to First Name","收货人名字"
"Shipped to Last Name","收货人姓氏"
"Shipped to Name","收货人姓名"
"Shopping Cart","购物车"
"Shopping Cart - %d item(s)","购物车 - %d(件)"
"Show Date of Birth","显示出生的日期"
"Show Gender","显示性别"
"Show Middle Name (initial)","显示中间名 (初始)"
"Show Prefix","显示前缀"
"Show Suffix","显示后缀"
"Show Tax/VAT Number","显示税/增值税号码"
"Sign Up for Newsletter","订阅资讯"
"State/Province","州/省"
"Status","状态"
"Store","商店"
"Store View","商店界面"
"Street Address","街道地址"
"Subject","主题"
"Submit","提交"
"Subscribe to Newsletter","订阅到新闻通讯"
"Subscribed to Newsletter?","订阅newsletter？"
"Suffix Dropdown Options","后缀下拉选项"
"Tag Name","标签名称"
"Tax Calculation Based On","税收计算基于"
"Tax Class","税收类"
"Tax/VAT number","显示税号/增值税号码"
"Telephone","电话"
"Text","文字"
"Text One Line","一行文字"
"The VAT ID entered (%s) is not a valid VAT ID.","输入的增值税 ID (%s) 不是一个有效增值税 id。"
"The VAT ID is valid. The current Customer Group will be used.","增值税 ID 是有效的。将使用当前的客户组。"
"The customer does not have default billing address.","客户没有默认的帐单地址。"
"The suffix that goes after name (Jr., Sr., etc.)","后 (Jr.，高级，等等) 的名称后缀"
"The title that goes before name (Mr., Mrs., etc.)","名字(Mr .，Mrs .，等等)的标题。"
"There are no items in customer's wishlist at the moment","顾客的收藏里没有商品。"
"There are no items in customer's shopping cart at the moment","顾客的购物车里没有商品。"
"This account is not confirmed.","此帐户尚未确认。"
"This customer has no saved addresses.","此顾客没有储存地址。"
"This email does not require confirmation.","这封电子邮件不要求确认。"
"To Cart","到购物车"
"Total","总额"
"Type","类型"
"Unknown","未知"
"Unsubscribe from Newsletter","取消订阅新闻通讯"
"Update","更新"
"Update customer address data","更新用户地址数据"
"Update customer data","更新用户数据"
"Use as my default billing address","使用作为我的默认帐单地址"
"Use as my default shipping address","使用作为我的默认送货地址"
"VAT Number","增值税号码"
"VAT Request Date","增值税请求日期"
"VAT Request Identifier","增值税请求标识符"
"Validate VAT Number","验证增值税号码"
"Validate on Each Transaction","验证每个交易记录"
"Validation Error Group","验证组时出错"
"View","查看"
"View Order","查看订单"
"Visitor","游客"
"Visitors Only","仅限访客"
"Website","网站"
"Welcome Email","欢迎电子邮件"
"Wishlist","收藏"
"Wishlist - %d item(s)","收藏 - %d"
"Would you like to change the Customer Group for this order?","你想要改变此订单的客户组吗？"
"Wrong confirmation key.","错误的确认码。"
"Wrong customer account specified.","错误的客户帐号。"
"Wrong email.","错误的电子邮件。"
"YYYY","年"
"Year","年 "
"You are currently not subscribed to any newsletter.","您尚未订阅Newsletter。"
"You are currently subscribed to 'General Subscription'.","您订阅了Newsletter。"
"You are currently subscribed to our newsletter.","您订阅了Newsletter。"
"You have no additional address entries in your address book.","您的地址簿中没有其它地址项。"
"You have no additional entries in your address book.","Y您的地址簿中没有其它地址项。"
"You have no default billing address in your address book.","您的地址簿中没有默认的账单地址。"
"You have no default shipping address in your address book.","您的地址簿中没有默认的送货地址。"
"You have not set a default billing address.","您没有设置默认的帐单地址。"
"You have not set a default shipping address.","您没有设置默认的送货地址。"
"You have placed no orders yet.","您还没有订购任何商品。"
"You have placed no products yet.","您还没有订购任何商品。"
"You will be charged tax.","你将被收取税收。"
"You will not be charged tax.","你不需要缴税。"
"Your Tax ID cannot be validated.","无法验证您的Tax ID。"
