" for more information or ","有关详细信息或"
"# of Items (and above)","# 项目 (及以上)"
"# of Items vs. Destination","# 的项目与目标"
"Allow Shipping to Multiple Addresses","允许发货到多个地址"
"Calculate Handling Fee","显示不适用的方法"
"Carrier:","运营商"
"City","城市"
"Close Window","关闭窗口"
"Condition","条款"
"Country","国家"
"Custom Value","跟踪货运"
"Date","日期"
"Delivered on:","发表:"
"Delivered to:","递送至："
"Description","描述"
"Displayed Error Message","显示的错误消息"
"Divide to equal weight (one request)","划分为相等重量 (一个请求)"
"Enabled","启动"
"Error:","错误： "
"Export","导出"
"Fixed","百分之"
"Flat Rate","扁平率"
"Free Shipping","免费送货"
"Google Sitemap Section","Google 网站地图单元 "
"Handling Fee","处理费"
"Import","导入"
"Include Virtual Products in Price Calculation","在价格计算中包括虚拟产品"
"Info:","信息:"
"Invalid Table Rate code for type %s: %s","%s无效的运费文件代号类型：: %s"
"Invalid Table Rate code type: %s","无效的运费文件代号类型：%s"
"Invalid Table Rates File Format","无效的运费文件格式"
"Local Time","当地时间"
"Location","位置"
"Maximum Qty Allowed for Shipping to Multiple Addresses","允许发货到多个地址的最大数量"
"Method Name","方法名称"
"Minimum Order Amount","最低订单金额"
"N/A","无"
"None","无"
"Options","选项"
"Order Subtotal (and above)","订单小计 (及以上)"
"Origin","起源"
"Per Order","每个订单"
"Per Package","每个包"
"Percent","%"
"Price","价格"
"Price vs. Destination","价格与目的地"
"Region/State","地区/国家"
"Service Type:","服务类型："
"Ship to Applicable Countries","船舶适用的国家"
"Ship to Specific Countries","运到特定国家"
"Shipment #","送货单号"
"Shipped or billed on:","发货或账单日期："
"Shipping Methods","送货方式"
"Shipping Methods Section","配送方式单元"
"Shipping Settings","传送设置"
"Shipping Settings Section","运输方法部分"
"Show Method if Not Applicable","Show 方法不适用"
"Signed by:","签收人："
"Sort Order","排序"
"Status:","状态:"
"Store Pickup","存储拾取"
"Street Address","街道地址"
"Street Address Line 2","街道地址行二"
"Table Rates","费率表"
"The shipping module is not available.","航运模块不可用。"
"There is no tracking available for this shipment.","这批货尚没有跟踪。"
"There is no tracking available.","没有跟踪是可用的。"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","无此配送方式。如您想使用这一配送方式，请联系我们。"
"Title","标题"
"Track:","追踪"
"Tracking Information","跟踪信息"
"Tracking Number:","追踪号码"
"Tracking information is currently not available. Please ","跟踪信息目前不可用。请"
"Tracking information is currently unavailable.","尚无物流追踪信息。"
"Type","类型"
"Use origin weight (few requests)","使用来源重量 (几个请求)"
"Weight (and above)","重量 (及以上)"
"Weight vs. Destination","重量与目的地"
"Weight:","重量："
"ZIP/Postal Code","邮编"
"contact us","联系我们"
"email us at ","电子邮件:"
