"Actions","动作"
"Are you sure?","您确定吗？"
"Date Added","日期已添加"
"Last Update","最近更新"
"Mark as Read","标记为已读"
"Mark as read","标记为已读"
"Message","信息"
"Messages Inbox","消息收件箱"
"Notifications","通知消息"
"Please select messages.","请选择消息。"
"Read Details","查看详情"
"Remove","删除"
"Severity","严重程度"
"Show List","显示列表"
"Show Toolbar","显示工具栏"
"The message has been removed.","该消息已被删除。"
"Update Frequency","更新频率"
"Use HTTPS to Get Feed","使用 HTTPS 来得到订阅源"
"Wrong message type","错误消息类型"
"critical","紧急"
"major","主要"
"minor","次要"
"notice","通知"
