"Abandoned Carts","被遗弃的车"
"Abandoned carts","购物车丢弃的产品"
"Action","操作"
"Add to Cart","添加到购物车"
"Add to Compare","添加并比较"
"Add to Wishlist","添加到收藏夹"
"Any","任何"
"Applied Coupon","应用的优惠券"
"Are you sure?","您确定吗？"
"Bestsellers","畅销品"
"Bought from wishlists","购买于收藏"
"CSV","Excel XML"
"Carts","购物车"
"Compared Products Grid Template","比较的产品网格模板"
"Compared Products List Template","比较产品列表模板"
"Coupons","优惠券"
"Coupons Usage Report","优惠券使用情况报告"
"Created At","创建于"
"Current Month Starts","当前月份开始"
"Customer","客户"
"Customer Name","客户名称"
"Customer Tags","顾客标签"
"Customers","客户"
"Customers Report","客户报告"
"Customers Reviews","客户评论"
"Customers Tags","顾客标签"
"Customers by Number of Orders","客户订单号"
"Customers by Orders Total","客户的订单总数"
"Customers by number of orders","客户订单号"
"Customers by orders total","根据订单总额排列的顾客"
"Customers that have wishlist: %s%","有收藏商品的顾客：%s%"
"Dashboard","控制面板"
"Day","天"
"Default Recently Compared Products Count","默认最近比较产品计数"
"Default Recently Viewed Products Count","默认最近查看的产品计数"
"Description","描述"
"Detail","详细信息"
"Downloads","下载附件"
"Email","邮箱"
"Empty Rows","空的行"
"Enable Reports","启用报告"
"Excel XML","XML Excel"
"Filter","过滤器"
"First Name","名"
"From","从"
"General","基本的"
"Guest","访客"
"Hits","点击"
"ID","编号ID"
"IP Address","IP 地址"
"Invoiced","已出发票"
"Items in Cart","购物车中"
"Last Name","姓"
"Last Review","最近一次检讨"
"Link","链接"
"List of Products Recently Viewed by Visitor","访客最近浏览过的产品列表"
"Low Stock","低库存"
"Low stock","低库存"
"Month","月"
"Most Viewed","最多观看次数"
"Name","名字"
"New Accounts","新帐户"
"No","否"
"Number Added","数(号)已添加。"
"Number Fulfilled","完成次数"
"Number Of Reviews","评论次数"
"Number Purchased","购买次数"
"Number Viewed","查看次数"
"Number of Items","项目数"
"Number of New Accounts","新帐号数"
"Number of Products to display","显示产品的数量"
"Number of Reviews","评论次数"
"Number of Total Tags","标签总数"
"Number of Unique Tags","独立标签次数"
"Number of Views","查看次数"
"Number of items bought from a wishlist: %s","收藏商品被购买次数: %s"
"Number of times wishlists have been shared (emailed): %s","收藏商品被共享次数 (通过电邮): %s"
"Number of wishlist conversions: %s","已换算的收藏件数：%s"
"Number of wishlist referrals: %s","推荐的收藏件数：%s"
"Number of wishlists: %s","收藏件数： %s"
"Order Status","订单状态"
"Order Taxes Report Grouped by Tax Rate","订单税报表按税率"
"Orders","订单"
"Out of stock","缺货"
"Period","期间"
"Poducts Report","商品报告"
"Popular Tags","热门标签"
"Popularity","热门度"
"Price","价格"
"Product Name","产品名称"
"Product Reviews","产品评论"
"Product SKU","商品 SKU"
"Product Tags","商品标签"
"Products","产品展示"
"Products Ordered","订购的产品"
"Products Report","产品报告"
"Products Reviews","产品评论"
"Products Tags","商品标签"
"Products in carts","在车中的产品"
"Purchases","购买"
"Quantity Ordered","购买的件数"
"Quantity of Items","商品件数"
"Recently Compared","最近比较"
"Recently Compared Products","最近查看过的产品"
"Recently Viewed","最近浏览过的"
"Recently Viewed Products","最近浏览过的产品"
"Recently Viewed/Compared Products","最近查看相比较的产品"
"Refresh Lifetime Statistics","刷新生存时间统计"
"Refresh Statistics","刷新统计信息"
"Refresh Statistics for the Last Day","最后一天刷新统计信息"
"Refunds","退款"
"Report","报告"
"Reports","报告"
"Results","结果"
"Revenue","收入"
"Review","产品评价"
"Reviews","点评"
"Reviews for %s","评论%s"
"Sales","销售"
"Sales Report","销售报告"
"Search Query","搜索查询"
"Search Terms","搜索条件"
"Select day of the month.","选择一个月的一天。"
"Shipping","运费"
"Shopping Cart","购物车"
"Shopping Cart Price Rule","购物车价格规则"
"Show Actual Values","显示实际值"
"Show Report","显示报表"
"Show for Current","显示为当前的"
"Specified","指定"
"Statistics","统计数据"
"Stock Qty","库存件数"
"Submitted In","提交于"
"Submitted On","提交于"
"Subtotal","小计"
"Tag","标签"
"Tag ""%s"" details","""%s""标签的详情"
"Tag Detail","标签详情"
"Tag Name","标签名称"
"Tags submitted to %s","标签提交于%s"
"Tax","税"
"Title","标题"
"To","至"
"Total","总额"
"Total Invoiced vs. Paid Report","总开票额与收入报表"
"Total Ordered Report","共订购报告"
"Total Refunded Report","总退款报告"
"Total Shipped Report","共出货报告"
"Total Tags","总标签"
"Total invoiced","总发票"
"Total refunded","总退货"
"Updated At","更新"
"Viewed Products Grid Template","比较的产品网格模板"
"Viewed Products List Template","查看的产品列表模板"
"Visible In","可见"
"Wishlist Report","收藏报告"
"Wishlist vs. Regular Order","收藏和一般订单对比"
"Wishlists","收藏"
"Year","年 "
"Year-To-Date Starts","年--日期开始"
"Yes","是"
"Your Recently Compared","您最近比较过的商品："
"Your Recently Viewed","您最近浏览过的商品："
