"Actions","动作"
"Active","活动"
"Add New Rule","添加新规则"
"Alphabetical","字母表"
"Alphanumeric","字母表"
"Apply","应用"
"Apply To","应用给"
"Apply the rule only if the following conditions are met (leave blank for all products)","仅以下条件成立才应用规则 (所有商品留空)。"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","如购物车中的商品符合以下条件 (所有商品留空)， 仅应用规则。"
"Apply the rule to cart items matching the following conditions","如购物车中的商品符合以下条件， 仅应用规则。"
"Apply to Shipping Amount","适用于航运量"
"Are you sure you want to delete the selected coupon(s)?","确实要删除所选的 coupon(s) 吗?"
"Auto","自动"
"Auto Generated Specific Coupon Codes","自动生成特定的优惠券代码"
"Buy X get Y free (discount amount is Y)","买 X 得到 Y 免费 (折扣金额是 Y)"
"By Fixed value","按固定值"
"By Percentage","按百分比"
"Can't acquire coupon.","无法获取优惠券。"
"Cart Attribute","购物车属性"
"Catalog","目录"
"Code Format","代码格式"
"Code Length","每x个字符加横线"
"Code Prefix","代码前缀"
"Code Suffix","代码后缀"
"Conditions","条件"
"Conditions combination","条件组合"
"Coupon","折扣券"
"Coupon Code","优惠劵"
"Coupon Qty","优惠券数量"
"Coupon with the same code","优惠券使用相同的代码"
"Created On","创建于"
"Customer Groups","客户组"
"Dash Every X Characters","冲每 X 个字符"
"Date Expire","有效期"
"Date Start","开始日期"
"Default Label","默认标签"
"Default Rule Label for All Store Views","所有存储视图的默认规则标签"
"Description","描述"
"Discount Amount","折扣金额"
"Discount Qty Step (Buy X)","折扣数量步 (买 X)"
"Edit Rule","修改规则"
"Edit Rule '%s'","修改规则'%s'"
"Excluding prefix, suffix and separators.","不包括前缀、 后缀和分隔符。"
"FOUND","发现"
"Fixed amount discount","固定的金额的折扣"
"Fixed amount discount for whole cart","整车的固定的金额折扣"
"For matching items only","只匹配项"
"For shipment with matching items","为匹配项的装运"
"Free Shipping","免费送货"
"From Date","开始日期"
"General Information","常规信息"
"Generate","生成"
"ID","编号ID"
"If empty no separation.","如果空没有分离。"
"Inactive","未激活"
"Labels","标签"
"Manage Coupon Codes","管理优惠券代码"
"Maximum Qty Discount is Applied To","最大数量折扣是应用于"
"NOT FOUND","找不到"
"NOT LOGGED IN","未登录"
"New Rule","新规则"
"No","否"
"No Coupon","没有优惠券"
"Number of Uses","使用次数"
"Numeric","数字"
"Payment Method","支付方式"
"Percent of product price discount","自动生成的具体优惠券代码"
"Period","期间"
"Price in cart","购物车中的价格"
"Priority","优先级"
"Product attribute combination","产品属性组合"
"Products subselection","产品部分选定"
"Promotions","促销活动"
"Public In RSS Feed","公众在 rss 订阅源"
"Quantity in cart","购物车中的数量"
"Row total in cart","总的购物车中的行"
"Rule Information","规则信息"
"Rule Name","规则名称"
"Rule is not defined","没有定义规则"
"Save and Continue Edit","保存并继续编辑"
"Shipping Country","航运大国"
"Shipping Method","运送方式"
"Shipping Postcode","航运邮编"
"Shipping Region","航运区域"
"Shipping State/Province","航运自治区"
"Shopping Cart Price Rule","购物车价格规则"
"Shopping Cart Price Rules","购物车价格规则"
"Special Price","特价"
"Specific Coupon","具体的优惠券"
"Status","状态"
"Store View Specific Labels","店铺视图指定的标签"
"Subtotal","小计"
"Subtotal Amount","小计"
"This rule no longer exists.","该规则已不存在。"
"Times Used","使用时间"
"To Date","结束日期"
"To Fixed Value","为固定值"
"To Percentage","百分比"
"Total","总额"
"Total Amount","总金额"
"Total Items Quantity","总的项目数量"
"Total Weight","总重量"
"Update prices using the following information","用此信息来更新价格"
"Update product's %s %s: %s","更新商品的%s %s：%s"
"Update the Product","产品更新"
"Use Auto Generation","使用自动生成"
"Used","已使用"
"Uses per Coupon","每张优惠券的使用"
"Uses per Customer","每个客户的用途"
"Website","网站"
"Websites","网站"
"Yes","是"
"total amount","总金额"
"total quantity","总数量"
