"* Required Fields","*必要字段"
"Comment","评论"
"Contact Form","邮件表单"
"Contact Information","联系信息"
"Contact Us","联系我们"
"Contacts","联系人"
"Contacts Section","联系人部分"
"Email","邮箱"
"Email Options","电子邮件选项"
"Email Sender","电子邮件发件人"
"Email Template","邮件模板"
"Enable Contact Us","启用与我们取得联系"
"Name","名字"
"Send Emails To","发送电子邮件到"
"Submit","提交"
"Telephone","电话"
"Unable to submit your request. Please, try again later","无法提交您的问题，请稍后重试。"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的问题已提交，我们会尽快回复您。感谢您联系我们！"
