"-- Please Select --","-- 请选择 --"
"Actions","动作"
"Add Layout Update","添加布局更新"
"All","全部"
"All Pages","所有页面"
"All Product Types","所有产品类型"
"Anchor Categories","锚类别"
"Apply","应用"
"Assign to Store Views","将分配给存储视图"
"Big Image","大图"
"CMS","CMS页面链接内联摸板"
"Categories","分类"
"Choose...","请选择..."
"Close","关闭"
"Continue","继续"
"Default Template","默认模板"
"Delete","删除"
"Design Package/Theme","设计包的主题"
"Export to:","导出到："
"Frontend Properties","前台属性"
"Generic Pages","通用页"
"Images","图片"
"Insert Widget","插入部件"
"Layout Updates","布局更新"
"New Widget Instance","新的小部件实例"
"Next page","下页"
"Non-Anchor Categories","非锚类别"
"Not Selected","非所选"
"Open Chooser","打开选择器"
"Page","页面"
"Previous page","上一页"
"Products","产品展示"
"Remove Layout Update","删除布局更新"
"Save and Continue Edit","保存并继续编辑"
"Select All","选择全部"
"Select Visible","选择可见"
"Settings","设置"
"Sort Order","排序"
"Specified Page","指定的页"
"Template","模板"
"The information in this tab has been changed.","此选项卡中的信息已更改。"
"The widget instance has been deleted.","小部件实例已被删除。"
"The widget instance has been saved.","小部件实例已被保存。"
"This tab contains invalid data. Please solve the problem before saving.","此标签（tab）含有无效属性。请把该问题解决了才储存。"
"Thumbnail","缩略图"
"Total %d records found","共找到%d个记录"
"Type","类型"
"Unselect All","取消全选"
"Unselect Visible","取消选择可见"
"View","查看"
"Widget","部件"
"Widget ID","小部件 ID"
"Widget Insertion","小部件插入"
"Widget Options","小部件按钮"
"Widget Type","部件类型"
"Widgets","小部件"
"items selected","项被选"
"of %s pages"," %s页"
"per page","每页"
