"-- Please Select --","-- 请选择 --"
"Add New Class","添加新类"
"Add New Tax Rate","添加新的税率"
"Add New Tax Rule","添加新的税收规则"
"After Discount","折扣后"
"Apply Customer Tax","适用客户税"
"Apply Discount On Prices","应用在价格上的折扣"
"Apply Tax On","关于适用税"
"Are you sure you want to do this?","您确认要这么做么？"
"Back","返回"
"Before Discount","折扣前"
"CSV","Excel XML"
"Calculation Settings","计算设置"
"Catalog Prices","目录价格"
"Class Name","税种名称"
"Code","代码"
"Country","国家"
"Custom price if available","如果可用的自定义价格"
"Customer Tax Class","客户税类"
"Customer Tax Class Information","顾客税种信息"
"Customer Tax Classes","客户税类"
"Default Country","默认国家"
"Default Post Code","默认开机自检代码"
"Default State","默认状态"
"Default Tax Destination Calculation","默认税目的地计算"
"Delete Class","删除税种"
"Delete Rate","删除率"
"Delete Rule","删除规则"
"Display Full Tax Summary","显示全部纳税摘要"
"Display Prices","显示价格"
"Display Product Prices In Catalog","在目录中显示产品价格"
"Display Shipping Amount","显示航运量"
"Display Shipping Prices","航运价格显示"
"Display Subtotal","显示分类汇总"
"Display Zero Tax Subtotal","显示零税小计"
"Edit Class","修改税率"
"Edit Class '%s'","修改税种'%s'"
"Edit Rule","修改规则"
"Edit Tax Rate","编辑税率"
"Enable Cross Border Trade","启用跨边境贸易"
"Excel XML","XML Excel"
"Excl. Tax","不含税"
"Excl. Tax:","不含税:"
"Excluding Tax","包含和不包含税"
"Export Tax Rates","出口税率"
"Grand Total (Excl. Tax)","总计 (不包括税)"
"Grand Total (Excl.Tax)","总计 (Excl.Tax)"
"Grand Total (Incl. Tax)","总计 (含税)"
"Grand Total (Incl.Tax)","总计 (含税)"
"Grand Total Excl. Tax","盛大的税金除外"
"Grand Total Incl. Tax","盛大的税金除外"
"Import / Export Tax Rates","导入 / 导出税率"
"Import Tax Rates","进口税率"
"Inc. Tax","公司税"
"Incl. Tax","含。税"
"Incl. Tax:","含税:"
"Including Tax","包括税"
"Including and Excluding Tax","包括和不包括税"
"Invalid file format upload attempt","上传文件格式错误"
"Invalid file upload attempt","无效的文件上载尝试"
"Manage Customer Tax Classes","顾客税种管理"
"Manage Product Tax Classes","商品税种管理"
"Manage Tax Rates","管理税率"
"Manage Tax Rules","管理税收规则"
"Manage Tax Zones & Rates","管理税区和税率"
"Name","名字"
"New Class","新税种"
"New Rule","新规则"
"New Tax Rate","新税率"
"No","否"
"None","无"
"One of the country has invalid code.","某个国家代号错误"
"Orders, Invoices, Credit Memos Display Settings","订单，发票，信用备忘录显示设置"
"Original price only","原价只有"
"Price Display Settings","价格: 显示设置"
"Priority","优先级"
"Product Tax Class","产品税类"
"Product Tax Class Information","商品税种信息"
"Product Tax Classes","商品税种"
"Range From","范围从"
"Range To","范围到"
"Range To should be equal or greater than Range From.","范围应等于或大于好范围从。"
"Rate","费率"
"Rate Percent","率 %"
"Reset","重置"
"Row Total","总行数"
"Sales","销售"
"Save Class","保存税种"
"Save Rate","保存率"
"Save Rule","保存规则"
"Save and Continue Edit","保存并继续编辑"
"Shipping & Handling (Excl.Tax)","航运及处理 (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","运输搬运 (含税)"
"Shipping (Excl. Tax)","运费 (不包括税)"
"Shipping (Incl. Tax)","航运 (含税)"
"Shipping Prices","航运价格"
"Shopping Cart Display Settings","购物车显示设置"
"Sort Order","排序"
"State","状态"
"State/Region","国家/地区"
"Subtotal (Excl. Tax)","小计 (不包括税)"
"Subtotal (Excl.Tax)","小计 (Excl.Tax)"
"Subtotal (Incl. Tax)","小计 (含税)"
"Subtotal (Incl.Tax)","小计 (含税)"
"Tax","税"
"Tax Calculation Based On","税收计算基于"
"Tax Calculation Method Based On","一种基于的税计算方法"
"Tax Class for Shipping","航运的税类"
"Tax Classes","税收类"
"Tax Identifier","税务标识符"
"Tax Rate","税率"
"Tax Rate Information","税收规则信息"
"Tax Rule Information","税收规则信息"
"Tax Rules","税务规则"
"Tax Section","税务部门"
"Tax Titles","税收的标题"
"Tax rates at the same priority are added, others are compounded.","同样优先考虑的税率也增加了，其他的也增加了。"
"The tax rate has been imported.","已导入的税率。"
"The tax rule has been deleted.","税收规则已被删除。"
"This class no longer exists","此税种不存在"
"This rule no longer exists","该规则不存在"
"This rule no longer exists.","该规则已不存在。"
"Total","总额"
"Unit Price","单价"
"Yes","是"
"You cannot delete this tax class as it is used for %d customer groups.","此税种用于%d分组，不能删除。"
"You cannot delete this tax class as it is used for %d products.","此税种用于%d商品，不能删除。"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","此税种用于税则中，不能删除。先删除该税则再删除此税种。"
"Zip/Post Code","邮编"
"Zip/Post is Range","税收区域和税率"
