"%1$s incl tax.","%1$s 含税."
"* Required Fields","*必要字段"
"-- Select --","— — 选择 — —"
"Add New Option","添加新选项"
"Add Selection","添加选择"
"As Low as","低至"
"As low as","低至"
"Bundle Items","绑定项目"
"Bundle Product","捆绑售品"
"Buy %1$s for %2$s","买 %1$s 付 %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","买一 %1$s 付 %2$s (%3$s 含税)"
"Buy %1$s for %2$s each","买一 %1$s 付 %2$s"
"Buy %1$s with %2$s discount each","买%1$s件，每件优惠%2$s"
"Checkbox","复选框"
"Choose a selection...","选择一个选项。"
"Click for price","单击获取价格"
"Close","关闭"
"Default","默认"
"Default Qty","默认数量"
"Default Title","默认标题"
"Drop-down","下拉"
"Dynamic","动态"
"Excl. Tax","不含税"
"Excl. Tax:","不含税:"
"Fixed","百分之"
"From","从"
"From:","从："
"Gift Message","礼品消息"
"Incl. Tax","含。税"
"Incl. Tax:","含税:"
"Input Type","输入类型"
"Is Required","需要"
"Message:","消息："
"Multiple Select","多选"
"N/A","无"
"No options of this product are available.","该产品没有可用选项。"
"None","无"
"Percent","%"
"Percent Discount","百分比折扣"
"Please Select Products to Add","请选择要添加的产品"
"Please enter a number greater 0 in this field.","请输入一个大于{0}的数字。"
"Please enter search conditions to view products.","请输入搜索条件以查看商品。"
"Please select options for product.","请选择商品选项。"
"Please specify product option(s).","请指定产品选项。"
"Position","位置"
"Price Range","价格范围"
"Price Type","价格类型"
"Price as configured","配置价格为"
"Qty:","数量："
"Radio Buttons","单选按钮"
"SKU","商品编号SKU"
"Separately","分开"
"Ship Bundle Items","船捆绑项目"
"Shipment","装运"
"Store View Title","存储视图标题"
"This product is also part of bundle(s)","此商品亦为捆绑商品的一部分。"
"To","至"
"To:","至："
"Together","在一起"
"Total incl. Tax: %1$s","总计含税: %1$s"
"Use Default Value","使用默认值"
"User Defined Qty","定义用户数量"
"and","和"
"each","一个"
"save","保存"
