"Action","操作"
"Are you sure you want to delete the selected backup(s)?","确实要删除所选的 backup(s) 吗?"
"Backups","备份"
"Create Backup","创建备份"
"Database","数据库"
"Database Backup","数据库备份"
"Database and Media","数据库和媒体"
"Database and Media Backup","数据库和备份媒体"
"Database was successfuly backed up.","成功备份数据库。"
"Download","下载"
"Enable Scheduled Backup","启用定时的备份"
"Frequency","频率"
"Maintenance Mode","维护模式"
"Name","名字"
"Rollback","回滚"
"Start Time","平率"
"System","系统"
"System (excluding Media)","系统 (不含媒体)"
"System Backup","系统备份"
"Time","时间"
"Type","类型"
"Unable to create backup. Please, try again later.","无法生成备份，请稍后重试。"
