"Alert Email Sender","警报电子邮件发件人"
"Alert subscription has been saved.","警报订阅已被保存。"
"Allow Alert When Product Comes Back in Stock","当产品在股票回来时，允许警报"
"Allow Alert When Product Price Changes","当产品价格发生更改时，允许警报"
"Click here not to receive alerts for this product","点击这里已拒接接收商品提示"
"Error Email Recipient","错误邮件模板"
"Error Email Sender","错误的电子邮件发件人"
"Error Email Template","错误的电子邮件模板"
"Frequency","频率"
"Price Alert Email Template","价格预警电子邮件模板"
"Price:","价格:"
"Product Alerts","产品警报"
"Product Alerts Run Settings","产品警报运行设置"
"Product alerts Cron error","产品警报 Cron 错误"
"Product price alert","商品价格提示"
"Product stock alert","商品库存提示"
"Regular Price:","原价:"
"Sign up for price alert","注册价格提示通知"
"Sign up to get notified when this product is back in stock","此商品有库存后，通知我。"
"Special price:","特价："
"Start Time","平率"
"Stock Alert Email Template","库存预警电子邮件模板"
"You will no longer receive price alerts for this product.","你不会再收到该商品价格提醒。"
"The product was not found.","找不到产品。"
"Unable to update the alert subscription.","无法更新订阅的提醒。"
"Unsubscribe from all price alerts","退订所有价格提醒"
"Unsubscribe from all stock alerts","取消所有库存警报的订阅"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您之所以收到此邮件是因为您订阅了库存提示通知。"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您之所以收到此邮件是因为您订阅了此商品的价格提示通知。"
"You will no longer receive stock alerts for this product.","你不会再收到该商品库存提醒。"
"You will no longer receive stock alerts.","你不会再收到库存变化的提醒。"
