"%s's Wishlist","%s收藏"
"* Required Fields","*必要字段"
"Add All to Cart","全部添加到购物车"
"Add to Cart","添加到购物车"
"Add to Compare","添加并比较"
"Add to Wishlist","添加到收藏夹"
"Added From","加自"
"Are you sure you want to remove this product from your wishlist?","请确定是否从收藏中删除此商品？"
"Are you sure you would like to remove this item from the wishlist?","你真的确定想从收藏中删除此项商品吗？"
"Back","返回"
"Can't save description %s","无法保存%s产品描述"
"Cannot specify product.","不能指定产品。"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","如果您要在收藏中添加一个到RSS订阅的链接，请核选该处。"
"Click for price","单击获取价格"
"Comment","评论"
"Comment:","评论:"
"Date Added","日期已添加"
"Days in Wishlist","收藏的天数"
"Edit","编辑"
"Email Sender","电子邮件发件人"
"Email Template","邮件模板"
"Email address can't be empty.","电子邮件地址不能为空。"
"Email addresses, separated by commas","以逗号分隔的电子邮件地址"
"Enabled","启动"
"General Options","一般选择"
"Go to Wishlist","转到收藏"
"In stock","有货"
"Last Added Items","最后添加的项"
"Message","信息"
"My Wishlist","我的收藏"
"My Wishlist (%d item)","收藏（%d 件）"
"My Wishlist (%d items)","收藏（%d 件）"
"Options Details","选项详细信息"
"Out of stock","缺货"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","请输入有效电子邮件地址并以逗号分隔。 例如：johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","请输入备注..."
"Price","价格"
"Product","产品"
"Product Details and Comment","产品详细信息和评论"
"Qty","数量"
"RSS Feed","Rss 订阅源"
"RSS link to %s's wishlist","RSS 连接到%s的收藏"
"Remove Item","删除项目"
"Remove This Item","删除该内容"
"Remove item","删除项目"
"SKU","商品编号SKU"
"Share Options","分享设置"
"Share Wishlist","共享收藏"
"Share Your Wishlist","共享您的收藏"
"Sharing Information","该产品缺货"
"Update Wishlist","更新收藏"
"User Description","用户说明"
"View Details","查看详情"
"View Product","查看产品"
"What's this?","这是什么？"
"Wishlist","收藏"
"Wishlist Section","收藏部分"
"Wishlist Sharing","共享收藏"
"Wishlist is empty now.","暂无收藏产品。"
"You have no items in your wishlist.","收藏中无任何产品项。"
