"""Remember Me"" Default Value","""记住我""的默认值"
"* Required Fields","*必要字段"
"Address","地址"
"Address Information","地址信息"
"Already registered?","已注册？"
"Back","返回"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","注册帐号让您购物更方便快捷！您还可同时储存多个运送地址及管理商品，收藏等。"
"Checkout as Guest","以访客身份结帐"
"Checkout as a Guest or Register","以访客身份结帐或注册"
"City","城市"
"Close","关闭"
"Company","地址"
"Confirm Password","确认密码"
"Continue","继续"
"Country","国家"
"Create an Account","创建帐户"
"Easy access to your order history and status","简易查询您的订单历史和帐号资料"
"Email Address","电子邮件地址"
"Enable ""Remember Me""","启用""记住我"""
"Enable Persistence","启用持久性"
"Fast and easy check out","快速方便结帐"
"Fax","传真"
"Forgot Your Password?","您忘记密码了吗?"
"Forgot your password?","您忘记密码了吗?"
"General Options","一般选择"
"If you have an account with us, please log in.","您若已经注册，请登录。"
"Loading next step...","加载下一步..."
"Login","登录"
"Login Information","登陆信息"
"Login or Create an Account","登陆或注册新帐户"
"New Customers","请在该字段中输入大于或等于1的数字"
"Password","密码"
"Persist Shopping Cart","坚持购物车"
"Persistence Lifetime (seconds)","持久性生存期 (秒)"
"Persistent Shopping Cart","持续购物车"
"Personal Information","个人信息"
"Please log in below:","请输入登录信息："
"Please select region, state or province","请选择一个地区，州或省。"
"Register","注册帐号"
"Register and save time!","注册帐号，省时方便！"
"Register to Create an Account","注册帐户"
"Register with us for future convenience:","注册帐号让您将来购物更便利："
"Registered Customers","客户加入日期"
"Remember Me","记住我"
"Save in address book","保存到地址簿"
"Select State/Province...","选择省份..."
"Select a billing address from your address book or enter a new address.","从您的地址簿中选择账单地址，或者输入新的地址。"
"Ship to different address","发货到不同地址"
"Ship to this address","发货到此地址"
"Sign Up for Newsletter","订阅资讯"
"State/Province","州/省"
"Street Address","街道地址"
"Submit","提交"
"Telephone","电话"
"VAT Number","增值税号码"
"Welcome, %s!","欢迎%s!"
"What's this?","这是什么？"
"Zip/Postal Code","邮编"
