"# of Use","# 使用"
"%1$s incl tax.","%1$s 含税."
"%s Item(s)","%s件"
"(Copy data from: %s)","(所拷贝数据: %s)"
"* Required Fields","*必要字段"
"-- Please Select --","-- 请选择 --"
"A group with the same name already exists.","具有相同名称的组已存在。"
"A name is required","为必填项"
"A product type is not defined for the indexer.","产品类型未定义为索引器。"
"ALL GROUPS","所有分组"
"AM","上午"
"Action","操作"
"Actual Price","实际价格"
"Add","添加"
"Add Attribute","-- 请选择 --"
"Add Design Change","添加设计更改"
"Add Group","添加组"
"Add New","新增"
"Add New Attribute","该属性不存在"
"Add New Attribute Set","添加新的属性集"
"Add New Group","添加新组"
"Add New Images","添加新的图像"
"Add New Option","添加新选项"
"Add New Row","添加新行"
"Add New Search Term","添加新的搜索词"
"Add New Set","添加新组合"
"Add Product","添加产品"
"Add Product To Websites","向网站中添加产品"
"Add Root Category","添加根类别"
"Add Subcategory","添加子类别"
"Add Tax","加税"
"Add Tier","增加层次"
"Add to Cart","添加到购物车"
"Add to Compare","添加并比较"
"Add to Wishlist","添加到收藏夹"
"Additional Information","附加信息"
"All","全部"
"All Product Types","所有产品类型"
"All Websites","所有网站"
"All products","所有产品"
"All products - recently added products, New products - products marked as new","所有产品-最近添加的产品，新产品-标记为新的产品"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","此分组里的所有商品将被删除，您确定要删除此属性分组？"
"Allow All Products per Page","允许每页中的所有产品"
"Allowed File Extensions","允许文件格式"
"Allowed file extensions to upload","允许上传文件格式"
"Amount","数量"
"Anchor Custom Text","自定义文本锚点"
"Anchor Custom Title","自定义标题锚点"
"Apply To","应用给"
"Approved","已批准"
"Are you sure you want to delete this category?","你确定要删除这个分类吗？"
"Are you sure you would like to remove all products from your comparison?","确定要删除所有比较列表里的商品？"
"Are you sure you would like to remove this item from the compare products?","确定要从比较商品里删除此商品"
"Are you sure?","您确定吗？"
"As low as:","低至："
"Assign","分配"
"Assign product link","指派商品连接"
"Assign product to category","指派商品到分类栏目"
"Assigned Products","被指定商品。"
"Associated Products","相关产品"
"Attrib. Set Name","属性组合名称"
"Attribute Information","属性信息"
"Attribute Model","属性模型"
"Attribute Name:","属性名字:"
"Attribute Set","属性集"
"Attribute Sets","属性集"
"Attribute group with the ""/name/"" name already exists","此 ""/名字/""的属性分组名经已存在。"
"Attribute with the same code already exists","此属性号经已存在"
"Attributes","属性管理"
"Attrribute names can be specified per store.","一个商店可指派属性名"
"Autogenerate","自动生成
Availability:"""
"Availability:","库存:"
"Back","返回"
"Backend Model","后端模型"
"Backend Table","后台表单"
"Backend Table Title","后台表单标题"
"Backorders","延期交货"
"Based On","请确认网站切换。尚未保存的所有数据将丢失"
"Before Order Confirmation","在订单确认之前"
"Best Value","超值"
"Block after Info Column","信息栏之后的块"
"Bottom/Left","下, / 左"
"Bottom/Right","下方/右方"
"Browse By","查看"
"Bundle Items","绑定项目"
"Buy %1$s for %2$s","买 %1$s 付 %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","买一 %1$s 付 %2$s (%3$s 含税)"
"Buy %1$s for %2$s each","买一 %1$s 付 %2$s"
"Cache Lifetime (Seconds)","缓存有效期 (秒)"
"Can be used only with catalog input type Dropdown","只可用于下拉式（Dropdown）商品目录"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","只可用于下拉式（Dropdown）商品目录，多项选择式（Multiple Select）及价格"
"Can't create image.","无法创建图片"
"Cancel","取消"
"Cart Item Attribute","购物车项目属性"
"Catalog","目录"
"Catalog Category Link","目录类别链接"
"Catalog New Products List","新的产品目录"
"Catalog Price Scope","目录价格范围"
"Catalog Product Link","目录产品链接"
"Catalog, Search","目录搜索"
"Categories","分类"
"Categories Sitemap","目录分类检索"
"Category","类别"
"Category API","目录分类 API"
"Category Data","目录分类数据"
"Category Flat Data","类别平面数据"
"Category Link Block Template","分类链接块模板"
"Category Link Inline Template","类别链接内联模板"
"Category Products","类别产品"
"Category Top Navigation","类别顶部导航"
"Category URL Suffix","类别 URL 后缀"
"Category attributes API","目录分类属性 API"
"Category move error","目录分类更动错误"
"Center","居中"
"Change","更改"
"Change or Retrieve attribute store view","修改或读取商店属性"
"Change status","更改状态"
"Check items to add to the cart or","检查物品添加到购物车或"
"Choose an Option...","选择一个选项。"
"Clear All","全部清除"
"Clear Price","明确价格"
"Click for price","单击获取价格"
"Close Window","关闭窗口"
"Collapse All","全部折叠"
"Comma-separated.","以逗号分隔。"
"Comparable","可比性"
"Comparable on Front-end","可比较于前台"
"Compare","比较"
"Compare Products","比较产品"
"Conditions Combination","条件组合"
"Configurable Product","可设置商品"
"Configurable Product Settings","可设置商品的设置"
"Configure Product","配置产品"
"Continue","继续"
"Copy From Configurable","拷贝于可设置商品"
"Country/State","国家/州"
"Create","创建"
"Create (Upload)","创建（上载）"
"Create Empty","创建空档"
"Create Permanent Redirect for URLs if URL Key Changed","如果URL键发生改变，创建URL的永久重定向"
"Create Permanent Redirect for old URL","为旧网址创建永久重定向"
"Create Product Settings","创建商品设置"
"Create Simple Associated Product","创建简单相关商品"
"Create new category","创建新目录分类"
"Create new product","创建新商品"
"Cross-sells","购物车推荐销售"
"Custom Design","自定义设计"
"Custom Options","自定义选项"
"Customer Group","客户组"
"Customers Reviews","客户评论"
"Customers Tagged Product","顾客设定标签的商品"
"Data Type for Saving in Database","在数据库中保存的数据类型"
"Date & Time Custom Options","日期及时间的自定义选项"
"Date Fields Order","日期字段排序。"
"Date Subscribed","数据订阅"
"Datetime","日期时间"
"Decimal","十进制"
"Declare attribute value saving scope","定义属性值保存范围"
"Default ""What's This"" Text Message","""这是什么""的默认文本消息"
"Default Popup Text Message","默认弹出文本消息"
"Default Price","默认价格"
"Default Price Navigation Step","默认价格导航步。"
"Default Qty","默认数量"
"Default Values","默认值"
"Delete","删除"
"Delete Attribute","删除属性"
"Delete Attribute Set","删除属性组"
"Delete Category","删除目录分类"
"Delete Option","数量："
"Delete Row","删除行"
"Delete Search","删除搜索"
"Delete Selected Group","删除所选组"
"Delete Tier","删除层"
"Delete category","删除目录分类"
"Delete product","删除商品"
"Depends on design theme","以设计模版为准"
"Description","描述"
"Design","设计"
"Details","详情"
"Disabled","禁用"
"Display Actual Price","显示实际价格"
"Display Page Control","显示页面控制"
"Display Price Interval as One Price","作为一个价格显示价格区间"
"Display Product Count","显示产品计数"
"Display Type","显示类型"
"Display in Suggested Terms","在显示建议的措辞"
"Double click on a group to rename it","双点击以更换名字"
"Double click on above image to view full picture","双点击上面的图片以观全图"
"Downloadable Information","可下载的信息"
"Duplicate","复制"
"Duplicate amount found.","发现的重复量。"
"Duplicate website tier price customer group and quantity.","复制网站分层价格顾客组和数量。"
"Duplicate website, country and state tax found.","复制网站之国家和省份的税信息不存在。"
"Edit","编辑"
"Edit Attribute Set '%s'","编辑属性组 '%s'"
"Edit Product Attribute","编辑产品属性"
"Edit Product Attribute ""%s""","编辑 ""%s""商品属性"
"Edit Search","编辑搜索"
"Edit Search '%s'","编辑搜寻 '%s'"
"Email","邮箱"
