"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Rating","添加新的评级"
"Assigned Options","指派的选项"
"Be the first to review this product","率先评论此产品"
"Default Value","默认值"
"Delete Rating","删除评级"
"Edit Rating","编辑评级"
"ID","编号ID"
"If you do not specify a rating title for a store, the default value will be used.","如果您没有给商店输入评级标题，默认名将被使用。"
"New Rating","新的评分"
"Option Label","选项标记"
"Option Title","新选项"
"Option Title:","新选项"
"Please select one of each ratings above","请在上面选择一个评级"
"Rating Information","评分信息"
"Rating Name","评级名称"
"Rating Options","评级标题"
"Rating Title","评分标题"
"Rating Visibility","评分的可见性"
"Rating isn't Available","评级不是可用"
"Rating with the same title","评级标题重复"
"Save Rating","保存评级"
"Sort Order","排序"
"Visible In","可见"
