"%s - Discounts and Coupons","%s - 折扣和优惠券"
"%s RSS Feed","%s RSS 订阅"
"%s has reached a quantity of %s.","%s的数量为%s。"
"%s's Wishlist","%s收藏"
"Cannot retrieve the wishlist","无法读取收藏"
"Catalog","目录"
"Category Feeds","目录Feeds"
"Click for price","单击获取价格"
"Comment: %s<br/>","评论: %s<br/>"
"Coupons/Discounts","优惠券/折扣"
"Current Status: %s<br/>","当前状态：%s<br/>"
"Customer Name: %s","顾客名字：%s"
"Customer Order Status Notification","客户订单状态通知"
"Details for %s #%s","%s编号%s的详情"
"Discount","折扣"
"Discount (%s)","折扣（%s）"
"Enable RSS","启动 RSS"
"Error in processing xml. %s","处理xml%s中出错"
"From:","从："
"Get Feed","得到提要"
"Gift Message","礼品消息"
"Grand Total","总额"
"Low Stock Products","低库存产品"
"Message:","消息："
"Miscellaneous Feeds","杂项提要"
"New Orders","新订单"
"New Products","新产品"
"New Products from %s","来自%s的新商品"
"Notified Date: %s<br/>","通知日期：%s<br/>"
"Order","订单"
"Order # %s Notification(s)","订单%s通知"
"Order #%s created at %s","订单号%s之订购日期%s"
"Pending product review(s)","挂起的产品请稍后再试"
"Product: ""%s"" review By: %s","商品：""%s""%s评论"
"Product: <a href=""%s"">%s</a> <br/>","商品：<a href=""%s"">%s</a> <br/>"
"Products tagged with %s","商品标记为%s"
"Purchased From: %s","购买于：%s"
"RSS","RSS 订阅"
"RSS Feeds","RSS 源"
"Review: %s <br/>","评论：%s <br/>"
"Rss Config","Rss 配置"
"Shipping &amp; Handling","运费和手续费"
"Special Products","特殊产品"
"Store: %s <br/>","商店： %s <br/>"
"Subtotal","小计"
"Summary of review: %s <br/>","评论摘要：%s <br/>"
"Tags Products","商品标签"
"Tax","税"
"There are no Rss Feeds","无Rss订阅"
"To:","至："
"Top Level Category","最高层次的范畴"
"Total: %s<br/>","总额：%s<br/>"
"Wishlist","收藏"
"click <a href=""%s"">here</a> to view the review","点击<a href=""%s"">这里</a>以查看评论"
