"%s Item(s)","%s件"
"(Shift-)Click or drag to change value","(Shift-)点击（Click）或拖弋（drag）以更换值"
"(ver. %s)","(版本. %s)"
"- Click on any of the time parts to increase it","- 点击任何时间部分以增加它"
"- Hold mouse button on any of the above buttons for faster selection.","- 点按鼠标纽于上面任何按钮以加速选择。"
"- Use the %s buttons to select month","- 使用 %s 按钮以选择月份。"
"- Use the %s, %s buttons to select year","- 使用 %s 和 %s 按钮以选择年份。"
"- or Shift-click to decrease it","- 或同时按下Shift健和按鼠标纽（Shift-click）以减少选择。"
"- or click and drag for faster selection.","- 或点击（Click）和拖弋（drag）以以加速选择。"
"-- Please Select --","-- 请选择 --"
"1 column","1 列"
"2 columns with left bar","2 列左侧的栏"
"2 columns with right bar","与右 2 列栏"
"3 columns","3 列"
"About the calendar","关于日历"
"Account","账户"
"All Pages","所有页面"
"Allow","允许"
"Click <a href=""%s"">here</a> if nothing has happened","若没动静， <a href=""%s"">点击这里</a>。"
"Close","关闭"
"Close Window","关闭窗口"
"DHTML Date/Time Selector","DHTML 时间/T日期选择"
"Date selection:","日期选择："
"Default Description","默认说明"
"Default welcome msg!","默认欢迎msg!"
"Display %s first","先显示%s"
"Distributed under GNU LGPL. See %s for details.","发布为GNU LGPL执照。 查看%s详情。"
"Drag to move","拖动"
"Empty","产品 %1"
"For latest version visit: %s","最新版本，请访问： %s"
"Go Today","今天去"
"Help Us to Keep Magento Healthy","帮助我们改善Magento"
"Interface Language","语言界面"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"JavaScript seems to be disabled in your browser.","JavaScript 似乎在您的浏览器中被禁用。"
"Left Column","左栏"
"Menu","菜单"
"Next","下一页"
"Next month (hold for menu)","下个月（点击鼠标直到菜单出现）"
"Next year (hold for menu)","明年（点击鼠标直到菜单出现）"
"Page:","页面"
"Prev. month (hold for menu)","上个月（点击鼠标直到菜单出现）"
"Prev. year (hold for menu)","前年（点击鼠标直到菜单出现）"
"Previous","前一页"
"Redirecting...","跳转至..."
"Report All Bugs","报告所有 Bug"
"Right Column","右栏"
"Search","搜索"
"Select Store","选择存储"
"Select date","选择时间"
"Show","显示"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有的订单将不受理。"
"Time selection:","时间选择："
"Time:","时间："
"View All","查看全部"
"Welcome, %s!","欢迎%s!"
"Your Language","你的语言"
"Your Language:","您的语言："
"per page","每页"
