"-- Please select --","-- 请选择 --"
"API Key","API 密钥"
"Allowed Currencies","允许的货币"
"Base Currency","基础货币"
"Connection Timeout in Seconds","连接超时秒数"
"Continue &raquo;","继续 &raquo;"
"Country","国家"
"Country and Format Type combination should be unique","应该是唯一的国家和格式类型组合"
"Currency","货币"
"Currency Options","货币期权"
"Currency Setup","货币设置"
"Currency Update Warnings","货币更新警告"
"Default Display Currency","默认显示货币"
"Directory","目录"
"Enabled","启动"
"Error Email Recipient","错误邮件模板"
"Error Email Sender","错误的电子邮件发件人"
"Error Email Template","错误的电子邮件模板"
"FATAL ERROR:","致命错误:"
"Frequency","频率"
"Installed Currencies","已安装的货币"
"Invalid country code: %s","错误的国家代号： %s"
"Invalid rates received","接收的汇率不正确"
"List of countries","国家列表"
"List of regions in specified country","指定的国家省份列表"
"Region","地区"
"Scheduled Import Settings","定时的导入设置"
"Select Your Currency","选择您的货币"
"Service","服务"
"Start Time","平率"
"State/Province","州/省"
"Strikeiron Email Update Warnings","Strikeiron 电邮更新提示"
"The account this API request is coming from is inactive.","此 API 请求来自的帐户处于停用状态。"
"WARNING:","警告："
"Your current currency is: %s","您现有的货币选择为： %s"
