"* Required Fields","* Zorunlu Alan"
"Comment","Yorum"
"Contact Form","İletişim Formu"
"Contact Information","İletişim Bilgisi"
"Contact Us","Bize Ulaşın"
"Contacts","İletişim"
"Contacts Section","İletişim Bölümü"
"Email","E-posta"
"Email Options","E-posta Seçenekleri"
"Email Sender","E-posta Göndericisi"
"Email Template","E-posta Şablonu"
"Enable Contact Us","İletişim Formunu Aktif et"
"Name","Adı"
"Send Emails To","E-posta Alıcısı"
"Submit","Gönder"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","İşleminiz şu anda yapılamıyor. Lütfen daha sonra tekrar deneyiniz."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Bilgi isteğiniz gönderildi ve en kısa zamanda cevaplanacak. Bizimle bağlantı kurduğunuz için teşekkür ederiz."
