"Add Recipient","Alıcı Ekle"
"Allow for Guests","Misafirlere İzin Ver"
"Back","Geri"
"Email Address","E-posta Adresiniz"
"Email Address:","E-posta Adresi:"
"Email Templates","E-posta Şablonları"
"Email to a Friend","Arkadaşına Gönder"
"Email:","E-posta:"
"Enabled","Aktif edildi"
"Invalid Sender Information","Hatalı Gönderici Bilgisi"
"Limit Sending By","Gönderimi limitle"
"Max Products Sent in 1 Hour","1 Saat içinde gönderilecek en fazla ürün sayısı"
"Max Recipients","En fazla Alıcı sayısı"
"Maximum %d email addresses allowed.","En fazla %d adet email adresine izin veriliyor."
"Message:","Mesaj:"
"Name","Adı"
"Name:","Adı:"
"Recipient:","Alıcı:"
"Remove Email","Email Adresini Sil"
"Select Email Template","E-posta Şablonu Seçiniz"
"Send Email","E-posta Gönder"
"Send product to a friend","Arkadaşına ürünü tavsiye et"
"Sender:","Gönderici :"
"Some emails were not sent.","Bazı mailler gönderilemedi."
"The link to a friend was sent.","Bağlantı arkadaşınıza gönderildi."
