"(Excl. Tax)","(Vergi hariç)"
"(Incl. Tax)","(Vergi Dahil)"
"* Required Fields","* Zorunlu Alan"
"Add New Address","Yeni Adres Ekle"
"Add New Condition","Yeni Koşul Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Address","Adres"
"Address %s of %s","Adres %s - %s"
"After Adding a Product Redirect to Shopping Cart","Ürün Eklendikten sonra Sepete Yönlendir"
"Allow Guest Checkout","Kayıtlı olmayan kullanıcıların (Misafir) alışveriş yapmasına izin ver"
"Already registered?","Sitemize kayıtlı mısınız ?"
"An error occurred in the process of payment","Tahsilat işlemi esnasında hata oluştu"
"Apply","Onayla"
"Apply Coupon","Kuponu Uygula"
"Are you sure you would like to remove this item from the shopping cart?","Alışveriş sepetinizden bu ürünü silmek istediğinizden emin misiniz?"
"Back","Geri"
"Back to Billing Information","Fatura Bilgilerine Geri Dön"
"Back to Select Addresses","Adres Seçimine Dön"
"Back to Shipping Information","Teslimat Bilgileri Bölümüne Dön"
"Back to Shopping Cart","Alışveriş Sepetine Dön"
"Based on your selection, you may be interested in the following items:","Seçimlerinize bakarak aşağıdaki ürünlerin de ilginizi çekeceğini düşündük :"
"Billing Address","Fatura Adresi"
"Billing Information","Fatura Adresi Bilgisi"
"Billing Information - %s","Fatura Bilgisi - %s"
"Cancel","İptal"
"Cancel Coupon","Kuponu İptal Et"
"Cannot process the item.","İşlem yapılamıyor."
"Card Verification Number Visual Reference","Kart Güvenlik Numarası Görsel Referansı"
"Cart Subtotal:","Sipariş Ara Toplamı :"
"Change","Değiştir"
"Change Billing Address","Fatura adresi değiştir"
"Checkbox Text","Onay Kutusu Yazısı"
"Checkout","Alışveriş"
"Checkout Conditions","Alışveriş Durumları"
"Checkout Options","Alışveriş Seçenekleri"
"Checkout Section","Alışveriş Tamamlama Bölümü"
"Checkout Terms and Conditions","Alışveriş Kural ve Koşulları"
"Checkout as Guest","Misafir Olarak Alışverişi Bitir"
