"Actions","İşlemler"
"Active","Aktif"
"Add New Rule","Yeni Kural Ekle"
"Alphabetical","Alfabetik"
"Alphanumeric","Alfasayısal"
"Apply","Onayla"
"Apply To","Uygula"
"Apply the rule only if the following conditions are met (leave blank for all products)","Eğer aşağıdaki durumlar oluştuysa kuralı çalıştır (her ürüne uygulamak için boş bırakınız)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Eğer alışveriş sepetinde aşağıdaki durumlar oluştuysa kuralı çalıştır  (her ürüne uygulamak için boş bırakınız)"
"Apply the rule to cart items matching the following conditions","Eğer alışveriş sepetindeki ürünlerde aşağıdaki durumlar oluştuysa o ürün için kuralı çalıştır"
"Apply to Shipping Amount","Teslimat Tutarını Uygula"
"Are you sure you want to delete the selected coupon(s)?","Seçilen kupon(ları) silmek istediğinizden emin misiniz?"
"Auto","Otomatik"
"Auto Generated Specific Coupon Codes","Otomatik Üretilmiş Özel Kupon Kodları"
"Buy X get Y free (discount amount is Y)","X 'i alırsanız Y hediye (indirim tutarı Y 'nin fiyatıdır)"
"By Fixed value","Sabit değer ile"
"By Percentage","Yüzdeyle"
"Can't acquire coupon.","Kupon elde edilemiyor."
"Cart Attribute","Sepet Özelliği"
"Catalog","Katalog"
"Code Format","Kod Biçimi"
"Code Length","Kod Uzunluğu"
"Code Prefix","Kod Öneki"
"Code Suffix","Kod Soneki"
"Conditions","Koşullar"
"Conditions combination","Koşullar listesi"
"Coupon","Kupon"
"Coupon Code","Kupon Kodu"
"Coupon Qty","Kupon Adedi"
"Coupon with the same code","Aynı kod ile kupon"
"Created On","Oluşturulan"
"Customer Groups","Müşteri Grupları"
"Dash Every X Characters","Her X Karakterde bir tire (-) kullan"
"Date Expire","Bitiş Tarihi"
"Date Start","İlk Tarih"
"Default Label","Varsayılan Etiket"
"Default Rule Label for All Store Views","Bütün mağaza görünümleri için varsayılan Kural Adı"
"Description","Açıklama"
"Discount Amount","İndirim Tutarı"
"Discount Qty Step (Buy X)","İndirim Adet Adımı (X'i Satın Al)"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Excluding prefix, suffix and separators.","Önek, sonek ve ayraçlar hariç."
"FOUND","BULUNDU"
"Fixed amount discount","Sabit tutarlı indirim"
"Fixed amount discount for whole cart","Siparişin tamamına sabit tutarlı indirim"
"For matching items only","Sadece eşleşen ürünler için"
"For shipment with matching items","Sevkiyat için eşleşen ürünler"
"Free Shipping","Ücretsiz Kargo"
"From Date","Başlama Tarihi"
"General Information","Genel Bilgi"
"Generate","Üret"
"ID","No"
"If empty no separation.","Boş bırakırsanız ayraç kullanılmaz."
"Inactive","Pasif"
"Labels","Etiketler"
"Manage Coupon Codes","Kupon Kodlarını Yönet"
"Maximum Qty Discount is Applied To","En fazla adet indirimi uygulandı "
"NOT FOUND","BULUNAMADI"
"NOT LOGGED IN","GİRİŞ YAPILMADI"
"New Rule","Yeni Kural"
"No","Hayır"
"No Coupon","Kupon Yok"
"Number of Uses","Kullanım Sayısı"
"Numeric","Sayısal"
"Payment Method","Tahsilat Yöntemi"
"Percent of product price discount","Ürün fiyat indirim yüzdesi"
"Period","Periyod"
"Price in cart","Sepetteki Ücret"
"Priority","Öncelik"
"Product attribute combination","Ürün özellik kombinasyonu"
"Products subselection","Ürün altseçimi"
"Promotions","Promosyonlar"
"Public In RSS Feed","RSS Akışı Genele Açık"
"Quantity in cart","Sepetteki adet"
"Row total in cart","Sepetteki satır toplamı"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Rule is not defined","Kural ayarlanmadı"
"Save and Continue Edit","Kaydet ve Devam Et"
"Shipping Country","Kargo Ülkesi"
"Shipping Method","Teslimat Yöntemi"
"Shipping Postcode","Kargo Posta Kodu"
"Shipping Region","Kargo Bölgesi"
"Shipping State/Province","Kargo Eyalet/Şehir"
"Shopping Cart Price Rule","Alışveriş Sepeti Fiyat Kuralı"
"Shopping Cart Price Rules","Alışveriş Sepeti Fiyat Kuralları"
"Special Price","Özel fiyat"
"Specific Coupon","Özel Kupon"
"Status","Durum"
"Store View Specific Labels","Mağaza Görünümüne Özel Etiketler"
"Subtotal","Ara Toplam"
"Subtotal Amount","Ara Toplam"
"This rule no longer exists.","Vergi kuralı bulunamıyor."
"Times Used","Kullanım Sayısı"
"To Date","Son Tarih"
"To Fixed Value","Sabit Değere"
"To Percentage","Yüzde için"
"Total","Toplam"
"Total Amount","Toplam Tutar"
"Total Items Quantity","Toplam Ürün Miktarı"
"Total Weight","Toplam Ağırlık"
"Update prices using the following information","Aşağıdaki bilgiyi kullanarak fiyatları güncelle"
"Update product's %s %s: %s","Ürünü güncelle  %s %s: %s"
"Update the Product","Ürünü Güncelle"
"Use Auto Generation","Otomatik Üretmeyi Kullan"
"Used","Kullanıldı"
"Uses per Coupon","Kupon başı Kullanım Sayısı"
"Uses per Customer","Müşteri başına Kullanım"
"Website","Web sitesi"
"Websites","Websiteleri"
"Yes","Evet"
"total amount","Toplam Tutar"
"total quantity","toplam adet"
