"* Required Fields","* Zorunlu Alan"
"--Please Select--","--Lütfen Seçiniz--"
"<label>Make Check payable to:</label> %s","<label>Çeki şu isme yazınız :</label> %s"
"Bank Transfer Payment","Banka Havalesi ile Ödeme"
"Card Verification Number","Kart Güvenlik Numarası"
"Cash On Delivery Payment","Kapıda Nakit Ödeme"
"Check / Money Order","Çek / Havale"
"Credit Card Number","Kredi Kartı Numarası"
"Credit Card Number: xxxx-%s","Kredi Kartı Numarası: xxxx-%s"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Type: %s","Kredi Kartı Tipi: %s"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit card type is not allowed for this payment method.","Kredi kartı tipi bu ödeme yöntemi için izin verilmiyor."
"Currency","Para Birimi"
"Day","Gün"
"Debug Mode","Hata Ayıklama Modu"
"Enabled","Aktif edildi"
"Expiration Date","Son Kullanma Tarihi"
"Expiration Date: %s/%s","Bitiş Tarihi: %s/%s"
"Incorrect credit card expiration date.","Kredi kartı son kullanma tarihinin yanlış olması."
"Instructions","Kullanım Talimatları"
"Invalid Credit Card Number","Geçersiz Kredi Kartı Numarası"
"Issue Number","İşlem Numarası"
"Make Check Payable to","Çek Alıcısı"
"Make Check payable to:","Çek Alıcısı:"
"Make Check payable to: %s","Çeki Şu İsme Kesiniz: %s"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Merchant ID","Satıcı No"
"Minimum Order Total","En düşük Sipariş Toplamı"
"Month","Ay"
"N/A","Mevcut Değil"
"Name on Card","Kart Üzerindeki İsim"
"Name on the Card: %s","Kart Üzerindeki İsim: %s"
"New Order Status","Yeni sipariş durumu"
"Password","Şifre"
"Payment Method","Tahsilat Yöntemi"
"Payment Methods","Tahsilat Yöntemleri"
"Payment Services","Ödeme Hizmetleri"
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Please enter a valid credit card verification number.","Lütfen geçerli bir kredi kartı doğrulama numarası girin."
"Purchase Order","Satınalma Siparişi"
"Purchase Order Number","Sipariş Numarası"
"Purchase Order Number: %s","Sipariş Numarası : %s"
"Saved CC","Kaydedilmiş Kredi Kartı"
"Selected payment type is not allowed for billing country.","Seçilen ödeme tipi fatura ülkesi için izin verilmemiş."
"Send Check to","Çeki Göndereceğiniz Adres"
"Send Check to:","Çeki Göndereceğiniz Adres:"
"Shipping Amount","Teslimat Tutarı"
"Sort Order","Sıralama"
"Start Date","Başlangıç Tarihi"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro İşlem No"
"Switch/Solo/Maestro Only","Sadece Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Başlangıç Tarihi"
"Tax Amount","Vergi Tutarı"
"Test Mode","Test Kipi"
"The payment review action is unavailable.","Ödeme yorum işlemi kullanılmamaktadır."
"The requested Payment Method is not available.","İstenilen Ödeme Metodu uygun değil."
"Title","Başlık"
"Unable to save Billing Agreement:","Ödeme Sözleşmesi kaydedilemedi:"
"What is this?","Bu nedir?"
"Year","Yıl"
"Zero Subtotal Checkout","Sıfır Toplamla Alışveriş Sonu"
