"Action","Eylem"
"Add Sitemap","Site Haritası Ekle"
"Always","Her zaman"
"CMS Pages Options","CMS Sayfa Seçenekleri"
"Categories Options","Kategori Seçenekleri"
"Daily","Günlük"
"Edit Sitemap","Site Haritası Düzenle"
"Enabled","Aktif edildi"
"Error Email Recipient","Hata Bildirimi E-posta Alıcısı"
"Error Email Sender","Hata Bildirimi E-posta Göndericisi"
"Error Email Template","Hata Bildirimi E-posta Şablonu"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","""%s"" adlı dosya kaydedilemedi. ""%s"" klasörünün web sunucusu tarafından yazılabilir olduğundan emin olunuz."
"Filename","Dosya Adı"
"Frequency","Sıklık"
"Generate","Üret"
"Generation Settings","Üretme Ayarları"
"Google Sitemap","Google Site Haritası"
"Hourly","Saatlik"
"ID","No"
"Last Time Generated","Son Üretilme Tarihi"
"Link for Google","Google Linki"
"Monthly","Aylık"
"Never","Asla"
"New Sitemap","Yeni site haritası"
"Path","Yol"
"Please create the specified folder ""%s"" before saving the sitemap.","Harita oluşturmadan önce ""%s"" klasörünü oluşturunuz."
"Please define correct path","Lütfen doğru klasörü belirtiniz"
"Please make sure that ""%s"" is writable by web-server.","""%s"" klasörünün web sunucusu tarafından yazılabilir olduğundan emin olunuz."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Dosya adlarında sadece harf (a-z or A-Z), rakam (0-9) veya alt çizgi (_) kullanınız. Boşluk veya başka karakterle kullanmayınız."
"Priority","Öncelik"
"Products Options","Ürün Seçenekleri"
"Sitemap","Site Haritası"
"Sitemap generate Warnings","Site haritası uyarılar üretir"
"Start Time","Başlangıç Zamanı"
"Store View","Mağaza Görünümü"
"The priority must be between 0 and 1.","Öncelik değeri 0 ve 1 arasında olmalıdır."
"This sitemap no longer exists.","Site Haritası bulunamadı."
"Weekly","Haftalık"
"Yearly","Yıllık"
