"All Websites","Tüm Web siteleri"
"Display Prices In Emails","E-postalerda Fiyatları Göster"
"Display Prices In Product Lists","Ürün Listelerinde Fiyatları Göster"
"Display Prices In Sales Modules","Satış Modüllerinde Fiyat Göster"
"Display Prices On Product View Page","Ürün Gösterim Sayfasında Fiyat Göster"
"Enable FPT","FPT Aktif et"
"Excluding FPT","FPT Hariç Tutuluyor"
"Excluding FPT, FPT description, final price","FPT Hariç Tutuluyor, FPT açıklaması, son fiyat"
"Fixed Product Tax","Sabit Ürün Vergisi"
"Fixed Product Taxes","Sabit Ürün Vergileri"
"Include FPT In Subtotal","FPT Ara Toplama Eklensin"
"Including FPT and FPT description","FPT ve FPT açıklaması dahil"
"Including FPT and FPT description [incl. FPT VAT]","FPT ve FPT açıklaması dahil [FPT Vergisi dahil]"
"Including FPT only","Sadece FPT Dahil"
"Total","Toplam"
"Total Incl. Tax","Vergi dahil toplam"
"Total incl. tax","Toplam ( Vergi Dahil )"
"Total:","Toplam:"
