"* Select shipping method","* Teslimat Yöntemini Seçiniz"
"2Day","2Gün"
"2nd Day Air","2.Gün Uçak Kargo"
"2nd Day Air AM","2. Gün Uçak Kargo AM"
"3 Day Select","3 Gün Seçimli"
"AVS Status: %s","AVS Durumu : %s"
"Add Shipping Method","Teslimat Yöntemi Ekle"
"Allowed Methods","İzin Verilen Yöntemler"
"Amount: %s","Toplam : %s"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout tahsilatıyla otomatik oluşturuldu"
"CC Partial: xxxx-%s","K.K. Numara Sonu : xxxx-%s"
"CID Status: %s","CID Durumu : %s"
"Carrier Calculated Methods","Taşıyıcı Tarafından Hesaplanan Yöntemler"
"Cart Discount","İndirim"
"Checkout Image Style","Alışveriş Bitim Resminin Stili"
"Commercial","Ticari"
"Continue Shopping URL","Alışverişe Devam Adresi"
"Debug","Hata düzeltme"
"Default Package Height (in)","Varsayılan Paket Yüksekliği (inç)"
"Default Package Length (in)","Varsayılan Paket Uzunluğu (inç)"
"Default Package Width (in)","Varsayılan Paket Genişliği (inç)"
"Default price:","Varsayılan Fiyat :"
"Delivery Address Category","Teslimat Adresi Kategorisi"
"Disable Default Tax Tables","Varsayılan Vergi Tablolarını devre dışı bırak"
"Enable","Aktif et"
"Enable Carrier Calculated","Taşıyıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable Digital Delivery","Sayısal Teslimat Kullan"
"Enable Flat Rate","Tek Fiyat Kullan"
"Enable Merchant Calculated","Satıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable this if your checkout request is too big and being cut off.","Eğer alışveriş bitirme verisi çok büyükse bu seçeneği seçiniz."
"Expiration: %s","Bitiş : %s"
"Express Mail","Ekspres Posta"
"Express Saver","Express Ekonomik"
"Financial: %s -> %s","Finansal : %s -> %s"
"First Overnight","İlk Gece"
"Free Shipping","Ücretsiz Kargo"
"Fulfillment: %s -> %s","İfa : %s -> %s"
"Google Authorization:","Google Kullanıcı Onayı :"
"Google Charge:","Google Tahsilatı :"
"Google Checkout","Google Ödemesi"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Teslimat - Taşıyıcının Hesaplaması"
"Google Checkout Shipping - Digital Delivery","Google Checkout Teslimi - Sayısal Teslimat"
"Google Checkout Shipping - Flat Rate","Google Checkout Teslimat - Tek Fiyat"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Teslimat - Satıcının Hesaplaması"
"Google Checkout: %s","Google Ödeme : %s"
"Google Order Number: %s","Google Sipariş No : %s"
"Google Refund:","Google Geri Ödeme :"
"Google Risk Information:","Google Risk Bilgisi :"
"Ground","Yer Kargosu"
"Home Delivery","Kapıya Teslim"
"IP Address: %s","IP Adresi: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","
Eğer etkinse, Google Checkout butonuna basıldığında Sepet içeriği gizlenir, ""Sepet Düzenle"" bağlantına basıldığında görünür hale gelir."
"Inches","İnç"
"Large - %s","Geniş - %s"
"Latest Charge: %s","Son tahsilat : %s"
"Latest Refund: %s","Son geri ödeme : %s"
"Location","Konum"
"Media Mail","Medya E-posta"
"Medium - %s","Orta - %s"
"Merchant ID","Satıcı No"
"Merchant Key","Satıcı Anahtarı"
"Method","Yöntem"
"New Order Status","Yeni sipariş durumu"
"Next Day Air","Sonraki Gün Hava Kargosu"
"Next Day Air Early AM","Sonraki Gün Erken Hava Kargosu"
"Next Day Air Saver","Sonraki Gün Hava Kargosu / Ekonomik"
"No","Hayır"
"Optional, leave empty for home page.","İsteğe bağlıdır, ana sayfa için boş bırakınız."
"Parcel Post","Koli Servisi"
"Priority Mail","Öncelikli E-posta"
"Priority Overnight","Öncelikle Gecelik"
"Rate 1 Amount","Oran 1 Toplam"
"Rate 1 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 1 "
"Rate 1 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 1"
"Rate 1 Title","Rate 1 Başlık"
"Rate 2 Amount","Oran 2 Toplam"
"Rate 2 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 2 "
"Rate 2 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 2"
"Rate 2 Title","Rate 2 Başlık"
"Rate 3 Amount","Oran 3 Toplam"
"Rate 3 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 3 "
"Rate 3 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 3"
"Rate 3 Title","Rate 3 Başlık"
"Residential","Yerleşik"
"Sandbox","Güvenli Kutu"
"Secure Callback URL","Güvenli Geri Çağrım Adresi"
"Small - %s","Küçük - %s"
"Standard Overnight","Standart Gecelik"
"Title","Başlık"
"Total Charged: %s","Toplam Tahsilat : %s"
"Total Refunded: %s","Toplam Geri Ödeme : %s"
"Transparent","Transparan"
"United Kingdom","İngiltere"
"United States","A.B.D."
"White Background","Beyaz Arka Plan"
"Yes","Evet"
"You will be redirected to GoogleCheckout in a few seconds.","Birkaç saniye içinde GoogleCheckout sayfasına yönlendirileceksiniz."
