"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s Item(s)","%s Kayıt"
"(Copy data from: %s)","(Veri kaynağı : %s)"
"* Required Fields","* Zorunlu Alan"
"-- Please Select --","-- Lütfen Seçiniz --"
"A group with the same name already exists.","Aynı isme sahip bir grup zaten var."
"A name is required","İsim girmeniz gerekiyor"
"A product type is not defined for the indexer.","İndeks için bir ürün tipi belirlenmedi."
"ALL GROUPS","TÜM GRUPLAR"
"AM","Öğleden Önce"
"Action","Eylem"
"Actual Price","Güncel Fiyat"
"Add","Ekle"
"Add Attribute","Özellik Ekle"
"Add Design Change","Tasarım Değişikliği Ekle"
"Add Group","Grup Ekle"
"Add New","Yeni Ekle"
"Add New Attribute","Yeni Özellik Ekle"
"Add New Attribute Set","Yeni Özellik Seti Ekle"
"Add New Group","Yeni Grup Ekle"
"Add New Images","Yeni Resimler Ekle"
"Add New Option","Yeni Seçenek Ekleyin"
"Add New Row","Yeni Satır Ekle"
"Add New Search Term","Yeni Arama Kelimesi Ekle"
"Add New Set","Set Ekle"
"Add Product","Ürün Ekle"
"Add Product To Websites","Websitelerine Ürün Ekle"
"Add Root Category","Ana Kategori Ekle"
"Add Subcategory","Alt Kategori Ekle"
"Add Tax","Vergi ekle"
"Add Tier","Kanal Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Additional Information","Ek Bilgi"
"All","Tümü"
"All Product Types","Tüm Ürün Tipleri"
"All Websites","Tüm Web siteleri"
"All products","Tüm ürünler"
"All products - recently added products, New products - products marked as new","Tüm ürünler - henüz eklenmiş ürünler, Yeni ürünler - yeni olarak işaretlenmiş ürünler"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Bu sete bağlı tüm ürünler silinecek! Bu özellik setini silmek istediğinizden emin misiniz ?"
"Allow All Products per Page","Her sayfada 'Tüm Ürünler' bağlantısını göster"
"Allowed File Extensions","İzin Verilen Dosya Uzantıları"
"Allowed file extensions to upload","Dosya Yüklemede Izin Verilen Dosya Uzantıları"
"Amount","Tutar"
"Anchor Custom Text","Bağlantı Özel Yazı"
"Anchor Custom Title","Bağlantı Özel Başlığı"
"Apply To","Uygula"
"Approved","Onaylandı"
"Are you sure you want to delete this category?","Bu kategoriyi silmek istediğinizden emin misiniz?"
"Are you sure you would like to remove all products from your comparison?","Karşılaştırma listesindeki tüm ürünleri listeden silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove this item from the compare products?","Bu ürünü Karşılaştırma Listesinden silmek istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz?"
"As low as:","En ucuz :"
"Assign","Ata"
"Assign product link","Ürün bağlantısı ata"
"Assign product to category","Ürünü kategoriye ata"
"Assigned Products","Atanmış Ürünler"
"Associated Products","Bağlanmış Ürünler"
"Attrib. Set Name","Özellik Seti Adı"
"Attribute Information","Özellik Bilgisi"
"Attribute Model","Ürün Özellik Modeli"
"Attribute Name:","Özellik Adı:"
"Attribute Set","Özellik Seti"
"Attribute Sets","Özellik Setleri"
"Attribute group with the ""/name/"" name already exists","""/name/"" adında bir özellik grubu zaten var"
"Attribute with the same code already exists","Aynı kodu kullanan bir özellik zaten var"
"Attributes","Öznitelikler"
"Attrribute names can be specified per store.","Özellik adları her mağaza için ayrı belirtilmelidir."
"Autogenerate","Otomatik Oluştur"
"Availability:","Durumu:"
