"Action","Eylem"
"Are you sure you want to delete the selected backup(s)?","Seçilen yedek(ler)i silmek istediğinizden emin misiniz?"
"Backups","Yedekler"
"Create Backup","Yedek Oluştur"
"Database","Veritabanı"
"Database Backup","Veritabanı yedekleme"
"Database and Media","Veritabanı ve Medya"
"Database and Media Backup","Veritabanı ve Medya Yedeği"
"Database was successfuly backed up.","Veritabanı yedeklendi."
"Download","İndir"
"Enable Scheduled Backup","Zamanlanmış Yedeklemeyi Aç"
"Frequency","Sıklık"
"Maintenance Mode","Bakım Modu"
"Name","Adı"
"Rollback","Geri Yükleme"
"Start Time","Başlangıç Zamanı"
"System","Sistem"
"System (excluding Media)","Sistem (Medya hariç)"
"System Backup","Sistemi yedekleme"
"Time","Saat"
"Type","Tip"
"Unable to create backup. Please, try again later.","Yedek oluşturulamadı. Lütfen daha sonra tekrar deneyiniz."
