"Actions","İşlemler"
"Are you sure?","Emin misiniz?"
"Date Added","Eklenme Tarihi"
"Last Update","Son Güncelleme"
"Mark as Read","Okundu Olarak İşaretle"
"Mark as read","Okundu olarak işaretle"
"Message","Mesaj"
"Messages Inbox","Mesaj Gelen Kutusu"
"Notifications","Bildirimler"
"Please select messages.","Lütfen mesajları seçin."
"Read Details","Detayları Oku"
"Remove","Kaldır"
"Severity","Seviye"
"Show List","Listeyi Göster"
"Show Toolbar","Araç Çubuğunu Göster"
"The message has been removed.","Mesaj silindi."
"Update Frequency","Güncelleme Sıklığı"
"Use HTTPS to Get Feed","Veri Akışı İçin HTTPS kullan"
"Wrong message type","Hatalı mesaj tipi"
"critical","kritik"
"major","büyük"
"minor","küçük"
"notice","bilgi"
