"--Please Select--","--Lütfen Seçiniz--"
"API Login ID","API Giriş No"
"Accepted Currency","Kabul Edilen Para Birimi"
"Authorize.net Direct Post","Authorize.net Direk Posta"
"Card Verification Number","Kart Güvenlik Numarası"
"Card Verification Number Visual Reference","Kart Güvenlik Numarası Görsel Referansı"
"Close","Kapat"
"Credit Card Information","Kredi Kartı Bilgisi"
"Credit Card Number","Kredi Kartı Numarası"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Doğrulama"
"Debug","Hata düzeltme"
"Email Customer","Müşteriye E-posta Gönder"
"Enabled","Aktif edildi"
"Expiration Date","Son Kullanma Tarihi"
"Gateway URL","Geçit URL"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Merchant MD5","Satıcı MD5"
"Merchant's Email","Üye İşyeri E-posta Adresi"
"Minimum Order Total","En düşük Sipariş Toplamı"
"New Order Status","Yeni sipariş durumu"
"Order saving error: %s","Sipariş kaydedilirken hata oluştu : %s"
"Payment Action","Ödeme İşlemi"
"Payment authorization error.","Ödeme onay hatası."
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Sort Order","Sıralama"
"Test Mode","Test Kipi"
"There was an error processing your order. Please contact us or try again later.","Siparişiniz işlenirken hata oluştu. Lütfen daha sonra tekrar deneyiniz veya bizimle bağlantı kurunuz."
"Title","Başlık"
"Transaction Key","İşlem Anahtarı"
"What is this?","Bu nedir?"
