" [deleted]"," [silindi]"
" and "," ve "
"(For US 2-letter state names)","(A.B.D. için 2 harfli eyalet kodları)"
"(If left empty will be auto-generated)","(Eğer boş kaldıysa otomatik olarak oluşturulacak)"
"(Leave empty for first spreadsheet)","(İlk sayfa için boş bırakınız)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Veri alınan dosyada 'store' (ürünün ait olduğu mağaza) veri alanı boş ise ürünler buraya eklensin.)"
"(Shift-)Click or drag to change value","Değeri değiştirmek için (Shift-)Tıklayarak veya sürükleyiniz"
"(Starting with)","(.. ile başlayan)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","('Hayır' seçtiğinizde, sadece eşleştirilmiş alanların verisi alınacak. Eşleştirme yaparken, 'column1', 'column2', şeklinde alan (kolon) adları kullanın.)"
"(You have to increase php memory_limit before changing this value)","(Bu değeri değiştirmeden önce php memory_limit değerini artırınız)"
"(\t for tab)","(Sekme için t kullanınız)"
"* Required Fields","* Zorunlu Alan"
"- Click on any of the time parts to increase it","- Artırmak için herhangi bir zaman dilimine tıklayınız"
"- Hold mouse button on any of the above buttons for faster selection.","- Hızlı seçim yapmak için fare tuşunu basılı tutunuz."
"- Use the %s buttons to select month","- Ay seçmek için %s butonlarını kullanınız"
"- Use the %s, %s buttons to select year","- Yıl seçmek için %s butonlarını kullanınız"
"- or Shift-click to decrease it","Değeri azaltmak için - veya Shift-Tık kullanınız"
"- or click and drag for faster selection.","Hızlı seçim yapmak için - veya fare tuşuna tıklayıp sürükleyiniz."
"-- Please Select --","-- Lütfen Seçiniz --"
"-- Please Select Billing Agreement--","-- Lütfen Ödeme Onayı Seçiniz --"
"-- Please Select a Category --","--Lütfen bir kategori seçiniz--"
"-- Please select --","-- Lütfen Seçiniz --"
"--Please Select--","--Lütfen Seçiniz--"
"1 Hour","1 Saat"
"12 Hours","12 Saat"
"12h AM/PM","12saat ÖÖ/ÖS"
"2 Hours","2 Saat"
"24 Hours","24 Saat"
"24h","24saat"
"2YTD","Son 1 Yıl"
"6 Hours","6 Saat"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Hatası</h1><p>Sayfa Bulunamadı.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Dikkat</strong>: Resim onayı (CAPTCHA) büyük/küçük harfe duyarlıdır."
"A user with the same user name or email already exists.","Aynı kullanıcı adı veya e-postayla zaten bir kullanıcı var."
"API Key","API anahtarı"
"Abandoned Carts","Terk Edilmiş Sepetler"
"About the calendar","Takvim hakkında"
"Account Created in:","Hesap Oluşturuldu:"
"Account Created on (%s):","Hesap Oluşturulma Tarihi (%s):"
"Account Created on:","Hesap Oluşturulma Tarihi :"
"Account Information","Hesap Bilgisi"
"Account Status","Hesap Durumu"
"Account status","Hesap durumu"
"Action","Eylem"
"Actions","İşlemler"
"Actions XML","İşlem XML Dosyası"
"Active","Aktif"
"Add","Ekle"
"Add Exception","İstisna Ekle"
"Add Field Mapping","Alan Eşlemesi Ekle"
"Add Field with URL:","Adres ile bir Alan Ekle:"
"Add New","Yeni Ekle"
"Add New Block","Yeni Blok Ekle"
"Add New Image","Yeni Resim Ekle"
"Add New Profile","Profil Ekle"
"Add New Role","Yeni Yetki Sınıfı Ekle"
"Add New Template","Yeni Şablon Ekle"
"Add New URL Rewrite","URL yeniden yazım Ekle"
"Add New User","Yeni Kullanıcı Ekle"
