"%s's Wishlist","%s's Takip Listesi"
"* Required Fields","* Zorunlu Alan"
"Add All to Cart","Hepsini Sepete Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Added From","Eklendiği Yer"
"Are you sure you want to remove this product from your wishlist?","Bu ürünü takip listenizden silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove this item from the wishlist?","Bu ürünü takip listesinden silmek istediğinizden emin misiniz ?"
"Back","Geri"
"Can't save description %s","Açıklama kaydedilemedi %s"
"Cannot specify product.","Ürün seçilemedi."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Takip listenize bir RSS akışı eklemek için bu kutuyu işaretleyin."
"Click for price","Fiyat için tıklayınız"
"Comment","Yorum"
"Comment:","Yorum:"
"Date Added","Eklenme Tarihi"
"Days in Wishlist","Takip Listesinde Kalma Gün Sayısı"
"Edit","Düzenle"
"Email Sender","E-posta Göndericisi"
"Email Template","E-posta Şablonu"
"Email address can't be empty.","Email adresi boş bırakılamaz."
"Email addresses, separated by commas","E-posta adresleri, virgülle ayrılmış"
"Enabled","Aktif edildi"
"General Options","Genel Seçenekler"
"Go to Wishlist","Takip Listesine Git"
"In stock","stokta mevcut"
"Last Added Items","Son Eklenen Ürünler"
"Message","Mesaj"
"My Wishlist","Takip Listem"
"My Wishlist (%d item)","Takip Listem (%d ürün)"
"My Wishlist (%d items)","Takip Listem (%d ürün)"
"Options Details","Seçeneklerin Detayları"
"Out of stock","Stok mevcut değil"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lütfen geçerli e-mail adresleri giriniz ve aralarında virgül kullanınız. Örnek: ahmet@domain.com, mehmet@baskadomain.com."
"Please, enter your comments...","Lütfen yorumlarınızı giriniz..."
"Price","Fiyat"
"Product","Ürün"
"Product Details and Comment","Ürün Detayları ve Yorum"
"Qty","Miktar"
"RSS Feed","RSS Veri Akışı"
"RSS link to %s's wishlist","%s Takip Listesine RSS bağlantısı"
"Remove Item","Ürünü Sil"
"Remove This Item","Bu ürünü sil"
"Remove item","Ürünü Sil"
"SKU","Ürün Kodu"
"Share Options","Paylaşım Seçenekleri"
"Share Wishlist","Takip Listesi Paylaş"
"Share Your Wishlist","Takip Listeni Paylaş"
"Sharing Information","Paylaşım Bilgisi"
"Update Wishlist","Takip Listesini Güncelle"
"User Description","Kullanıcı açıklaması"
"View Details","Detayları Göster"
"View Product","Ürünü Göster"
"What's this?","Bu nedir?"
"Wishlist","Takip Listesi"
"Wishlist Sharing","Takip Listesi Paylaşımı"
"Wishlist is empty now.","Takip listesi boş."
"You have no items in your wishlist.","Takip listenizde ürün yok."
