"-- Please Select --","-- Lütfen Seçiniz --"
"Add New Class","Yeni Sınıf Ekle"
"Add New Tax Rate","Yeni Vergi Oranı Ekle"
"Add New Tax Rule","Yeni Vergi Kuralı Ekle"
"After Discount","İndirimden Sonra"
"Apply Customer Tax","Müşteri Vergisini Uygula"
"Apply Discount On Prices","Fiyatlara İndirim Uygula"
"Apply Tax On","Vergiyi Uygula"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Back","Geri"
"Before Discount","İndirimden Önce"
"CSV","Csv"
"Calculation Settings","Hesaplama Ayarları"
"Catalog Prices","Katalog Fiyatları"
"Class Name","Sınıf Adı"
"Code","Kod"
"Country","Ülke"
"Custom price if available","Eğer mümkünse özel fiyat kullan"
"Customer Tax Class","Müşteri Vergi Sınıfı"
"Customer Tax Class Information","Müşteri Vergi Sınıfı Bilgisi"
"Customer Tax Classes","Müşteri Vergi Sınıfları"
"Default Country","Varsayılan Ülke"
"Default Post Code","Varsayılan Posta Kodu"
"Default State","Varsayılan Eyalet"
"Default Tax Destination Calculation","Varsayılan Bölgeye Göre Vergi Hesaplama"
"Delete Class","Sınıfı Sil"
"Delete Rate","Oranı Sil"
"Delete Rule","Kural sil"
"Display Full Tax Summary","Tam Vergi Özeti Göster"
"Display Prices","Fiyatları Göster"
"Display Product Prices In Catalog","Katalogda Ürün Fiyatlarını Göster"
"Display Shipping Amount","Teslimat Tutarını Göster"
"Display Shipping Prices","Teslimat Fiyatlarını Göster"
"Display Subtotal","Ara Toplamı Göster"
"Display Zero Tax Subtotal","Vergisiz Ara Toplamı Göster"
"Edit Class","Sınıfı Düzenle"
"Edit Class '%s'","Sınıfı Düzenle '%s'"
"Edit Rule","Kuralı Düzenle"
"Edit Tax Rate","Vergi Oranını Düzenle"
"Enable Cross Border Trade","Sınır Ötesi Ticareti Etkinleştir"
"Excl. Tax","Vergi Hariç"
"Excl. Tax:","Vergi Hariç :"
"Excluding Tax","Vergi Hariç"
"Export Tax Rates","Vergi Oranlarını Dışarı Çıkart"
"Grand Total (Excl. Tax)","Genel Toplam (Vergi Hariç)"
"Grand Total (Excl.Tax)","Genel Toplam (Vergi Hariç)"
"Grand Total (Incl. Tax)","Genel Toplam (Vergi Dahil)"
"Grand Total (Incl.Tax)","Genel Toplam (Vergi Dahil)"
"Grand Total Excl. Tax","Genel Toplam Vergi Hariç"
"Grand Total Incl. Tax","Genel Toplam Vergi Hariç"
"Import / Export Tax Rates","Vergi oranlarını Al/Ver"
"Import Tax Rates","Vergi oranlarını Al"
"Inc. Tax","Vergi Dahil"
"Incl. Tax","Vergi Dahil"
"Incl. Tax:","Vergi Dahil:"
"Including Tax","Vergi Dahil"
"Including and Excluding Tax","Vergi dahil ve hariç fiyat"
"Invalid file format upload attempt","Yüklemeye çalıştığınız dosyanın biçim geçersiz"
"Invalid file upload attempt","Hatalı dosya yükleme işlemi"
"Manage Tax Rates","Vergi Oranlarını Yönet"
"Manage Tax Rules","Vergi Kurallarını Yönet"
"Name","Adı"
"New Class","Yeni Sınıf"
"New Rule","Yeni Kural"
"New Tax Rate","Yeni Vergi Oranı"
"No","Hayır"
"None","Hiçbiri"
"One of the country has invalid code.","Ülkelerden birinin kodu hatalı."
"Orders, Invoices, Credit Memos Display Settings","Siparişler, Faturalar, iade Kayıtları Gösterim Ayarları"
"Original price only","Sadece orjinal fiyat"
"Price Display Settings","Fiyat Gösterim Ayarları"
"Priority","Öncelik"
"Product Tax Class","Ürün Vergi Sınıfı"
"Product Tax Class Information","Ürün Vergi Sınıfı Bilgisi"
"Product Tax Classes","Ürün Vergi Sınıfları"
"Range From","Aralık Başlangıcı"
"Range To","Aralık Sonu"
"Range To should be equal or greater than Range From.","Aralık, Aralığa eşit veya daha büyük olmalıdır."
"Rate","Oran"
"Rate Percent","Oran Yüzdesi"
"Reset","Sıfırla"
"Row Total","Satır Toplamı"
"Sales","Satışlar"
"Save Class","Sınıfı Kaydet"
"Save Rate","Oranı Kaydet"
"Save Rule","Kuralı Kaydet"
"Save and Continue Edit","Kaydet ve Devam Et"
"Shipping & Handling (Excl.Tax)","Teslimat ve Teslim alma (Vergi Hariç)"
"Shipping & Handling (Incl.Tax)","Teslimat ve Teslim alma (Vergi Dahil)"
"Shipping (Excl. Tax)","Teslimat (Vergi Hariç)"
"Shipping (Incl. Tax)","Teslimat (Vergi Dahil)"
"Shipping Prices","Teslimat Ücretleri"
"Shopping Cart Display Settings","Alışveriş Sepeti Gösterim Seçenekleri"
"Sort Order","Sıralama"
"State","Eyalet"
"State/Region","Eyalet/Bölge"
"Subtotal (Excl. Tax)","Ara Toplam (Vergi Hariç)"
"Subtotal (Excl.Tax)","Ara Toplam (Vergi Hariç)"
"Subtotal (Incl. Tax)","Ara Toplam (Vergi Dahil)"
"Subtotal (Incl.Tax)","Ara Toplam (Vergi Dahil)"
"Tax","Vergi"
"Tax Calculation Based On","Vergi Hesaplama Yöntemi"
"Tax Calculation Method Based On","Vergi Hesaplama Yöntemi"
"Tax Class for Shipping","Teslimat için Vergi Sınıfı"
"Tax Classes","Vergi Sınıfları"
"Tax Identifier","Vergi Tanımlayıcısı"
"Tax Rate","Vergi Oran"
"Tax Rate Information","Vergi Oranı Bilgisi"
"Tax Rule Information","Vergi Kuralı Bilgisi"
"Tax Rules","Vergi Kuralları"
"Tax Titles","Vergi Başlıkları"
"Tax rates at the same priority are added, others are compounded.","Aynı önemdeki vergi oranları eklendi, diğerleri birleştirildi."
"The tax rate has been imported.","Vergi oranı alındı."
"The tax rule has been deleted.","Vergi kuralı silindi."
"This class no longer exists","Seçtiğiniz sınıf bulunamıyor"
"This rule no longer exists","Kural bulunamadı..."
"This rule no longer exists.","Vergi kuralı bulunamıyor."
"Total","Toplam"
"Unit Price","Birim Fiyat"
"Yes","Evet"
"You cannot delete this tax class as it is used for %d customer groups.","%d  müşteri grubu tarafından kullanılan bu vergi sınıfını silemezsiniz."
"You cannot delete this tax class as it is used for %d products.","%d  ürün tarafından kullanılan bu vergi sınıfını silemezsiniz."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Bu vergi sınıfı vergi kurallarında kullanıldığı için silinemez. Önce bu sınıfla ilişkili kuralları silmelisiniz."
"Zip/Post Code","Posta Kodu"
"Zip/Post is Range","Zip/Posta Kdu Aralığı"
