"API Login ID","API Giriş No"
"Accepted Currency","Kabul Edilen Para Birimi"
"Authorize Only","Sadece Provizyon"
"Authorize and Capture","Provizyon al ve Ödemeyi Al"
"Cancel","İptal"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Doğrulama"
"Debug","Hata düzeltme"
"Email Customer","Müşteriye E-posta Gönder"
"Enabled","Aktif edildi"
"Invalid amount for authorization.","Ödeme işlemi için hatalı sipariş toplamı."
"Invalid amount for capture.","Çekilecek toplam değeri hatalı."
"Invalid amount for refund.","İade için hatalı tutar."
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Merchant's Email","Üye İşyeri E-posta Adresi"
"Minimum Order Total","En düşük Sipariş Toplamı"
"New Order Status","Yeni sipariş durumu"
"Payment Action","Ödeme İşlemi"
"Payment authorization error.","Ödeme onay hatası."
"Payment capturing error.","Tahsilat yapılırken bir hata meydana geldi."
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Payment refunding error.","Ödeme iade hatası."
"Payment voiding error.","Ödeme iptal hatası."
"Sort Order","Sıralama"
"Test Mode","Test Kipi"
"Title","Başlık"
"Transaction Key","İşlem Anahtarı"
"authorize","Yetkilendir"
"authorize and capture","Provizyon al ve Ödemeyi Al"
"capture","tahsil et"
"failed","tamamlanamadı"
"refund","İade"
"successful","başarılı"
"void","İptal edildi"
