"Access Key","Erişim Anahtarı"
"Authorize Only","Sadece Provizyon"
"Authorize and Capture","Provizyon al ve Ödemeyi Al"
"Continue Shopping","Alışverişe Devam"
"Debug","Hata düzeltme"
"Email Sender","E-posta Göndericisi"
"Enable","Aktif et"
"Merchant ID","Satıcı No"
"Merchant Login","Kullanıcı Adı"
"New Order Status","Yeni sipariş durumu"
"Payment Action","Ödeme İşlemi"
"Sandbox","Güvenli Kutu"
"Secret Key","Gizli anahtar"
"Thank you for your purchase!","Siparişiniz için teşekkür ederiz !"
"Title","Başlık"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Size siparişiniz için bir onay maili göndereceğiz. Bu mail aynı zamanda siparişinize ulaşmanızı ve izlemenizi sağlayacak."
