"-- Please Select --","-- Lütfen Seçiniz --"
"Actions","İşlemler"
"Add Layout Update","Şablon Güncelleme Ekle"
"All","Tümü"
"All Pages","Tüm Sayfalar"
"All Product Types","Tüm Ürün Tipleri"
"Anchor Categories","Bağlantılı Kategoriler"
"Apply","Onayla"
"Assign to Store Views","Mağaza Görünümüne Ata"
"Big Image","Büyük Resim"
"CMS","İçerik Yönetimi (CMS)"
"Categories","Kategoriler"
"Choose...","Seçiniz..."
"Close","Kapat"
"Continue","Devam et"
"Default Template","Varsayılan Şablon"
"Delete","Sil"
"Design Package/Theme","Tasarım Paketi/Teması"
"Export to:","Dışarı Çıkarılan:"
"Frontend Properties","Ön Sayfa Özellikleri"
"Generic Pages","Genel Sayfalar"
"Images","Resimler"
"Insert Widget","Widget Ekle"
"Layout Updates","Şablon Güncelleme"
"New Widget Instance","Yeni Widget Örneği Ekle"
"Next page","Sonraki Sayfa"
"Non-Anchor Categories","Bağlantılı Olmayan Kategoriler"
"Not Selected","Seçilmedi"
"Open Chooser","Seçimi Aç"
"Page","Sayfa"
"Previous page","Önceki sayfa"
"Products","Ürünler"
"Remove Layout Update","Şablon Güncellemesini Sil"
"Save and Continue Edit","Kaydet ve Devam Et"
"Select All","Hepsini Seç"
"Select Visible","Görünenleri Seç"
"Settings","Ayarlar"
"Sort Order","Sıralama"
"Specified Page","Belirtilen Sayfa"
"Template","Şablon"
"The information in this tab has been changed.","Bu sekmedeki veri değişti."
"The widget instance has been deleted.","Widget örneği silindi."
"The widget instance has been saved.","Widget örneği kaydedildi."
"This tab contains invalid data. Please solve the problem before saving.","Bu sekme hatalı bilgi içeriyor. Lütfen kaydetmeden önce bu hatayı gideriniz."
"Thumbnail","Albüm Resim"
"Total %d records found","Toplam %d kayıt bulundu"
"Type","Tip"
"Unselect All","tüm seçimi kaldır"
"Unselect Visible","Görünenleri Seçimden Kaldır"
"View","Göster"
"Widget","Kutucuk"
"Widget ID","Kutucuk ID"
"Widget Insertion","Widget Ekleme"
"Widget Options","Widget Seçenekleri"
"Widget Type","Widget Tipi"
"Widgets","Widget"
"items selected"," kayıt seçildi "
"of %s pages"," sayfa gösteriliyor / Toplam %s sayfa var"
"per page","sayfa başı"
