"""Remember Me"" Default Value","""Beni Hatırla"" Varsayılan Değer"
"* Required Fields","* Zorunlu Alan"
"Address","Adres"
"Address Information","Adres Bilgisi"
"Already registered?","Sitemize kayıtlı mısınız ?"
"Back","Geri"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","
Sitemizde hesap açarak, daha hızlı alışveriş yapabilir, siparişinizi birden fazla adrese gönderebilir, hesabınızdan bütün geçmiş bilgilerinize erişebilir ve daha bir çok özellikten faydalanabilirsiniz..."
"Checkout as Guest","Misafir Olarak Alışverişi Bitir"
"Checkout as a Guest or Register","Misafir Olarak Alışverişi Bitir veya Üye Kaydı Yap"
"City","Şehir"
"Close","Kapat"
"Company","Şirket"
"Confirm Password","Yeni Şifre (Tekrar)"
"Continue","Devam et"
"Country","Ülke"
"Create an Account","Bir Hesap Oluştur"
"Easy access to your order history and status","Sipariş geçmişiniz ve siparişlerinizin durumu için kolay erişim"
"Email Address","E-posta Adresiniz"
"Enable ""Remember Me""","""Beni Hatırla"" özelliğini aç"
"Enable Persistence","Kalıcı Oturum özelliğini aç"
"Fast and easy check out","Hızlı ve Kolay Sipariş"
"Fax","Faks"
"Forgot Your Password?","Şifrenizi mi Unuttunuz?"
"Forgot your password?","Şifrenizi mi Unuttunuz?"
"General Options","Genel Seçenekler"
"If you have an account with us, please log in.","Sitemize üyeyseniz lütfen giriş yapınız."
"Loading next step...","Bir sonraki adım yükleniyor..."
"Login","Giriş"
"Login Information","Giriş Bilgisi"
"Login or Create an Account","Giriş yapın veya Yeni Bir Hesap Açın"
"New Customers","Yeni Müşteriler"
"Password","Şifre"
"Persist Shopping Cart","Kalıcı Sepet"
"Persistence Lifetime (seconds)","Kalıcı Oturum Süresi (saniye)"
"Persistent Shopping Cart","Kalıcı Sepet"
"Personal Information","Kişisel Bilgi"
"Please log in below:","Lütfen giriş yapınız :"
"Please select region, state or province","Lütfen bölge, eyalet veya şehir seçiniz"
"Register","Kaydol"
"Register and save time!","Kaydolun ve zamandan kazanın!"
"Register to Create an Account","Yeni bir hesap oluşturun"
"Register with us for future convenience:","Kalitemizi kullanmak için üye olun :"
"Registered Customers","Kayıtlı Müşteriler"
"Remember Me","Beni Hatırla"
"Save in address book","Adres defterine kaydet"
"Select State/Province...","Şehir Seçiniz..."
"Select a billing address from your address book or enter a new address.","Fatura adresi olarak kullanılmak üzere adres defterinizden bir adres seçin veya yeni bir adres ekleyin."
"Ship to different address","Başka adrese gönder"
"Ship to this address","Bu adrese gönder"
"Sign Up for Newsletter","Duyuru Servisine Abone Ol"
"State/Province","Eyalet/Şehir"
"Street Address","Adres"
"Submit","Gönder"
"Telephone","Telefon"
"VAT Number","Vergi Numarası"
"Welcome, %s!","Hoşgeldiniz, %s!"
"What's this?","Bu nedir?"
"Zip/Postal Code","Zip/Posta Kodu"
