"%s Item(s)","%s Kayıt"
"(Shift-)Click or drag to change value","Değeri değiştirmek için (Shift-)Tıklayarak veya sürükleyiniz"
"(ver. %s)","(vers. %s)"
"- Click on any of the time parts to increase it","- Artırmak için herhangi bir zaman dilimine tıklayınız"
"- Hold mouse button on any of the above buttons for faster selection.","- Hızlı seçim yapmak için fare tuşunu basılı tutunuz."
"- Use the %s buttons to select month","- Ay seçmek için %s butonlarını kullanınız"
"- Use the %s, %s buttons to select year","- Yıl seçmek için %s butonlarını kullanınız"
"- or Shift-click to decrease it","Değeri azaltmak için - veya Shift-Tık kullanınız"
"- or click and drag for faster selection.","Hızlı seçim yapmak için - veya fare tuşuna tıklayıp sürükleyiniz."
"-- Please Select --","-- Lütfen Seçiniz --"
"1 column","1 kolon"
"2 columns with left bar","Sol sütunlu 2 kolon"
"2 columns with right bar","Sağ sütunlu 2 kolon"
"3 columns","3 kolon"
"About the calendar","Takvim hakkında"
"Account","Hesap"
"All Pages","Tüm Sayfalar"
"Allow","İzin Ver"
"Click <a href=""%s"">here</a> if nothing has happened","Hiç bir şey olmadıysa <a href=""%s"">buraya tıklayınız</a>"
"Close","Kapat"
"Close Window","Pencereyi Kapat"
"DHTML Date/Time Selector","DHTML Tarih/Saat Seçici"
"Date selection:","Tarih Seçici :"
"Default Description","Varsayılan Açıklama"
"Default welcome msg!","Hoşgeldiniz!"
"Display %s first","%s Göster"
"Distributed under GNU LGPL. See %s for details.","GNU LGPL Lisansı ile dağıtılmaktadır. Detaylar için : %s."
"Drag to move","Taşımak için sürükleyiniz"
"Empty","Boş"
"For latest version visit: %s","Son sürüm için : %s"
"Go Today","Bugüne Git"
"Help Us to Keep Magento Healthy","OpenMage'nun kaliteli kalmasına yardımcı olun"
"Interface Language","Arayüz Dili"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"JavaScript seems to be disabled in your browser.","Tarayıcınızda, Javascript Özelliği kapatılmış olarak görünmektedir."
"Left Column","Sol sütun"
"Menu","Menü"
"Next","Sonraki"
"Next month (hold for menu)","Sonraki Ay (menü için basılı tutunuz)"
"Next year (hold for menu)","Sonraki Yıl (menü için basılı tutunuz)"
"Page:","Sayfa:"
"Prev. month (hold for menu)","Önceki Ay (menü için basılı tutunuz)"
"Prev. year (hold for menu)","Önceki Yıl (menü için basılı tutunuz)"
"Previous","Önceki"
"Redirecting...","Yönlendiriliyor..."
"Report All Bugs","Tüm Hataları Raporla"
"Right Column","Sağ sütun"
"Search","Arama"
"Select Store","Mağaza Seçiniz"
"Select date","Tarih Seç"
"Show","Göster"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Bu bir demo mağazadır. Vereceğiniz siparişler ve yaptığınız işlemler dikkate alınmayacaktır."
"Time selection:","Saat Seçimi :"
"Time:","Saat :"
"View All","Hepsini Göster"
"Welcome, %s!","Hoşgeldiniz, %s!"
"Your Language","Kullandığınız Dil"
"Your Language:","Seçilen Dil:"
"per page","sayfa başı"
