"Add","Ekle"
"Add New Row","Yeni Satır Ekle"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanümerik, tire ve alt çizgi karakterleri dosya adları için tavsiye edilir. Yanlış karakterler '_' ile değiştirilir."
"An error occurred while saving the file(s).","Dosyalar kaydedilirken bir hata oluştu."
"Availability:","Durumu:"
"Back","Geri"
"Canceled","İptal Edildi"
"Category API","Kategori API si"
"Date","Tarih"
"Default Link Title","Varsayılan Link Başlığı"
"Default Maximum Number of Downloads","Varsayılan En Fazla İndirme Sayısı"
"Default Sample Title","Varsayılan Örnek Başlığı"
"Delete","Sil"
"Disable Guest Checkout if Cart Contains Downloadable Items","Eğer sepet indirilebilir ürün içeriyorsa, Misafir Alışverişi Kapat"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Downloadable Product","İndirilebilir Ürün"
"Downloadable Product Options","İndirilebilir Ürün Seçenekleri"
"Downloadable Product Section","İndirilebilir Ürün Bölümü"
"Edit","Düzenle"
"Edit item parameters","Ürün parametrelerini düzenle"
"Excl. Tax","Vergi Hariç"
"File","Dosya"
"From:","Kimden:"
"Gift Message","Hediye Mesajı"
"Go to <a href=""%s"">My Downloadable Products</a>","<a href=""%s"">İndirilebilir Ürünlerim</a> bölümüne git"
"Guest checkout will only work with shareable.","Misafir olarak alışveriş sadece paylaşılanlarda çalışır."
"In stock","stokta mevcut"
"Incl. Tax","Vergi Dahil"
"Invalid download link type.","Dosya indirme bağlantısında hatalı adres tipi."
"Invoiced","Faturalandı"
"Links can be purchased separately","Bağlantılar ayrı ayrı satın alınabilir"
"List","Liste"
"Max. Downloads","En fazla İndirme"
"Message:","Mesaj:"
"Move","Taşı"
"My Downloadable Products","İndirilebilir Ürünlerim"
"Open Links in New Window","Bağlantıları yeni pencerede aç"
"Order #","Sipariş #"
"Order Item Status to Enable Downloads","İndirmeye aktif etmek için Sipariş satırı durumu"
"Order id cannot be null","Sipariş no alanı boş olmamalıdır"
"Order item id cannot be null","Sipariş satır numarası boş olmamalıdır"
"Ordered","Sipariş Tarihi"
"Out of stock","Stok mevcut değil"
"Pending","Bekliyor"
"Please log in to download your product.","İndirilebilir ürünlerinize ulaşmak için sisteme giriş yapmalısınız."
"Please set resource file and link type.","Lütfen kaynak dosya ve bağlantı tipini ayarlayınız."
"Please specify product link(s).","Lütfen ürün linklerini belirleyiniz."
"Price","Fiyat"
"Qty","Miktar"
"Refunded","İadesi Yapıldı"
"Remaining Downloads","Devam eden indirmeler"
"Remove","Kaldır"
"Remove Item","Ürünü Sil"
"SKU","Ürün Kodu"
"Sample","Örnek"
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bakın."
"Shareable","Paylaşılabilir"
"Shipped","Gönderildi"
"Sorry, there was an error getting requested content. Please contact the store owner.","Üzgünüz, ulaşmaya çalıştığınız içeriğe ulaşılamıyor. Lütfen site yönetimi ile irtibata geçiniz."
"Sort Order","Sıralama"
"Start Download","İndirmeye Başla"
"Status","Durum"
"Subtotal","Ara Toplam"
"The link has expired.","Bağlantının kullanım süresi doldu."
"The link is not available.","Bağlantı uygun değildir."
"Title","Başlık"
"To:","Kime:"
"Unlimited","Sınırsız"
"Update","Güncelle"
"Use Content-Disposition","İçerik Kurallarını Kullan"
"Use Default Value","Varsayılan Değeri Kullan"
"View Order","Siparişi Göster"
"What's this?","Bu nedir?"
"You have not purchased any downloadable products yet.","Henüz hiçbir indirilebilir ürün satın almadınız."
"attachment","ekli dosya"
"download","indir"
"inline","iç"
"sample","Örnek"
