"* Required Fields","* Zorunlu Alan"
"ALL GROUPS","TÜM GRUPLAR"
"Account Dashboard","Hesap Kontrol Paneli"
"Account Information","Hesap Bilgisi"
"Account Sharing Options","Hesap Paylaşma Seçenekleri"
"Action","Eylem"
"Add New Address","Yeni Adres Ekle"
"Add New Customer","Yeni Müşteri Ekle"
"Add New Customer Group","Yeni Müşteri Grubu Ekle"
"Added From","Eklendiği Yer"
"Additional Address Entries","Ek Adres Girişleri"
"Address","Adres"
"Address Book","Adres Defteri"
"Address Information","Adres Bilgisi"
"Address Templates","Adres Şablonları"
"Addresses","Adresler"
"Admin","Yönetim"
"All","Tümü"
"All Store Views","Tüm Mağaza Görünümleri"
"All countries","Tüm ülkeler"
"Always optional.","Her zaman isteğe bağlı."
"Amount","Tutar"
"Approved","Onaylandı"
"Are you sure that you want to remove this item?","Bunu silmek istediğinizden emin misiniz ?"
"Are you sure you want to cancel adding of this address?","Bu adres(ler)in eklenmesini iptal etmek istediğinizden  istediğinizden emin misiniz ?"
"Are you sure you want to delete this address?","Bu adresi silmek istediğinizden emin misiniz?"
"Are you sure?","Emin misiniz?"
"Assign a Customer Group","Bir Müşteri Grubuna Ata"
"Average Sale","Satış Ortalaması"
"Back","Geri"
"Back to Login","Giriş Sayfasına Dön"
"Bad request.","Hatalı istek."
"Bill to Name","Fatura İsmi"
"Bought From","Satın Alındığı Yer"
"By Email","E-posta ile"
"By IP","IP ile"
"By IP and Email","IP ve E posta ile"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","
Sitemizde hesap açarak, daha hızlı alışveriş yapabilir, siparişinizi birden fazla adrese gönderebilir, hesabınızdan bütün geçmiş bilgilerinize erişebilir ve daha bir çok özellikten faydalanabilirsiniz..."
"CSV","Csv"
"Cancel","İptal"
"Change Account Password","Hesap Şifresini Değiştir"
"Change Billing Address","Fatura adresi değiştir"
"Change Password","Şifre Değiştir"
"Change Shipping Address","Teslimat Adresini Değiştir"
"City","Şehir"
"Company","Şirket"
"Config","Ayar"
"Configure","Yapılandır"
"Confirm New Password","Yeni Şifreyi Onayla"
"Confirm Password","Yeni Şifre (Tekrar)"
"Confirmation Link Email","Doğrulama Bağlantısı E-postası"
"Confirmed","Onaylandı"
"Contact Information","İletişim Bilgisi"
"Continue Shopping","Alışverişe Devam"
"Country","Ülke"
"Create","Oluştur"
"Create New Account Options","Yeni Hesap Seçenekleri Ekle"
"Create New Customer Account","Yeni Müşteri Hesabı"
"Create Order","Sipariş Oluştur"
"Create an Account","Bir Hesap Oluştur"
"Create customer","Müşteri Oluştur"
"Create customer address","Müşteri Adresi Ekle"
"Current Password","Mevcut Şifre"
"Customer","Müşteri"
"Customer Addresses","Müşteri Adresleri"
"Customer Configuration","Müşteri Yapılandırma"
"Customer Group","Müşteri Grupları"
"Customer Groups","Müşteri Grupları"
"Customer Information","Müşteri Bilgisi"
"Customer Login","Müşteri Girişi"
