"-- Please Select --","-- Selecione uma opção --"
"Add New Class","Adicionar Nova Classe"
"Add New Tax Rate","Adicionar Nova Taxa de Imposto"
"Add New Tax Rule","Adicionar Nova Regra de Taxa"
"After Discount","Após o Desconto"
"Apply Customer Tax","Aplicar Impostos ao Consumidor"
"Apply Discount On Prices","Aplicar Descontos nos Preços"
"Apply Tax On","Aplicar o imposto sobre"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Back","Voltar"
"Before Discount","Antes do Desconto"
"Calculation Settings","Configurações de cálculo"
"Catalog Prices","Catálogo de preços"
"Class Name","Nome da classe"
"Code","Código"
"Country","País"
"Custom price if available","Preço personalizado se disponível"
"Customer Tax Class","Classe de Imposto do Cliente"
"Customer Tax Class Information","Informações de classe de impostos de cliente"
"Customer Tax Classes","Classes de Impostos de Clientes"
"Default Country","País Padrão"
"Default Post Code","ZIP Padrão"
"Default State","Estado padrão"
"Delete Class","Excluir classe"
"Delete Rate","Eliminar Taxa"
"Delete Rule","Excluir a regra"
"Display Prices","Exibir preços"
"Display Shipping Amount","Mostrar Valor de Entrega"
"Display Shipping Prices","Mostrar Valores de Entrega"
"Display Subtotal","Exibir o Subtotal"
"Display Zero Tax Subtotal","Mostrar subtotal sem impostos"
"Edit Class","Editar classe"
"Edit Class '%s'","Editar classe '%s'"
"Edit Rule","Editar Regra"
"Edit Tax Rate","Editar a taxa de imposto"
"Excel XML","Excel, XML"
"Excl. Tax","Excl. Impostos"
"Excl. Tax:","Excl. imposto:"
"Excluding Tax","Excluindo impostos"
"Export Tax Rates","Taxas de imposto de exportação"
"Grand Total (Excl. Tax)","Preço Final (Sem Impostos)"
"Grand Total (Excl.Tax)","Preço Final (Sem Impostos)"
"Grand Total (Incl. Tax)","Preço Final (Com Impostos)"
"Grand Total (Incl.Tax)","Preço Final (Com Impostos)"
"Grand Total Excl. Tax","Preço Final Sem Impostos"
"Grand Total Incl. Tax","Preço Final Com Impostos"
"Import / Export Tax Rates","Importar / Exportar taxas de impostos"
"Import Tax Rates","Taxas de Imposto de Importação"
"Inc. Tax","Inc. Impostos"
"Incl. Tax","Imposto Incl."
"Incl. Tax:","Incl. imposto:"
"Including Tax","Incluindo o imposto"
"Including and Excluding Tax","Incluindo e excluindo impostos"
"Invalid file format upload attempt","Tentativa de carregar formato de arquivo inválido"
"Invalid file upload attempt","Tentativa de carregamento de arquivo inválido"
"Product Tax Classes","Classes de impostos de produto"
"Tax Rates","Taxas de imposto"
"Tax Rules","Regras de Impostos"
"Name","Nome"
"New Class","Nova classe"
"New Rule","Nova Regra"
"New Tax Rate","Adicionar Nova Taxa de Imposto"
"No","Não"
"None","Nenhum"
"One of the country has invalid code.","Um dos países está com código inválido."
"Orders, Invoices, Credit Memos Display Settings","Exibição das Configurações de Encomendas, Faturas e Notas de Crédito"
"Original price only","Preço original apenas"
"Price Display Settings","Configurações de exibição do preço"
"Priority","Prioridade"
"Product Tax Class","Taxa de Imposto do Cliente"
"Product Tax Class Information","Informações de classe de impostos de produto"
"Range From","Intervalo De"
"Range To","Intervalo Até"
"Range To should be equal or greater than Range From.","Intervalo ""Para"" deve ser igual ou maior que o intervalo ""De""."
"Rate","Avaliação"
"Rate Percent","Percentagem da Taxa"
"Reset","Reiniciar"
"Row Total","Linha Total"
"Sales","Vendas"
"Save Class","Salvar classe"
"Save Rate","Gravar Taxa"
"Save Rule","Gravar Regra"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Shipping & Handling (Excl.Tax)","Transporte e Manipulação (Sem Impostos)"
"Shipping & Handling (Incl.Tax)","Transporte e Manipulação (Incluindo Tarifas)"
"Shipping (Excl. Tax)","Entrega (Excl. IVA)"
"Shipping (Incl. Tax)","Frete (Incluindo Imposto)"
"Shipping Prices","Preços de envio"
"Shopping Cart Display Settings","Definições de visualização do carrinho de compras"
"Sort Order","Ordenação"
"State","Estado"
"State/Region","Estado/região"
"Subtotal (Excl. Tax)","Subtotal (Sem Impostos)"
"Subtotal (Excl.Tax)","Subtotal (Sem Impostos)"
"Subtotal (Incl. Tax)","Subtotal (Incluindo Impostos)"
"Subtotal (Incl.Tax)","Subtotal (Incluindo Taxas)"
"Tax","Taxa"
"Tax Calculation Based On","Cálculo do imposto com base no"
"Tax Class for Shipping","Classe de taxa para envio"
"Tax Classes","Classes de impostos"
"Tax Identifier","Identificador Fiscal"
"Tax Rate","Taxa"
"Tax Rate Information","Informação de Imposto de Taxa"
"Tax Rule Information","Informação da Regra de Taxa"
"Tax Titles","Título de imposto"
"Tax rates at the same priority are added, others are compounded.","Taxas de imposto na mesma prioridade são adicionadas, outros são agravados."
"The tax rate has been imported.","A taxa de imposto foi importada."
"The tax rule has been deleted.","A regra foi excluída."
"This class no longer exists","Esta classe não existe mais"
"This rule no longer exists","Esta regra não existe mais"
"This rule no longer exists.","Esta regra não existe mais."
"Unit Price","Preço unitário"
"Yes","Sim"
"You cannot delete this tax class as it is used for %d customer groups.","Você não pode excluir esta classe de imposto pois ela é usada por %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","Você não pode excluir esta classe de imposto pois ela é usada por %d produtos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Você não pode excluir esta classe de imposto pois ela é usada em regras de impostos. Você tem que excluir as regras onde ela é usada primeiro."
"Zip/Post Code","Cep"
"Zip/Post is Range","Cep está no Intervalo"
