"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar Nova Classificação"
"Assigned Options","Opções Atribuidas"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Default Value","Valor Padrão"
"Delete Rating","Apagar avaliação"
"Edit Rating","Editar classificação"
"ID","Id."
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um título de classificação para uma loja, o valor padrão será usado."
"New Rating","Nova avaliação"
"Option Label","Rótulo de opção"
"Option Title","Opção de título"
"Option Title:","Título da Opção:"
"Please select one of each ratings above","Por favor, selecione uma das classificações acima"
"Rating Information","Informação de Classificação"
"Rating Name","Nome da classificação"
"Rating Options","Opções de classificação"
"Rating Title","Título de Classificação"
"Rating Visibility","Visibilidade de Classificação"
"Rating isn't Available","Classificação não Disponível"
"Rating with the same title","Classificação com o mesmo título"
"Save Rating","Salvar avaliação"
"Sort Order","Ordenação"
"Visible In","Visível em"
