"* Required Fields","* Campos Obrigatórios"
"--Please Select--","-- Por favor, selecione --"
"<label>Make Check payable to:</label> %s","<label>Fazer cheque para:</label> %s"
"Automatically Invoice All Items","Faturar automaticamente todos os itens"
"Bank Transfer Payment","Pagamento por Transferência Bancária"
"Card Verification Number","Código de Verificação do Cartão"
"Cash On Delivery Payment","Pagamento Contra Entrega"
"Check / Money Order","Cheque / Dinheiro"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Card Types","Tipo do Cartão de Crédito"
"Credit card type is not allowed for this payment method.","Tipo de cartão de crédito não é permitido para esta forma de pagamento."
"Currency","Moeda"
"Day","Dia"
"Debug Mode","Modo de depuração"
"Enabled","Habilitado"
"Expiration Date","Data de Validade"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Incorrect credit card expiration date.","Data de validade de cartão de crédito incorrecto."
"Instructions","Instruções"
"Invalid Credit Card Number","Número inválido de cartão de crédito"
"Issue Number","Número de emissão"
"Make Check Payable to","Passe o cheque à ordem de"
"Make Check payable to:","Passe o cheque à ordem de:"
"Make Check payable to: %s","Fazer cheque para: %s"
"Maximum Order Total","Total máximo de pedidos"
"Merchant ID","ID do Comerciante"
"Minimum Order Total","Total mínimo do pedidos"
"Month","Mês"
"N/A","Não Disponível"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"New Order Status","Novo status do pedido"
"Password","Senha"
"Payment Method","Forma de pagamento"
"Payment Methods","Forma de pagamento"
"Payment Services","Serviços de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento a partir de Países Específicos"
"Please enter a valid credit card verification number.","Por favor, insira um número de verificação de cartão de crédito válido."
"Purchase Order","Ordem de compra"
"Purchase Order Number","Número do pedido"
"Purchase Order Number: %s","Número do pedido de compra: %s"
"Saved CC","CC salvo"
"Selected payment type is not allowed for billing country.","A forma de pagamento selecionada não é aceita para o país indicado na cobrança."
"Send Check to","Enviar cheque para"
"Send Check to:","Enviar cheque para:"
"Shipping Amount","Valor do envio"
"Sort Order","Ordenação"
"Start Date","Data de Início"
"Switch/Solo/Maestro Issue Number","Número de emissão Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data de início Maestro/Switch/Solo"
"Tax Amount","Valor do imposto"
"Test Mode","Modo de Teste"
"The payment review action is unavailable.","A ação de revisão de pagamento não está disponível."
"The requested Payment Method is not available.","O método de pagamento solicitado não está disponível."
"Title","Título"
"Unable to save Billing Agreement:","Não foi possível gravar o Acordo de Faturamento:"
"What is this?","O que é isto?"
"Year","Ano"
"Zero Subtotal Checkout","Finalização de compra de subtotal zero"
