"%d Review(s)","%d opinião(ões)"
"%s Review(s)","%s opinião(ões)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Adicionar nova opinião"
"Add Your Review","Adicionar sua Avaliação"
"Administrator","Administrador"
"All Reviews","Todas Avaliações"
"Allow Guests to Write Reviews","Permitir Avaliações por Visitantes"
"Approved","Aprovado"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Are you sure?","Você tem certeza?"
"Average Customer Rating","Classificação Média de Clientes"
"Average Customer Rating:","Avaliação Média do Cliente:"
"Back","Voltar"
"Back to Main Product Info","Voltar para Informações Principais do Produto"
"Back to My Reviews","Voltar para Minhas Avaliações"
"Back to Product Reviews","Voltar para Avaliações do Produto"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Created On","Criado em"
"Customer","Cliente"
"Customer Reviews","Avaliações de Clientes"
"Customers Reviews","Avaliações de Clientes"
"Delete","Excluir"
"Delete Review","Apagar Avaliação"
"Detailed Rating","Classificação Detalhada"
"Edit Review '%s'","Editar opinião '%s'"
"Guest","Visitante"
"How do you rate this product?","Como você classifica este produto?"
"ID","Id."
"My Product Reviews","Minhas Avaliações de Produto"
"My Recent Reviews","Minhas Avaliações Recentes"
"Name","Nome"
"New Review","Nova Avaliação"
"Nickname","Apelido"
"Not Approved","Não Aprovado"
"Pending","Pendente"
"Pending Reviews","Comentários pendentes"
"Please select a product","Por favor, selecione um produto"
"Please select one of each of the ratings above","Por favor, selecione uma das avaliações acima"
"Posted By","Publicado por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do produto"
"Product Rating","Avaliação do Produto"
"Product Rating:","Classificação do Produto:"
"Product Review (submitted on %s):","Opinião do produto (enviado em %s):"
"Product Reviews","Avaliações do Produto"
"Product SKU","ID do produto"
"Products Reviews","Avaliações do Produto"
"Qty","Qtd"
"Rating:","Classificação:"
"Review","Avaliação"
"Review Details","Detalhes da Avaliação"
"Review by %s","Analisado por %s"
"Reviews","Avaliações"
"Reviews and Ratings","Opiniões e avaliações"
"SKU","Código de Produto:"
"Save Review","Salvar Avaliação"
"Status","Situação"
"Submit Review","Enviar Avaliação"
"Summary Rating","Classificação Resumida"
"Summary of Review","Resumo de Avaliação"
"Summary of Your Review","Sumário das suas opiniões"
"Title","Título"
"Type","Tipo"
"Update Status","Status de atualização"
"View All Reviews","Ver todas opiniões"
"View Details","Ver Detalhes"
"Visible In","Visível em"
"Websites","Sites"
"Write Your Own Review","Escreva sua Própria Avaliação"
"You have submitted no reviews.","Você não enviou avaliações."
"You're reviewing:","Você está avaliando:"
"Your Rating:","Sua classificação:"
"Your Review (submitted on %s):","Sua opinião (enviada em %s):"
