"# of Use","número de usos"
"%1$s incl tax.","%1$s incl imposto."
"(Copy data from: %s)","(Copiar dados de: %s)"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Selecione uma opção --"
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"A name is required","Um nome é obrigatório"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para indexação."
"ALL GROUPS","TODOS OS GRUPOS"
"Action","Ação"
"Actual Price","Preço atual"
"Add","Adicionar"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Adicionar Alteração de Design"
"Add Group","Adicionar Grupo"
"Add New","Adicionar Novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Nova Imagem"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Nova Linha"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Add New Set","Adicionar novo grupo"
"Add Product","Adicionar produto"
"Add Product To Websites","Adicionar Produto Para Websites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar Subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar diferencial"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Additional Information","Informações adicionais"
"All","Todos"
"All Product Types","Todos os tipos de produto"
"All Websites","Todos os sites"
"All products","Todos os produtos"
"All products - recently added products, New products - products marked as new","Todos os produtos - produtos recentemente adicionados, novos produtos - produtos marcados como novo"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste grupo serão excluídos. Você tem certeza que deseja excluir este grupo de atributo?"
"Allow All Products per Page","Permitir todos os produtos por página"
"Allowed File Extensions","Extensões de arquivos permitidas"
"Allowed file extensions to upload","Extensões de arquivo permitidas para upload"
"Amount","Quantidade"
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"Apply To","Aplicar a"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Você tem certeza que deseja excluir essa categoria?"
"Are you sure you would like to remove all products from your comparison?","Você tem certeza que deseja remover todos os itens da sua comparação?"
"Are you sure you would like to remove this item from the compare products?","Você tem certeza que deseja remover este item da comparação de produtos?"
"Are you sure?","Você tem certeza?"
"As low as:","Maiores quantidades:"
"Assign","Atribuir"
"Assign product link","Atribuir link do produto"
"Assign product to category","Atribuir produto à categoria"
"Assigned Products","Produtos atribuídos"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Nome do grupo de atributos"
"Attribute Information","Informações de atributo"
"Attribute Model","Modelo de atributo"
"Attribute Name:","Nome do atributo:"
"Attribute Set","Conjuntos de Atributo"
"Attribute Sets","Conjuntos de Atributo"
"Attribute group with the ""/name/"" name already exists","Já existe grupo de atributos com nome ""/name/"""
"Attribute with the same code already exists","Já existe atributo com o mesmo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes do atributo pode ser especificado por loja."
"Autogenerate","Geração automática"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Backend Model","Modelo Backend"
"Backend Table","Tabela do backend"
"Backend Table Title","Título da tabela do backend"
"Backorders","Pedidos pendentes"
"Based On","Com Base Na"
"Before Order Confirmation","Antes da Confirmação do Pedido"
"Best Value","Melhor preço"
"Block after Info Column","Bloco após Coluna de Informações"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Browse By","Pesquisa por"
"Bundle Items","Itens do Pacote"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. impostos) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Tempo de Vida da Cache (Segundos)"
"Can be used only with catalog input type Dropdown","Pode ser usado somente com tipo de entrada de catálogo dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usado somente com tipo de entrada de catálogo dropdown, seleção múltipla e preço"
"Can't create image.","Não foi possível criar a imagem"
"Cancel","Cancelar"
"Cart Item Attribute","Atributo de Item do Carrinho"
"Catalog","Catálogo"
"Catalog Category Link","Link da Categoria do Catálogo"
"Catalog New Products List","Lista de Novos Produtos do Catálogo"
"Catalog Price Scope","Escopo do Preço de Catálogo"
"Catalog Product Link","Link de Produto do Catálogo"
"Catalog, Search","Catálogo, Pesquisa"
"Categories","Categorias"
"Categories Sitemap","Categorias do mapa do site"
"Category","Categoria"
"Category API","API da categoria"
"Category Data","Dados da categoria"
"Category Flat Data","Dados Flat da Categoria"
"Category Link Block Template","Template do Bloco de Link de Categoria"
"Category Link Inline Template","Template de Link Inline de Categoria"
"Category Products","Produtos da Categoria"
"Category Top Navigation","Categoria de Navegação Superior"
"Category URL Suffix","Sufixo URL da Categoria"
"Category attributes API","API da categoria atributos"
"Category move error","Erro em mover a categoria"
"Center","Centralizar"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou obter atributo de visão da loja"
"Change status","Alterar status"
"Check items to add to the cart or","Verifique itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma Opção..."
"Clear All","Limpar Tudo"
"Clear Price","Limpar Preço"
"Click for price","Clique para precificar"
"Close Window","Fechar Janela"
"Collapse All","Recolher Tudo"
"Comma-separated.","Separados por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Comparável no Front-end"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Conditions Combination","Combinação de Condições"
"Configurable Product","Produto configurável"
"Configurable Product Settings","Configurações de produto configurável"
"Configure Product","Configurar produto"
"Continue","Próximo"
"Copy From Configurable","Copiar do configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (upload)"
"Create Empty","Criar vazio"
"Create Permanent Redirect for URLs if URL Key Changed","Criar Redirecionamento Permanente para URLs se a chave de URL for Alterada"
"Create Permanent Redirect for old URL","Criar redirecionamento permanente para a URL antiga"
"Create Product Settings","Criar configurações de produto"
"Create Simple Associated Product","Criar produto de associação simples"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Cross-sells","Vendas cruzadas"
"Custom Design","Design Personalizado"
"Custom Options","Opções personalizadas"
"Customer Group","Grupo de clientes"
"Customers Reviews","Avaliações de Clientes"
"Customers Tagged Product","Produto tagged por clientes"
"Data Type for Saving in Database","Tipo de dados para salvar no banco de dados"
"Date & Time Custom Options","Opções Personalizadas de Data e Hora"
"Date Fields Order","Ordem dos Campos de Data"
"Date Subscribed","Data de assinatura"
"Datetime","Data e Hora"
"Declare attribute value saving scope","Declarar valor do atributo salvando escopo"
"Default ""What's This"" Text Message","Mensagem de Texto Pré-definida ""O que é isto"""
"Default Popup Text Message","Mensagem de Texto Popup Pré-definida"
"Default Price","Preço Padrão"
"Default Price Navigation Step","Intervalo de Preço Pré-definido"
"Default Qty","Qtd Padrão"
"Default Values","Valor Padrão"
"Delete","Excluir"
"Delete Attribute","Excluir Atributo"
"Delete Attribute Set","Excluir grupo de atributos"
"Delete Category","Excluir categoria"
"Delete Option","Deletar Opção"
"Delete Row","Remover Linha"
"Delete Search","Excluir pesquisa"
"Delete Selected Group","Apagar Grupo Selecionado"
"Delete Tier","Excluir Camada"
"Delete category","Excluir categoria"
"Delete product","Excluir produto"
"Depends on design theme","Depende do design do tema"
"Description","Descrição"
"Design","Visual"
