"(Excl. Tax)","(Excl. Imposto)"
"(Incl. Tax)","(Incl. Imposto)"
"* Required Fields","* Campos Obrigatórios"
"Add New Address","Adicionar Novo Endereço"
"Add New Condition","Adicionar Nova Condição"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"After Adding a Product Redirect to Shopping Cart","Depois de Adicionar um Produto, Reenvie para o Carrinho de Compras"
"Allow Guest Checkout","Permitir Compras por Visitantes"
"Already registered?","Já é registrado?"
"An error occurred in the process of payment","Ocorreu um erro durante o processo de pagamento"
"Apply","Aplicar"
"Apply Coupon","Aplicar cupom"
"Are you sure you would like to remove this item from the shopping cart?","Tem certeza que gostaria de remover este item do carrinho de compras?"
"Back","Voltar"
"Back to Billing Information","Voltar para informações de cobrança"
"Back to Select Addresses","Volta para seleção de endereços"
"Back to Shipping Information","Voltar para informações de envio"
"Back to Shopping Cart","Volta ao carrinho de compras"
"Based on your selection, you may be interested in the following items:","Baseado na sua seleção, você pode estar interessado nos seguintes itens:"
"Billing Address","Endereço de Cobrança"
"Billing Information","Dados de Cobrança"
"Billing Information - %s","Informações de cobrança - %s"
"Cancel","Cancelar"
"Cancel Coupon","Cancelar Cupom"
"Cannot process the item.","Não foi possível processar o item."
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"Cart Subtotal:","Subtotal do carrinho:"
"Change","Alterar"
"Change Billing Address","Alterar endereço de cobrança"
"Checkbox Text","Caixa de Seleção de Texto"
"Checkout","Finalizar Compra"
"Checkout Conditions","Condições de Compra"
"Checkout Options","Opcões de Compra"
"Checkout Section","Seção de finalização de compra"
"Checkout Terms and Conditions","Termos e Condições da Compra"
"Checkout as Guest","Finalizar compra como visitante"
"Checkout as a Guest or Register","Finalizar compra como visitante ou registre-se"
"Checkout with Multiple Addresses","Finalizar compra com múltiplos endereços"
"City","Cidade"
"Clear Shopping Cart","Limpar Carrinho de Compras"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target='_blank'"">aqui para imprimir</a> uma cópia da confirmação do seu pedido."
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da Condição"
"Configurable Product Image","Imagem de produto configurável"
"Confirm Password","Confirmar Senha"
"Content","Conteúdo"
"Content Height","Altura do Conteúdo"
"Content Height (css)","Altura do Conteúdo (css)"
"Continue","Próximo"
"Continue Shopping","Continuar Comprando"
"Continue to Billing Information","Continuar em Informações de Cobrança"
"Continue to Review Your Order","Continuar revendo seu pedido"
"Continue to Shipping Information","Continuar com as informações de envio"
"Country","País"
"Coupon code ""%s"" is not valid.","Cupom de código ""%s"" não é válido."
"Create Billing Address","Criar Endereço de Faturamento"
"Create Shipping Address","Criar endereço de remessa"
"Customer Address is not valid.","Endereço do cliente não é válido."
"Customer Information","Informações do cliente"
"Data saving problem","Problema ao salvar dados"
"Default Billing","Padrão de cobrança"
"Default Shipping","Padrão de envio"
"Delete Condition","Excluir Condição"
"Details","Detalhes"
"Disabled","Desabilitado"
"Discount Codes","Cupom de desconto"
"Display Cart Summary","Mostrar Resumo do Carrinho"
"Display Shopping Cart Sidebar","Mostrar barra lateral do carrinho de compras"
"Display item quantities","Exibir quantidades do item"
"Display number of items in cart","Exibir o número de itens no carrinho"
"Easy access to your order history and status","Acesso fácil ao seu histórico de pedidos e status"
"Edit","Editar"
"Edit Address","Editar o Endereço"
"Edit Billing Address","Editar o Endereço de Faturamento"
"Edit Condition","Editar Condição"
"Edit Items","Editar itens"
"Edit Shipping Address","Editar o endereço de entrega"
"Edit Terms and Conditions","Edite Termos e Condições"
"Edit Your Cart","Alterar o Carrinho"
"Edit item","Editar item"
"Edit item parameters","Editar parâmetros do item"
"Email Address","Endereço de e-mail"
"Enable Onepage Checkout","Ativar Pagamento em Uma Página"
"Enable Terms and Conditions","Habilitar os termos e condições"
"Enabled","Habilitado"
"Enter a New Address","Inserir um novo endereço"
"Enter your coupon code if you have one.","Se possuir, insira o código do cupom."
"Enter your destination to get a shipping estimate.","Insira seu endereço para calcular o valor do frete."
"Estimate Shipping and Tax","Consultar Valor do Frete e Imposto"
"Excl. Tax","Excl. Impostos"
"Fast and easy check out","Finalização de compra rápida e fácil"
"Fax","Celular"
"Forgot an Item?","Esqueceu algum Item?"
"Forgot your password?","Esqueceu a sua senha?"
"Get a Quote","Cotar"
"Gift Message","Mensagem do presente"
"Grand Total:","Total geral:"
"Grouped Product Image","Imagem de Produto Agrupado"
"ID","Id."
"Incl. Tax","Imposto Incl."
"Invalid email address ""%s""","Endereço de e-mail inválido ""%s"""
"Invalid shipping method.","Método de envio inválido."
"Items","Itens"
"Load customer quote error","Erro ao carregar cotação do cliente"
"Loading next step...","Carregando próximo passo..."
"Login","Entrar"
"Maximum qty allowed for Shipping to multiple addresses is %s","Quantidade máxima permitida de envio para múltiplos endereços é %s"
"Move","Mover"
"Move to Wishlist","Mover para Lista de Desejos"
"My Cart","Meu Carrinho"
"My Cart (%s item)","Meu carrinho (%s item)"
