"%s's Wishlist","%s's lista de desejos"
"* Required Fields","* Campos Obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Added From","Adicionado de"
"Are you sure you want to remove this product from your wishlist?","Você tem certeza que deseja remover este produto da sua lista de desejos?"
"Are you sure you would like to remove this item from the wishlist?","Você tem certeza que deseja remover este item de sua lista de desejos?"
"Back","Voltar"
"Can't save description %s","Não foi possível salvar descrição %s"
"Cannot specify product.","Não é possível especificar o produto."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Selecione esta caixa de seleção se você deseja adicionar um link para um RSS Feed para sua lista de desejos."
"Click for price","Clique para precificar"
"Comment","Comente"
"Comment:","Comentar:"
"Date Added","Data de inclusão"
"Days in Wishlist","Dias na lista de desejos"
"Edit","Editar"
"Email Sender","Remetente do e-mail"
"Email Template","Template de E-mail"
"Email address can't be empty.","Endereço de e-mail não pode ser vazio."
"Email addresses, separated by commas","Endereços de e-mail, separados por vírgulas"
"Enabled","Habilitado"
"General Options","Opções gerais"
"Go to Wishlist","Ir para lista de desejos"
"In stock","Em estoque"
"Last Added Items","Últimos Itens Adicionados"
"Message","Mensagem"
"My Wishlist","Minha lista de desejos"
"My Wishlist (%d item)","Minha lista de desejos (%d item)"
"My Wishlist (%d items)","Minha lista de desejos (%d itens)"
"Options Details","Detalhes das Opções"
"Out of stock","Fora de estoque"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor, insira endereços de e-mail válidos separados por vírgulas. Por exemplo joao@dominio.com.br, jose@dominio.com.br"
"Please, enter your comments...","Por favor, insira os seus comentários..."
"Price","Preço"
"Product","Produto"
"Product Details and Comment","Detalhes de Produto e Comentários"
"Qty","Qtd"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Link RSS para lista de desejos de %s"
"Remove Item","Remover Item"
"Remove This Item","Remover este Item"
"Remove item","Remover item"
"SKU","Código de Produto:"
"Share Options","Opções de compartilhamento"
"Share Wishlist","Compartilhar lista de desejos"
"Share Your Wishlist","Compartilhar sua lista de desejos"
"Sharing Information","Compartilhar Informação"
"Update Wishlist","Atualizar lista de desejos"
"User Description","Descrição do usuário"
"View Details","Ver Detalhes"
"View Product","Visualizar Produto"
"What's this?","O que é isto?"
"Wishlist","Lista de desejos"
"Wishlist Sharing","Compartilhamento da lista de desejos"
"Wishlist is empty now.","Lista de desejos está vazia agora."
"You have no items in your wishlist.","Não há itens na sua lista de desejos."
